date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:49:03 ,40.00,1.81%,"692,973",665.68K,3.91B,378.80M,652.50M,1.85,10.31,7.86,0.71,158.27,5.99,-,-,0.11,-6.40%,-6.52%,-2.10%,33.48,17.30%,23.70%,13.70%,-,72.90%,71.10%,97.73M,92.70M,1.44%,2.00,50.18,-20.13%,22.21%,39.29,3.88,26.30%,47.50%,1.00%,-6.28%,92.30%,0.16%,-,-,392,1.90
2018-10-17,19:42:41 ,40.75,1.88%,"697,149",665.58K,3.98B,378.80M,652.50M,1.89,10.51,8.00,0.73,161.23,6.10,-,-,0.11,-4.15%,-4.75%,-0.22%,40.50,17.30%,23.70%,13.70%,-,72.90%,71.10%,97.73M,92.70M,1.44%,2.00,50.18,-18.63%,24.50%,40.00,3.88,26.30%,47.50%,1.00%,-6.28%,92.30%,0.16%,-,-,392,1.90
2018-10-18,20:21:11 ,40.55,-0.49%,"764,254",667.24K,3.96B,378.80M,652.50M,1.88,10.45,7.96,0.72,160.44,6.07,-,-,0.11,-4.19%,-5.20%,-0.67%,39.06,17.30%,23.70%,13.70%,-,72.90%,71.10%,97.73M,92.70M,1.44%,1.99,50.18,-19.03%,23.89%,40.75,3.88,26.30%,47.50%,1.00%,-6.28%,92.30%,0.16%,-,-,392,1.90
2018-10-19,20:29:31 ,39.81,-1.82%,"410,519",664.76K,3.89B,378.80M,652.50M,1.84,10.26,7.82,0.71,157.52,5.96,-,-,0.11,-5.52%,-6.91%,-2.45%,34.67,17.30%,23.70%,13.70%,-,72.90%,71.10%,97.73M,92.70M,1.44%,2.00,50.18,-20.51%,21.63%,40.55,3.88,26.30%,47.50%,1.00%,-8.47%,92.30%,0.16%,-,-,392,1.90
2018-10-22,17:42:14 ,39.67,-0.35%,"336,255",648.83K,3.97B,378.80M,652.50M,1.84,10.23,7.79,0.71,160.53,6.08,-,-,0.11,-5.32%,-7.21%,-2.74%,33.97,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.95M,92.70M,1.44%,2.05,50.18,-20.79%,21.20%,39.81,3.88,26.30%,47.50%,1.00%,-8.30%,91.70%,-0.53%,-,-,392,1.90
2018-10-23,17:42:52 ,39.21,-1.16%,"418,840",643.19K,3.92B,378.80M,652.50M,1.82,10.11,7.70,0.70,158.67,6.01,-,-,0.11,-5.92%,-8.23%,-3.80%,31.90,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.95M,92.70M,1.44%,2.07,50.18,-21.71%,19.80%,39.67,3.88,26.30%,47.50%,1.00%,-8.30%,91.70%,-0.53%,-,-,392,1.90
2018-10-24,17:42:02 ,36.99,-5.66%,"1,206,966",636.83K,3.70B,378.80M,652.50M,1.71,9.54,7.26,0.66,149.68,5.67,-,-,0.11,-10.78%,-13.35%,-9.18%,23.56,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.95M,92.70M,1.44%,2.09,50.18,-26.14%,13.02%,39.21,3.88,26.30%,47.50%,1.00%,-8.30%,91.70%,-0.53%,-,-,392,1.90
2018-10-25,17:42:21 ,37.95,2.60%,"496,689",641.50K,3.79B,378.80M,652.50M,1.76,9.78,7.45,0.68,153.57,5.81,-,-,0.11,-7.79%,-10.94%,-6.72%,32.33,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.95M,92.70M,1.44%,2.07,50.18,-24.22%,15.95%,36.99,3.88,26.30%,47.50%,1.00%,-8.30%,91.70%,-0.53%,-,-,392,1.90
2018-10-26,17:41:09 ,37.50,-1.19%,"497,627",632.81K,3.75B,378.80M,652.50M,1.74,9.67,7.36,0.67,151.75,5.74,-,-,0.11,-8.29%,-11.88%,-7.73%,30.34,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.95M,92.70M,1.44%,2.10,50.18,-25.12%,14.57%,37.95,3.88,26.30%,47.50%,1.00%,-8.30%,91.70%,-0.53%,-,-,392,1.90
2018-10-29,17:41:16 ,37.95,1.20%,"411,659",628.40K,3.77B,378.80M,652.50M,1.76,9.78,7.44,0.68,152.57,5.78,-,-,0.11,-6.41%,-10.65%,-6.50%,34.21,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.30M,92.72M,1.40%,2.06,49.75,-24.22%,15.95%,37.50,3.88,26.30%,47.50%,1.10%,-7.65%,91.70%,-0.51%,-,-,392,1.90
2018-10-30,17:41:38 ,38.21,0.69%,"530,709",622.13K,3.79B,378.80M,652.50M,1.77,9.85,7.49,0.68,153.61,5.81,-,-,0.11,-5.10%,-9.88%,-5.75%,36.16,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.30M,92.72M,1.40%,2.08,49.75,-23.70%,16.74%,37.95,3.88,26.30%,47.50%,1.10%,-7.65%,91.70%,-0.51%,-,-,392,1.90
2018-10-31,17:41:34 ,39.42,3.17%,"823,816",619.45K,3.91B,378.80M,652.50M,1.83,10.16,7.73,0.70,158.48,6.00,-,-,0.11,-1.47%,-6.86%,-2.65%,44.67,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.30M,92.72M,1.40%,2.09,49.75,-21.29%,20.44%,38.21,3.88,26.30%,47.50%,1.10%,-7.65%,91.70%,-0.51%,-,-,392,1.90
2018-11-01,17:42:01 ,40.16,1.88%,"605,692",621.13K,3.99B,378.80M,652.50M,1.86,10.35,7.87,0.72,161.45,6.11,-,-,0.11,0.90%,-4.98%,-0.71%,48.97,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.30M,92.72M,1.40%,2.08,49.75,-19.81%,22.70%,39.42,3.88,26.30%,47.50%,1.10%,-7.65%,91.70%,-0.51%,-,-,392,1.90
2018-11-02,23:05:48 ,39.72,-1.10%,"368,344",620.51K,3.94B,378.80M,652.50M,1.84,10.24,7.79,0.71,159.68,6.04,-,-,0.11,0.23%,-5.90%,-1.70%,46.38,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.30M,92.72M,1.40%,2.09,49.75,-20.69%,21.36%,40.16,3.88,26.30%,47.50%,1.10%,-7.65%,91.70%,-0.51%,-,-,392,1.90
2018-11-05,16:41:41 ,39.76,0.10%,"378,423",611.65K,3.94B,378.80M,652.50M,1.84,10.25,7.79,0.71,159.70,6.05,-,-,0.11,0.65%,-5.66%,-1.49%,46.53,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.21M,92.72M,1.40%,2.12,49.75,-20.61%,21.48%,39.72,3.88,26.30%,47.50%,1.10%,-7.66%,91.80%,-0.36%,-,-,392,1.90
2018-11-06,16:40:41 ,40.52,1.91%,"431,788",596.11K,4.02B,378.80M,652.50M,1.88,10.45,7.94,0.72,162.75,6.16,-,-,0.11,2.85%,-3.71%,0.51%,51.04,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.21M,92.72M,1.40%,2.17,49.75,-19.09%,23.80%,39.76,3.88,26.30%,47.50%,1.10%,-7.66%,91.80%,-0.36%,-,-,392,1.90
2018-11-07,16:43:23 ,40.82,0.74%,"447,301",590.74K,4.05B,378.80M,652.50M,1.89,10.52,8.00,0.73,163.96,6.21,-,-,0.11,3.80%,-2.88%,1.37%,52.45,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.21M,92.72M,1.40%,2.19,49.75,-18.49%,24.72%,40.52,3.88,26.30%,47.50%,1.10%,-7.66%,91.80%,-0.36%,-,-,392,1.90
2018-11-08,16:40:31 ,41.32,1.22%,"413,582",582.09K,4.10B,378.80M,652.50M,1.91,10.65,8.10,0.74,165.97,6.28,-,-,0.11,5.01%,-1.60%,2.71%,55.62,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.21M,92.72M,1.40%,2.22,49.75,-17.49%,26.25%,40.82,3.88,26.30%,47.50%,1.10%,-7.66%,91.80%,-0.36%,-,-,392,1.90
2018-11-09,17:30:16 ,39.84,-3.58%,"1,369,073",579.86K,3.95B,378.80M,652.50M,1.85,10.27,7.81,0.71,160.02,6.06,-,-,0.11,0.99%,-5.05%,-0.89%,46.51,17.30%,23.70%,13.70%,-,72.90%,71.10%,99.21M,92.72M,1.40%,2.23,49.75,-20.45%,21.72%,41.32,3.88,26.30%,47.50%,1.10%,-7.66%,91.80%,-0.36%,-,-,392,1.90
2018-11-12,19:21:58 ,40.07,0.58%,"823,208",596.71K,4.08B,378.80M,652.50M,1.86,10.33,7.80,0.71,165.10,6.25,-,-,0.11,1.51%,-4.35%,-0.22%,47.37,15.80%,21.70%,13.70%,-,67.50%,65.00%,101.77M,92.72M,1.22%,1.90,49.75,-19.99%,22.43%,39.84,3.88,26.30%,47.50%,1.00%,-8.16%,91.60%,-0.60%,-,-,392,1.90
2018-11-13,16:41:04 ,40.57,1.25%,"461,464",599.90K,4.13B,378.80M,652.50M,1.88,10.46,7.90,0.72,167.16,6.33,-,-,0.11,2.68%,-3.01%,1.12%,50.84,15.80%,21.70%,13.70%,-,67.50%,65.00%,101.77M,92.72M,1.22%,1.89,49.75,-18.99%,23.95%,40.07,3.88,26.30%,47.50%,1.00%,-8.16%,91.60%,-0.60%,-,-,392,1.90
2018-11-14,16:41:06 ,39.87,-1.73%,"652,029",598.65K,4.06B,378.80M,652.50M,1.85,10.28,7.76,0.71,164.27,6.22,-,-,0.11,0.84%,-4.53%,-0.54%,46.75,15.80%,21.70%,13.70%,-,67.50%,65.00%,101.77M,92.72M,1.22%,1.89,49.75,-20.39%,21.81%,40.57,3.88,26.30%,47.50%,1.00%,-8.16%,91.60%,-0.60%,-,-,392,1.90
2018-11-15,16:40:59 ,40.78,2.28%,"487,945",600.06K,4.15B,378.80M,652.50M,1.89,10.51,7.94,0.73,168.02,6.36,-,-,0.11,3.25%,-2.15%,1.81%,52.00,15.80%,21.70%,13.70%,-,67.50%,65.00%,101.77M,92.72M,1.22%,1.89,49.75,-18.57%,24.60%,39.87,3.88,26.30%,47.50%,1.00%,-8.16%,91.60%,-0.60%,-,-,392,1.90
2018-11-16,16:41:01 ,40.26,-1.28%,"326,581",601.94K,4.10B,378.80M,652.50M,1.86,10.38,7.84,0.72,165.88,6.28,-,-,0.11,1.91%,-3.23%,0.60%,48.98,15.80%,21.70%,13.70%,-,67.50%,65.00%,101.77M,92.72M,1.22%,1.88,49.75,-19.61%,23.01%,40.78,3.88,26.30%,47.50%,1.00%,-8.16%,91.60%,-0.60%,-,-,392,1.90
2018-11-19,16:41:03 ,39.35,-2.26%,"833,791",599.25K,3.86B,416.40M,687.30M,1.73,9.27,7.57,0.62,129.59,5.62,-,-,0.10,-0.45%,-5.23%,-1.59%,43.65,17.80%,24.30%,13.70%,-,74.10%,73.00%,98.14M,92.73M,1.22%,1.89,50.83,-21.43%,20.23%,40.26,4.25,23.20%,45.10%,1.00%,-8.44%,93.90%,1.92%,-,-,394,1.90
2018-11-20,16:41:04 ,38.01,-3.41%,"722,753",605.00K,3.73B,416.40M,687.30M,1.67,8.95,7.32,0.60,125.18,5.43,-,-,0.10,-3.81%,-8.21%,-4.88%,37.72,17.80%,24.30%,13.70%,-,74.10%,73.00%,98.14M,92.73M,1.22%,1.87,50.83,-24.10%,16.13%,39.35,4.25,23.20%,45.10%,1.00%,-8.44%,93.90%,1.92%,-,-,394,1.90
2018-11-21,16:41:16 ,38.53,1.37%,"321,203",609.23K,3.78B,416.40M,687.30M,1.70,9.07,7.42,0.60,126.89,5.50,-,-,0.10,-2.34%,-6.63%,-3.49%,41.23,17.80%,24.30%,13.70%,-,74.10%,73.00%,98.14M,92.73M,1.22%,1.86,50.83,-23.06%,17.72%,38.01,4.25,23.20%,45.10%,1.00%,-8.44%,93.90%,1.92%,-,-,394,1.90
2018-11-23,16:43:39 ,38.07,-1.19%,"116,795",603.17K,3.74B,416.40M,687.30M,1.67,8.97,7.33,0.60,125.38,5.44,-,-,0.10,-3.69%,-7.46%,-4.57%,39.39,17.80%,24.30%,13.70%,-,74.10%,73.00%,98.14M,92.73M,1.22%,1.88,50.83,-23.98%,16.32%,38.53,4.25,23.20%,45.10%,1.00%,-8.44%,93.90%,1.92%,-,-,394,1.90
2018-11-26,16:41:02 ,39.04,2.55%,"478,658",599.21K,3.88B,416.40M,687.30M,1.72,9.19,7.51,0.61,130.12,5.64,-,-,0.10,-1.26%,-4.80%,-2.07%,45.14,17.80%,24.30%,13.70%,-,74.10%,73.00%,99.32M,92.73M,1.22%,1.89,51.17,-22.04%,19.28%,38.07,4.25,23.20%,45.10%,1.00%,-8.35%,94.00%,1.94%,-,-,394,1.90
2018-11-27,16:40:34 ,38.02,-2.61%,"425,902",598.32K,3.78B,416.40M,687.30M,1.67,8.95,7.32,0.60,126.72,5.49,-,-,0.10,-4.02%,-7.00%,-4.57%,39.75,17.80%,24.30%,13.70%,-,74.10%,73.00%,99.32M,92.73M,1.22%,1.89,51.17,-24.08%,16.16%,39.04,4.25,23.20%,45.10%,1.00%,-8.35%,94.00%,1.94%,-,-,394,1.90
2018-11-28,16:40:18 ,38.82,2.10%,"617,593",594.81K,3.86B,416.40M,687.30M,1.71,9.14,7.47,0.61,129.38,5.61,-,-,0.10,-2.01%,-4.73%,-2.48%,44.72,17.80%,24.30%,13.70%,-,74.10%,73.00%,99.32M,92.73M,1.22%,1.90,51.17,-22.48%,18.61%,38.02,4.25,23.20%,45.10%,1.00%,-8.35%,94.00%,1.94%,-,-,394,1.90
