date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:44:40 ,96.22,2.89%,"2,754,444",4.43M,54.07B,6.05B,100.47B,2.79,9.04,10.09,0.86,18.38,0.54,0.60,0.70,0.77,1.43%,6.56%,20.68%,62.52,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,561.90M,558.91M,2.44%,3.08,89.58,-1.03%,72.44%,93.52,10.64,1.20%,13.30%,0.30%,-1.34%,87.10%,-0.01%,-,-,26600,2.70
2018-10-17,21:37:41 ,95.77,-0.47%,"2,198,889",4.43M,53.81B,6.05B,100.47B,2.78,9.00,10.04,0.86,18.29,0.54,0.60,0.70,0.77,0.89%,5.61%,19.96%,59.60,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,561.90M,558.91M,2.44%,3.08,89.58,-1.49%,71.63%,96.22,10.64,1.20%,13.30%,0.30%,-1.34%,87.10%,-0.01%,-,-,26600,2.70
2018-10-18,22:15:10 ,96.15,0.40%,"2,497,256",4.43M,54.03B,6.05B,100.47B,2.79,9.04,10.08,0.86,18.36,0.54,0.60,0.70,0.77,1.23%,5.63%,20.28%,61.26,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,561.90M,558.91M,2.44%,3.08,89.58,-1.10%,72.31%,95.77,10.64,1.20%,13.30%,0.30%,-1.34%,87.10%,-0.01%,-,-,26600,2.70
2018-10-19,22:22:58 ,95.30,-0.88%,"2,320,670",4.37M,53.55B,6.05B,100.47B,2.76,8.96,9.99,0.86,18.20,0.53,0.60,0.70,0.77,0.27%,4.30%,19.06%,56.14,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,561.90M,558.91M,2.44%,3.12,89.58,-1.97%,65.42%,96.15,10.64,1.20%,13.30%,0.30%,-1.34%,87.10%,-0.01%,-,-,26600,2.70
2018-10-22,19:40:52 ,94.99,-0.33%,"2,344,268",4.31M,53.87B,6.05B,100.47B,2.76,8.93,9.96,0.85,18.31,0.54,0.60,0.70,0.77,-0.09%,3.66%,18.53%,54.64,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,567.13M,558.91M,2.44%,3.16,89.58,-2.29%,63.13%,95.30,10.64,1.20%,13.30%,0.30%,-1.33%,87.00%,-0.05%,-,-,26600,2.70
2018-10-23,19:42:19 ,95.51,0.55%,"2,638,824",4.28M,54.17B,6.05B,100.47B,2.77,8.98,10.02,0.86,18.41,0.54,0.60,0.70,0.77,0.43%,3.97%,19.04%,57.06,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,567.13M,558.91M,2.44%,3.19,89.58,-1.76%,64.02%,94.99,10.64,1.20%,13.30%,0.30%,-1.33%,87.00%,-0.05%,-,-,26600,2.70
2018-10-24,19:41:08 ,91.99,-3.69%,"4,903,207",4.28M,52.17B,6.05B,100.47B,2.67,8.65,9.65,0.83,17.73,0.52,0.60,0.70,0.77,-3.35%,-0.11%,14.52%,41.41,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,567.13M,558.91M,2.44%,3.19,89.58,-5.38%,57.98%,95.51,10.64,1.20%,13.30%,0.30%,-1.33%,87.00%,-0.05%,-,-,26600,2.70
2018-10-25,19:41:33 ,95.41,3.72%,"3,851,329",4.32M,54.11B,6.05B,100.47B,2.77,8.97,10.01,0.86,18.39,0.54,0.60,0.70,0.77,0.37%,3.47%,18.69%,54.66,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,567.13M,558.91M,2.44%,3.16,89.58,-1.86%,62.87%,91.99,10.64,1.20%,13.30%,0.30%,-1.33%,87.00%,-0.05%,-,-,26600,2.70
2018-10-26,19:40:06 ,94.28,-1.18%,"3,489,309",4.34M,53.47B,6.05B,100.47B,2.74,8.86,9.89,0.85,18.17,0.53,0.60,0.70,0.77,-0.85%,2.05%,17.17%,50.66,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,567.13M,558.91M,2.44%,3.14,89.58,-3.02%,60.94%,95.41,10.64,1.20%,13.30%,0.30%,-1.33%,87.00%,-0.05%,-,-,26600,2.70
2018-10-29,19:36:40 ,94.87,0.63%,"2,768,489",4.36M,53.97B,6.05B,100.47B,2.75,8.92,9.94,0.73,18.34,0.54,0.60,0.70,0.77,-0.19%,2.53%,17.80%,52.91,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,568.86M,558.91M,2.32%,2.98,90.12,-2.42%,61.95%,94.28,10.64,1.20%,13.30%,0.30%,-1.32%,87.00%,-0.15%,-,-,26600,2.70
2018-10-30,19:37:26 ,95.42,0.58%,"2,709,803",4.38M,54.28B,6.05B,100.47B,2.77,8.97,10.00,0.74,18.45,0.54,0.60,0.70,0.77,0.39%,2.96%,18.38%,55.01,8.70%,26.00%,19.00%,8.80%,5.30%,4.60%,568.86M,558.91M,2.32%,2.97,90.12,-1.85%,61.26%,94.87,10.64,1.20%,13.30%,0.30%,-1.32%,87.00%,-0.15%,-,-,26600,2.70
