date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:44:29 ,62.56,4.70%,"141,574",115.28K,2.18B,78.50M,807.30M,3.69,27.79,20.43,2.06,9.35,2.70,3.50,3.60,0.12,-2.84%,-0.50%,4.77%,46.68,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.85M,33.34M,1.52%,4.41,65.82,-6.70%,19.11%,59.75,2.25,11.10%,-29.30%,0.80%,-48.21%,94.00%,-0.09%,-,-,27800,2.20
2018-10-17,21:37:30 ,61.71,-1.36%,"129,082",115.28K,2.15B,78.50M,807.30M,3.64,27.41,20.15,2.03,9.23,2.66,3.50,3.60,0.12,-3.93%,-1.99%,3.33%,43.25,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.85M,33.34M,1.52%,4.41,65.82,-7.97%,17.50%,62.56,2.25,11.10%,-29.30%,0.80%,-48.21%,94.00%,-0.09%,-,-,27800,2.20
2018-10-18,22:14:59 ,61.28,-0.70%,"57,074",116.44K,2.14B,78.50M,807.30M,3.61,27.22,20.01,2.02,9.16,2.65,3.50,3.60,0.12,-4.32%,-2.76%,2.59%,41.68,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.85M,33.34M,1.52%,4.37,65.82,-8.61%,16.68%,61.71,2.25,11.10%,-29.30%,0.80%,-48.21%,94.00%,-0.09%,-,-,27800,2.20
2018-10-19,22:22:47 ,61.09,-0.31%,"78,661",116.32K,2.13B,78.50M,807.30M,3.60,27.14,19.95,2.01,9.13,2.64,3.50,3.60,0.12,-4.26%,-3.14%,2.27%,40.94,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.85M,33.34M,1.52%,4.37,65.82,-8.90%,16.32%,61.28,2.25,11.10%,-29.30%,0.80%,-48.21%,94.00%,-0.09%,-,-,27800,2.20
2018-10-22,19:40:40 ,62.47,2.26%,"107,689",115.68K,2.15B,78.50M,807.30M,3.68,27.75,20.40,2.06,9.22,2.66,3.50,3.60,0.12,-1.71%,-1.03%,4.58%,48.46,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.42M,33.34M,1.52%,4.39,65.82,-6.84%,18.94%,61.09,2.25,11.10%,-29.30%,0.80%,-48.40%,94.20%,0.23%,-,-,27800,2.20
2018-10-23,19:42:06 ,62.16,-0.50%,"105,494",116.51K,2.14B,78.50M,807.30M,3.67,27.61,20.30,2.05,9.18,2.65,3.50,3.60,0.12,-1.94%,-1.64%,4.05%,46.78,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.42M,33.34M,1.52%,4.36,65.82,-7.30%,18.35%,62.47,2.25,11.10%,-29.30%,0.80%,-48.40%,94.20%,0.23%,-,-,27800,2.20
2018-10-24,19:40:56 ,61.33,-1.34%,"178,660",117.50K,2.11B,78.50M,807.30M,3.62,27.25,20.03,2.02,9.06,2.61,3.50,3.60,0.12,-2.94%,-3.05%,2.66%,43.48,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.42M,33.34M,1.52%,4.33,65.82,-8.54%,16.77%,62.16,2.25,11.10%,-29.30%,0.80%,-47.82%,94.20%,0.23%,-,-,27800,2.20
2018-10-25,19:41:19 ,62.24,1.48%,"143,714",119.15K,2.14B,78.50M,807.30M,3.67,27.65,20.33,2.05,9.19,2.65,3.50,3.60,0.12,-1.12%,-1.68%,4.18%,48.42,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.42M,33.34M,1.52%,4.27,65.82,-7.18%,18.50%,61.33,2.25,11.10%,-29.30%,0.80%,-47.82%,94.20%,0.23%,-,-,27800,2.20
2018-10-26,19:39:54 ,62.36,0.19%,"105,767",120.04K,2.15B,78.50M,807.30M,3.68,27.70,20.37,2.05,9.21,2.66,3.50,3.60,0.12,-0.66%,-1.59%,4.37%,48.51,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.42M,33.34M,1.52%,4.23,65.82,-7.00%,18.73%,62.24,2.25,11.10%,-29.30%,0.80%,-47.82%,94.20%,0.23%,-,-,27800,2.20
2018-10-29,19:36:29 ,61.27,-1.75%,"123,234",120.17K,2.10B,78.50M,807.30M,3.61,27.22,20.25,2.02,9.00,2.60,3.50,3.60,0.12,-2.10%,-3.39%,2.54%,43.04,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.25M,33.34M,1.95%,5.42,65.82,-8.63%,16.66%,62.36,2.25,11.10%,-29.30%,0.80%,-47.95%,94.30%,0.31%,-,-,27800,2.20
2018-10-30,19:37:15 ,62.70,2.33%,"118,241",121.27K,2.15B,78.50M,807.30M,3.70,27.85,20.72,2.06,9.21,2.66,3.50,3.60,0.12,0.55%,-1.16%,4.94%,50.05,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.25M,33.34M,1.95%,5.37,65.82,-6.49%,19.38%,61.27,2.25,11.10%,-29.30%,0.80%,-47.95%,94.30%,0.31%,-,-,27800,2.20
2018-10-31,19:36:58 ,64.10,2.23%,"173,397",122.05K,2.20B,78.50M,807.30M,3.78,28.48,21.18,2.11,9.42,2.72,3.50,3.60,0.12,2.97%,0.99%,7.29%,55.97,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.25M,33.34M,1.95%,5.34,65.82,-4.41%,22.05%,62.70,2.25,11.10%,-29.30%,0.80%,-47.95%,94.30%,0.31%,-,-,27800,2.20
2018-11-01,19:39:30 ,62.00,-3.28%,"295,094",125.10K,2.12B,78.50M,807.30M,3.66,27.54,20.49,2.04,9.11,2.63,3.50,3.60,0.12,-0.36%,-2.42%,3.77%,46.88,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.25M,33.34M,1.95%,5.21,65.82,-7.54%,18.05%,64.10,2.25,11.10%,-29.30%,0.80%,-47.95%,94.30%,0.31%,-,-,27800,2.20
2018-11-03,01:05:08 ,58.79,-5.18%,"278,329",127.55K,2.01B,78.50M,807.30M,3.47,26.12,19.43,1.93,8.64,2.49,3.50,3.60,0.12,-5.39%,-7.50%,-1.60%,37.03,6.20%,8.30%,9.90%,34.60%,9.00%,6.10%,34.25M,33.34M,1.95%,5.11,65.82,-12.33%,11.94%,62.00,2.25,11.10%,-29.30%,0.80%,-47.95%,94.30%,0.31%,-,-,27800,2.20
2018-11-05,18:39:18 ,57.29,-2.55%,"329,598",129.91K,2.07B,78.50M,807.30M,3.44,25.45,18.88,1.89,8.55,2.57,3.30,3.30,0.52,-7.46%,-9.80%,-4.07%,33.81,5.00%,7.40%,9.90%,34.60%,9.10%,5.40%,36.19M,33.33M,1.95%,5.01,65.91,-14.56%,9.08%,58.79,2.25,20.20%,-28.00%,0.80%,-46.57%,94.50%,0.44%,-,-,27800,2.20
2018-11-06,18:35:13 ,57.89,1.05%,"219,948",134.84K,2.10B,78.50M,807.30M,3.47,25.72,19.07,1.90,8.64,2.60,3.30,3.30,0.52,-5.94%,-8.72%,-3.02%,36.41,5.00%,7.40%,9.90%,34.60%,9.10%,5.40%,36.19M,33.33M,1.95%,4.83,65.91,-13.67%,10.22%,57.29,2.25,20.20%,-28.00%,0.80%,-46.57%,94.50%,0.44%,-,-,27800,2.20
2018-11-07,18:41:11 ,58.78,1.54%,"262,633",136.45K,2.13B,78.50M,807.30M,3.53,26.11,19.37,1.93,8.77,2.64,3.30,3.30,0.52,-3.96%,-7.21%,-1.48%,40.25,5.00%,7.40%,9.90%,34.60%,9.10%,5.40%,36.19M,33.33M,1.95%,4.77,65.91,-12.34%,11.92%,57.89,2.25,20.20%,-28.00%,0.80%,-46.57%,94.50%,0.44%,-,-,27800,2.20
