date,title,source
Oct-30-18,"The Weather Couldn't Dampen Eagle Materials, Inc.'s Results",Motley Fool
Oct-30-18,Eagle Materials Inc (EXP) Q2 2019 Earnings Conference Call Transcript,Motley Fool
Oct-30-18,Eagle Materials (EXP) Q2 Earnings and Revenues Miss Estimates,Zacks
Oct-30-18,Eagle Materials: Fiscal 2Q Earnings Snapshot,Associated Press
Oct-30-18,Eagle Materials Reports Second Quarter EPS up 17% on Record Revenue,Business Wire
Oct-31-18,Hedge Fund Three Bays to Close After Poor Performance,Bloomberg
Nov-07-18,Eagle Materials Declares Quarterly Dividend,Business Wire
Nov-07-18,Edited Transcript of EXP earnings conference call or presentation 30-Oct-18 12:30pm GMT,Thomson Reuters StreetEvents
Nov-08-18,"Investor Expectations to Drive Momentum within Retail Properties of America, Chesapeake Energy, Omnicom Group, Hillenbrand, Eagle Materials, and Acco Brands  Discovering Underlying Factors of Influence",GlobeNewswire
Nov-16-18,Eagle Materials Inc (NYSE:EXP): Time For A Financial Health Check,Simply Wall St.
Dec-10-18,New Strong Sell Stocks for December 10th,Zacks
Dec-24-18,Brief Commentary On Eagle Materials Inc.s (NYSE:EXP) Fundamentals,Simply Wall St.
Jan-11-19,Heres why Eagle Materials Inc.s (NYSE:EXP) Returns On Capital Matters So Much,Simply Wall St.
Jan-14-19,Eagle Materials Schedules Third Quarter Fiscal 2019 Earnings Release and Conference Call with Senior Management,Business Wire
Jan-24-19,Difficult Q4 Diminishes Raymond James' Bullishness On Drywall Producers,Benzinga
