date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:44:36 ,68.19,1.65%,"1,399,128",1.11M,11.92B,526.10M,7.52B,6.31,23.34,20.30,1.75,11.67,1.59,2.10,2.10,0.00,-5.00%,-6.79%,-1.81%,33.71,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,174.75M,173.26M,4.18%,6.53,71.93,-12.76%,20.81%,67.08,2.92,17.10%,31.70%,0.20%,-2.62%,98.70%,0.07%,0.90,1.32%,16500,3.10
2018-10-17,21:37:36 ,68.80,0.89%,"1,677,421",1.11M,12.02B,526.10M,7.52B,6.36,23.55,20.48,1.77,11.78,1.60,2.10,2.10,0.00,-3.77%,-5.71%,-0.96%,37.20,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,174.75M,173.26M,4.18%,6.53,71.93,-11.98%,21.89%,68.19,2.92,17.10%,31.70%,0.20%,-2.62%,98.70%,0.07%,0.90,1.31%,16500,3.10
2018-10-18,22:15:06 ,66.58,-3.23%,"1,413,905",1.12M,11.64B,526.10M,7.52B,6.16,22.79,19.82,1.71,11.40,1.55,2.10,2.10,0.00,-6.53%,-8.65%,-4.18%,30.14,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,174.75M,173.26M,4.18%,6.48,71.93,-14.82%,17.96%,68.80,2.92,17.10%,31.70%,0.20%,-2.62%,98.70%,0.07%,0.90,1.35%,16500,3.10
2018-10-19,22:22:53 ,66.26,-0.48%,"1,627,220",1.13M,11.58B,526.10M,7.52B,6.13,22.68,19.73,1.70,11.34,1.54,2.10,2.10,0.00,-6.51%,-8.92%,-4.65%,29.70,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,174.75M,173.26M,4.18%,6.44,71.93,-15.23%,17.39%,66.58,2.92,17.10%,31.70%,0.20%,-2.62%,98.70%,0.07%,0.90,1.36%,16500,3.10
2018-10-22,19:40:47 ,66.99,1.10%,"1,204,000",1.14M,11.74B,526.10M,7.52B,6.20,22.93,19.94,1.72,11.50,1.56,2.10,2.10,0.00,-4.99%,-7.74%,-3.61%,34.59,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,175.18M,173.26M,4.18%,6.35,71.93,-14.29%,18.68%,66.26,2.92,17.10%,31.70%,0.20%,-2.61%,99.40%,0.80%,0.90,1.34%,16500,3.10
2018-10-23,19:42:14 ,66.20,-1.18%,"1,376,775",1.15M,11.60B,526.10M,7.52B,6.12,22.66,19.71,1.70,11.36,1.54,2.10,2.10,0.00,-5.76%,-8.68%,-4.76%,32.34,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,175.18M,173.26M,4.18%,6.33,71.93,-15.30%,17.28%,66.99,2.92,17.10%,31.70%,0.20%,-2.61%,99.40%,0.80%,0.90,1.36%,16500,3.10
2018-10-24,19:41:03 ,64.25,-2.95%,"1,070,785",1.15M,11.26B,526.10M,7.52B,5.94,22.00,19.13,1.65,11.02,1.50,2.10,2.10,0.00,-8.15%,-11.23%,-7.57%,27.15,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,175.18M,173.26M,4.18%,6.30,71.93,-17.80%,13.83%,66.20,2.92,17.10%,31.70%,0.20%,-2.61%,99.40%,0.80%,0.90,1.40%,16500,3.10
2018-10-25,19:41:26 ,66.22,3.07%,"1,418,116",1.14M,11.60B,526.10M,7.52B,6.13,22.67,19.71,1.70,11.36,1.54,2.10,2.10,0.00,-4.73%,-8.31%,-4.72%,38.06,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,175.18M,173.26M,4.18%,6.34,71.93,-15.28%,17.32%,64.25,2.92,17.10%,31.70%,0.20%,-2.61%,99.40%,0.80%,0.90,1.36%,16500,3.10
2018-10-26,19:40:01 ,65.33,-1.34%,"1,181,770",1.13M,11.44B,526.10M,7.52B,6.04,22.37,19.45,1.68,11.21,1.52,2.10,2.10,0.00,-5.57%,-9.37%,-6.01%,35.61,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,175.18M,173.26M,4.18%,6.39,71.93,-16.42%,15.74%,66.22,2.92,17.10%,31.70%,0.20%,-2.61%,99.40%,0.80%,0.90,1.38%,16500,3.10
2018-10-29,19:36:35 ,65.70,0.57%,"1,008,830",1.13M,11.61B,526.10M,7.52B,6.08,22.49,19.57,1.69,11.37,1.54,2.10,2.10,0.00,-4.47%,-8.64%,-5.47%,37.71,18.00%,28.80%,21.70%,33.30%,10.10%,7.50%,176.71M,173.26M,4.00%,6.15,71.93,-15.94%,16.40%,65.33,2.92,17.10%,31.70%,0.20%,-2.59%,99.40%,0.73%,0.90,1.37%,16500,3.10
