date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:48:23 ,35.60,2.12%,"251,695",145.72K,-,-,-,-,-,-,-,-,-,-,-,-,-5.09%,-6.43%,-9.96%,34.49,-,-,-,-,-,-,-,-,-,-,-,-16.22%,2.80%,34.86,-,-,-,-,-,-,-,0.85,2.39%,-,-
2018-10-17,21:41:31 ,35.24,-1.01%,"383,799",145.72K,-,-,-,-,-,-,-,-,-,-,-,-,-5.68%,-7.21%,-10.83%,31.40,-,-,-,-,-,-,-,-,-,-,-,-17.06%,1.76%,35.60,-,-,-,-,-,-,-,0.85,2.41%,-,-
2018-10-18,22:18:49 ,34.74,-1.42%,"208,195",149.47K,-,-,-,-,-,-,-,-,-,-,-,-,-6.60%,-8.33%,-12.05%,27.50,-,-,-,-,-,-,-,-,-,-,-,-18.24%,0.32%,35.24,-,-,-,-,-,-,-,0.85,2.45%,-,-
2018-10-19,22:26:36 ,34.70,-0.12%,"391,864",148.94K,-,-,-,-,-,-,-,-,-,-,-,-,-6.16%,-8.22%,-12.10%,27.05,-,-,-,-,-,-,-,-,-,-,-,-18.33%,0.20%,34.74,-,-,-,-,-,-,-,0.85,2.45%,-,-
2018-10-22,19:44:50 ,34.35,-1.01%,"96,575",152.81K,-,-,-,-,-,-,-,-,-,-,-,-,-6.57%,-8.94%,-12.92%,25.41,-,-,-,-,-,-,-,-,-,-,-,-19.16%,-0.46%,34.70,-,-,-,-,-,-,-,0.84,2.45%,-,-
2018-10-23,19:46:28 ,33.97,-1.11%,"261,211",149.87K,-,-,-,-,-,-,-,-,-,-,-,-,-7.03%,-9.76%,-13.82%,22.88,-,-,-,-,-,-,-,-,-,-,-,-20.05%,-0.95%,34.35,-,-,-,-,-,-,-,0.84,2.47%,-,-
2018-10-24,19:45:05 ,32.91,-3.12%,"243,143",152.50K,-,-,-,-,-,-,-,-,-,-,-,-,-9.29%,-12.38%,-16.44%,17.60,-,-,-,-,-,-,-,-,-,-,-,-22.55%,-1.67%,33.97,-,-,-,-,-,-,-,0.84,2.55%,-,-
2018-10-25,19:45:37 ,33.33,1.28%,"172,722",153.76K,-,-,-,-,-,-,-,-,-,-,-,-,-7.36%,-11.02%,-15.29%,23.86,-,-,-,-,-,-,-,-,-,-,-,-21.56%,1.31%,32.91,-,-,-,-,-,-,-,0.84,2.52%,-,-
2018-10-26,19:44:02 ,33.15,-0.54%,"196,366",154.44K,-,-,-,-,-,-,-,-,-,-,-,-,-7.17%,-11.32%,-15.67%,22.82,-,-,-,-,-,-,-,-,-,-,-,-21.98%,0.76%,33.33,-,-,-,-,-,-,-,0.84,2.53%,-,-
2018-10-29,19:40:29 ,33.22,0.21%,"366,376",155.01K,-,-,-,-,-,-,-,-,-,-,-,-,-6.31%,-10.92%,-15.41%,24.19,-,-,-,-,-,-,-,-,-,-,-,-21.82%,1.53%,33.15,-,-,-,-,-,-,-,0.80,2.41%,-,-
2018-10-30,19:41:09 ,33.49,0.81%,"311,407",158.64K,-,-,-,-,-,-,-,-,-,-,-,-,-4.89%,-9.99%,-14.64%,28.87,-,-,-,-,-,-,-,-,-,-,-,-21.18%,2.35%,33.22,-,-,-,-,-,-,-,0.80,2.39%,-,-
2018-10-31,19:40:46 ,33.84,1.05%,"156,159",162.21K,-,-,-,-,-,-,-,-,-,-,-,-,-3.27%,-8.82%,-13.66%,34.50,-,-,-,-,-,-,-,-,-,-,-,-20.36%,3.42%,33.49,-,-,-,-,-,-,-,0.80,2.36%,-,-
2018-11-01,19:43:27 ,34.51,1.98%,"141,617",162.57K,-,-,-,-,-,-,-,-,-,-,-,-,-0.74%,-6.78%,-11.87%,43.44,-,-,-,-,-,-,-,-,-,-,-,-18.78%,5.47%,33.84,-,-,-,-,-,-,-,0.80,2.32%,-,-
2018-11-03,01:09:23 ,34.71,0.58%,"206,889",163.70K,-,-,-,-,-,-,-,-,-,-,-,-,0.25%,-6.03%,-11.28%,45.94,-,-,-,-,-,-,-,-,-,-,-,-18.31%,6.08%,34.51,-,-,-,-,-,-,-,0.80,2.30%,-,-
2018-11-05,18:43:12 ,34.43,-0.81%,"124,245",165.81K,-,-,-,-,-,-,-,-,-,-,-,-,-0.25%,-6.60%,-11.91%,43.87,-,-,-,-,-,-,-,-,-,-,-,-18.97%,5.23%,34.71,-,-,-,-,-,-,-,0.84,2.44%,-,-
2018-11-06,18:39:06 ,34.54,0.32%,"229,082",166.24K,-,-,-,-,-,-,-,-,-,-,-,-,0.35%,-6.09%,-11.54%,44.89,-,-,-,-,-,-,-,-,-,-,-,-18.71%,5.56%,34.43,-,-,-,-,-,-,-,0.84,2.43%,-,-
2018-11-07,18:45:04 ,35.11,1.65%,"255,001",168.87K,-,-,-,-,-,-,-,-,-,-,-,-,2.27%,-4.29%,-10.00%,51.20,-,-,-,-,-,-,-,-,-,-,-,-17.37%,7.30%,34.54,-,-,-,-,-,-,-,0.84,2.39%,-,-
