date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:53:30 ,10.06,3.18%,"913,230",877.76K,1.06B,41.20M,970.60M,0.77,27.19,33.31,0.68,27.20,1.10,1.20,3.30,0.33,-6.16%,-10.91%,-21.26%,41.84,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,105.73M,74.87M,10.11%,8.62,13.27,-43.96%,7.02%,9.75,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-17,19:46:57 ,9.97,-0.89%,"846,183",884.45K,1.05B,41.20M,970.60M,0.76,26.95,33.01,0.67,26.96,1.09,1.20,3.30,0.33,-6.50%,-11.37%,-21.80%,40.62,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,105.73M,74.87M,10.11%,8.56,13.27,-44.46%,6.06%,10.06,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-18,20:25:27 ,9.28,-6.92%,"2,637,343",887.35K,981.17M,41.20M,970.60M,0.71,25.08,30.73,0.63,25.09,1.01,1.20,3.30,0.33,-12.41%,-17.13%,-27.02%,33.92,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,105.73M,74.87M,10.11%,8.53,13.27,-48.30%,-1.28%,9.97,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-19,20:33:45 ,9.28,0.00%,"698,110",915.83K,981.17M,41.20M,970.60M,0.71,25.08,30.73,0.63,25.09,1.01,1.20,3.30,0.33,-11.61%,-16.68%,-26.82%,33.63,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,105.73M,74.87M,10.11%,8.26,13.27,-48.30%,0.43%,9.28,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-22,17:46:34 ,9.20,-0.86%,"584,126",907.31K,1.00B,41.20M,970.60M,0.71,24.86,32.06,0.62,25.64,1.03,1.20,3.30,0.33,-11.56%,-16.96%,-27.25%,32.92,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,108.95M,74.87M,10.11%,8.34,12.96,-48.75%,-0.43%,9.28,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-23,17:47:12 ,8.60,-6.52%,"990,466",906.04K,936.97M,41.20M,970.60M,0.66,23.24,29.97,0.58,23.96,0.97,1.20,3.30,0.33,-16.61%,-21.93%,-31.79%,27.40,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,108.95M,74.87M,10.11%,8.35,12.96,-52.09%,-3.91%,9.20,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-24,17:46:24 ,8.27,-3.84%,"1,588,025",908.34K,901.02M,41.20M,970.60M,0.63,22.35,28.82,0.56,23.04,0.93,1.20,3.30,0.33,-18.92%,-24.49%,-34.19%,25.56,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,108.95M,74.87M,10.11%,8.33,12.96,-53.93%,-1.08%,8.60,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-25,17:46:42 ,8.54,3.26%,"1,132,296",921.72K,930.43M,41.20M,970.60M,0.65,23.08,29.76,0.58,23.80,0.96,1.20,3.30,0.33,-15.39%,-21.51%,-31.81%,30.45,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,108.95M,74.87M,10.11%,8.21,12.96,-52.42%,3.26%,8.27,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-26,17:45:29 ,8.60,0.70%,"1,405,897",916.06K,936.97M,41.20M,970.60M,0.66,23.24,29.97,0.58,23.96,0.97,1.20,3.30,0.33,-13.98%,-20.55%,-31.11%,31.63,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,108.95M,74.87M,10.11%,8.26,12.96,-52.09%,4.37%,8.54,0.37,36.30%,82.90%,0.60%,0.00%,-,0.07%,-,-,2600,2.30
2018-10-29,17:45:38 ,8.09,-5.93%,"1,605,377",918.17K,875.34M,41.20M,970.60M,0.62,21.86,28.19,0.55,22.39,0.90,1.20,3.30,0.33,-18.37%,-24.86%,-34.97%,28.39,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,108.20M,74.87M,10.18%,8.30,13.12,-54.93%,-0.49%,8.60,0.37,36.30%,82.90%,0.60%,0.00%,98.60%,-0.05%,-,-,2600,2.30
2018-10-30,17:46:02 ,8.79,8.65%,"1,708,845",919.38K,951.08M,41.20M,970.60M,0.67,23.76,30.63,0.59,24.32,0.98,1.20,3.30,0.33,-10.17%,-17.82%,-29.07%,38.77,2.20%,3.40%,-0.80%,24.80%,9.70%,4.80%,108.20M,74.87M,10.18%,8.29,13.12,-51.03%,10.29%,8.09,0.37,36.30%,82.90%,0.60%,0.00%,98.60%,-0.05%,-,-,2600,2.30
