date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:45:56 ,44.53,3.41%,"138,431",198.36K,1.91B,63.60M,2.04B,1.99,29.75,15.02,0.84,9.33,0.94,1.00,1.50,0.89,-11.42%,-8.67%,-5.72%,33.72,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.91M,41.14M,1.13%,2.34,52.56,-18.92%,14.33%,43.06,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.26%,-,-,7000,2.30
2018-10-17,20:38:25 ,43.45,-2.43%,"121,644",198.36K,1.86B,63.60M,2.04B,1.94,29.02,14.66,0.82,9.10,0.91,1.00,1.50,0.89,-12.88%,-10.79%,-7.98%,30.64,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.91M,41.14M,1.13%,2.34,52.56,-20.88%,11.55%,44.53,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.26%,-,-,7000,2.30
2018-10-18,21:17:16 ,41.51,-4.46%,"182,025",192.98K,1.78B,63.60M,2.04B,1.86,27.73,14.00,0.78,8.69,0.87,1.00,1.50,0.89,-15.94%,-14.63%,-12.06%,25.65,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.91M,41.14M,1.13%,2.40,52.56,-24.42%,6.57%,43.45,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.26%,-,-,7000,2.30
2018-10-19,21:25:12 ,40.90,-1.47%,"171,049",192.17K,1.76B,63.60M,2.04B,1.83,27.32,13.80,0.77,8.57,0.86,1.00,1.50,0.89,-16.17%,-15.69%,-13.30%,24.53,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.91M,41.14M,1.13%,2.41,52.56,-25.53%,5.01%,41.51,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.26%,-,-,7000,2.30
2018-10-22,18:38:51 ,40.57,-0.81%,"119,033",191.05K,1.75B,63.60M,2.04B,1.81,27.10,13.69,0.76,8.55,0.86,1.00,1.50,0.89,-15.73%,-16.18%,-13.94%,24.09,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,43.18M,41.14M,1.13%,2.43,52.56,-26.13%,4.16%,40.90,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.29%,-,-,7000,2.30
2018-10-23,18:39:35 ,39.85,-1.77%,"224,263",189.00K,1.72B,63.60M,2.04B,1.78,26.62,13.44,0.75,8.40,0.84,1.00,1.50,0.89,-16.12%,-17.47%,-15.40%,22.56,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,43.18M,41.14M,1.13%,2.45,52.56,-27.44%,2.31%,40.57,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.29%,-,-,7000,2.30
2018-10-24,18:39:36 ,37.71,-5.37%,"216,327",190.89K,1.63B,63.60M,2.04B,1.69,25.19,12.72,0.71,7.95,0.80,1.00,1.50,0.89,-19.45%,-21.72%,-19.88%,19.25,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,43.18M,41.14M,1.13%,2.43,52.56,-31.33%,-2.26%,39.85,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.29%,-,-,7000,2.30
2018-10-25,18:39:26 ,38.51,2.12%,"188,870",191.94K,1.66B,63.60M,2.04B,1.72,25.72,12.99,0.72,8.12,0.81,1.00,1.50,0.89,-16.46%,-19.79%,-18.10%,24.29,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,43.18M,41.14M,1.13%,2.42,52.56,-29.88%,2.28%,37.71,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.29%,-,-,7000,2.30
2018-10-26,18:37:51 ,38.71,0.52%,"217,600",193.14K,1.67B,63.60M,2.04B,1.73,25.86,13.06,0.73,8.16,0.82,1.00,1.50,0.89,-14.80%,-19.12%,-17.60%,25.16,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,43.18M,41.14M,1.13%,2.40,52.56,-29.51%,2.82%,38.51,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.29%,-,-,7000,2.30
2018-10-29,18:37:56 ,38.21,-1.29%,"250,457",194.52K,1.62B,63.60M,2.04B,1.71,25.52,12.89,0.72,7.89,0.79,1.00,1.50,0.89,-14.65%,-19.91%,-18.58%,24.67,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.32M,41.14M,0.85%,1.80,52.56,-30.42%,1.87%,38.71,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.24%,-,-,7000,2.30
2018-10-30,18:38:49 ,36.00,-5.78%,"504,930",197.30K,1.52B,63.60M,2.04B,1.61,24.05,12.15,0.68,7.44,0.75,1.00,1.50,0.89,-18.33%,-24.24%,-23.21%,21.18,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.32M,41.14M,0.85%,1.78,52.56,-34.45%,-3.90%,38.21,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.24%,-,-,7000,2.30
2018-10-31,18:38:36 ,34.23,-4.92%,"402,237",202.63K,1.45B,63.60M,2.04B,1.53,22.87,11.55,0.64,7.07,0.71,1.00,1.50,0.89,-20.96%,-27.60%,-26.89%,19.12,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.32M,41.14M,0.85%,1.73,52.56,-37.67%,-0.06%,36.00,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.24%,-,-,7000,2.30
2018-11-01,18:39:51 ,35.98,5.11%,"333,800",203.93K,1.52B,63.60M,2.04B,1.61,24.03,12.14,0.68,7.43,0.75,1.00,1.50,0.89,-15.15%,-23.41%,-23.05%,28.32,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.32M,41.14M,0.85%,1.72,52.56,-34.49%,5.14%,34.23,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.24%,-,-,7000,2.30
2018-11-03,00:02:49 ,37.00,2.83%,"264,602",200.16K,1.57B,63.60M,2.04B,1.65,24.72,12.48,0.69,7.64,0.77,1.00,1.50,0.89,-11.11%,-20.80%,-20.77%,33.48,3.00%,8.60%,4.70%,32.00%,7.90%,4.00%,42.32M,41.14M,0.85%,1.75,52.56,-32.63%,9.31%,35.98,1.50,6.70%,120.30%,0.80%,0.00%,90.60%,0.24%,-,-,7000,2.30
2018-11-05,17:39:13 ,37.52,1.41%,"317,103",200.02K,1.55B,83.50M,2.08B,1.61,19.14,12.93,0.54,7.01,0.75,1.10,1.60,0.85,-8.39%,-19.28%,-19.56%,36.18,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,41.38M,41.14M,0.85%,1.75,47.22,-31.68%,10.84%,37.00,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.80%,-,-,7000,2.30
2018-11-06,17:36:46 ,39.00,3.94%,"258,814",200.04K,1.61B,83.50M,2.08B,1.67,19.90,13.44,0.56,7.28,0.78,1.10,1.60,0.85,-3.35%,-15.68%,-16.28%,42.37,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,41.38M,41.14M,0.85%,1.75,47.22,-28.99%,15.21%,37.52,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.80%,-,-,7000,2.30
2018-11-07,17:42:21 ,40.19,3.05%,"201,833",202.02K,1.66B,83.50M,2.08B,1.72,20.51,13.85,0.58,7.50,0.80,1.10,1.60,0.85,0.78%,-12.73%,-13.64%,47.13,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,41.38M,41.14M,0.85%,1.74,47.22,-26.82%,18.73%,39.00,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.80%,-,-,7000,2.30
2018-11-08,17:36:33 ,39.97,-0.55%,"205,528",202.51K,1.65B,83.50M,2.08B,1.71,20.39,13.77,0.57,7.46,0.79,1.10,1.60,0.85,0.82%,-12.90%,-14.05%,46.41,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,41.38M,41.14M,0.85%,1.73,47.22,-27.22%,18.08%,40.19,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.80%,-,-,7000,2.30
2018-11-09,18:23:10 ,37.59,-5.95%,"422,567",201.94K,1.56B,83.50M,2.08B,1.61,19.18,12.95,0.54,7.02,0.75,1.10,1.60,0.85,-4.80%,-17.76%,-19.10%,39.27,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,41.38M,41.14M,0.85%,1.74,47.22,-31.55%,11.05%,39.97,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.80%,-,-,7000,2.30
2018-11-12,20:18:24 ,36.80,-2.10%,"357,216",207.13K,1.67B,83.50M,2.08B,1.58,18.78,12.96,0.53,7.51,0.80,1.10,1.60,0.85,-6.18%,-19.10%,-20.72%,37.03,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,45.25M,41.15M,0.81%,1.60,46.78,-32.99%,8.71%,37.59,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.74%,-,-,7000,2.30
2018-11-13,17:40:38 ,35.96,-2.28%,"326,372",210.73K,1.63B,83.50M,2.08B,1.54,18.35,12.66,0.52,7.34,0.78,1.10,1.60,0.85,-7.59%,-20.56%,-22.45%,34.91,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,45.25M,41.15M,0.81%,1.57,46.78,-34.52%,6.23%,36.80,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.74%,-,-,7000,2.30
2018-11-14,17:38:11 ,36.05,0.25%,"264,183",214.54K,1.63B,83.50M,2.08B,1.55,18.39,12.69,0.52,7.36,0.78,1.10,1.60,0.85,-6.32%,-19.96%,-22.16%,33.65,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,45.25M,41.15M,0.81%,1.55,46.78,-34.36%,6.50%,35.96,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.74%,-,-,7000,2.30
2018-11-15,17:37:06 ,36.72,1.86%,"298,235",217.51K,1.66B,83.50M,2.08B,1.57,18.73,12.93,0.53,7.50,0.80,1.10,1.60,0.85,-3.65%,-18.05%,-20.63%,36.38,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,45.25M,41.15M,0.81%,1.52,46.78,-33.14%,8.48%,36.05,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.74%,-,-,7000,2.30
2018-11-16,17:37:10 ,36.21,-1.39%,"502,172",217.93K,1.64B,83.50M,2.08B,1.55,18.47,12.75,0.52,7.39,0.79,1.10,1.60,0.85,-4.39%,-18.79%,-21.64%,34.88,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,45.25M,41.15M,0.81%,1.52,46.78,-34.07%,6.97%,36.72,1.96,8.00%,153.30%,0.80%,0.00%,89.70%,-0.74%,-,-,7000,2.30
2018-11-19,17:37:04 ,35.41,-2.21%,"310,342",224.15K,1.51B,83.50M,2.08B,1.52,18.07,12.47,0.51,6.80,0.72,1.10,1.60,0.85,-5.92%,-20.19%,-23.29%,32.26,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,42.55M,41.15M,0.81%,1.48,46.78,-35.52%,4.61%,36.21,1.96,8.00%,153.30%,0.50%,0.00%,90.30%,-0.05%,-,-,7000,2.30
2018-11-20,17:37:06 ,34.10,-3.70%,"382,870",226.36K,1.45B,83.50M,2.08B,1.46,17.40,12.01,0.49,6.55,0.70,1.10,1.60,0.85,-8.78%,-22.72%,-26.07%,29.14,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,42.55M,41.15M,0.81%,1.47,46.78,-37.91%,0.74%,35.41,1.96,8.00%,153.30%,0.50%,0.00%,90.30%,-0.05%,-,-,7000,2.30
2018-11-21,17:37:15 ,35.87,5.19%,"355,426",229.39K,1.53B,83.50M,2.08B,1.54,18.30,12.63,0.51,6.89,0.73,1.10,1.60,0.85,-3.30%,-18.22%,-22.13%,37.33,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,42.55M,41.15M,0.81%,1.45,46.78,-34.69%,5.97%,34.10,1.96,8.00%,153.30%,0.50%,0.00%,90.30%,-0.05%,-,-,7000,2.30
2018-11-23,17:39:00 ,35.25,-1.73%,"168,515",232.31K,1.50B,83.50M,2.08B,1.51,17.98,12.41,0.51,6.77,0.72,1.10,1.60,0.85,-4.73%,-19.20%,-23.37%,35.99,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,42.55M,41.15M,0.81%,1.43,46.78,-35.81%,4.14%,35.87,1.96,8.00%,153.30%,0.50%,0.00%,90.30%,-0.05%,-,-,7000,2.30
2018-11-26,17:37:43 ,36.79,4.37%,"707,619",234.09K,1.59B,83.50M,2.08B,1.58,18.77,13.04,0.53,7.19,0.77,1.10,1.60,0.85,-0.13%,-15.16%,-19.92%,42.72,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,43.30M,41.15M,0.81%,1.42,46.33,-33.01%,8.69%,35.25,1.96,8.00%,153.30%,0.50%,0.00%,91.30%,0.21%,-,-,7000,2.30
2018-11-27,17:36:40 ,35.86,-2.53%,"159,952",242.16K,1.55B,83.50M,2.08B,1.54,18.30,12.71,0.51,7.01,0.75,1.10,1.60,0.85,-2.40%,-16.82%,-21.87%,39.68,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,43.30M,41.15M,0.81%,1.37,46.33,-34.70%,5.94%,36.79,1.96,8.00%,153.30%,0.50%,0.00%,91.30%,0.21%,-,-,7000,2.30
2018-11-28,17:35:45 ,37.56,4.74%,"256,029",242.58K,1.63B,83.50M,2.08B,1.61,19.16,13.31,0.54,7.34,0.78,1.10,1.60,0.85,2.55%,-12.32%,-18.07%,46.13,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,43.30M,41.15M,0.81%,1.37,46.33,-31.61%,10.96%,35.86,1.96,8.00%,153.30%,0.50%,0.00%,91.30%,0.21%,-,-,7000,2.30
2018-11-29,17:36:40 ,36.30,-3.35%,"325,390",246.63K,1.57B,83.50M,2.08B,1.56,18.52,12.87,0.52,7.09,0.76,1.10,1.60,0.85,-1.10%,-14.67%,-20.74%,42.29,3.80%,10.50%,4.70%,31.60%,8.60%,4.90%,43.30M,41.15M,0.81%,1.34,46.33,-33.90%,7.24%,37.56,1.96,8.00%,153.30%,0.50%,0.00%,91.30%,0.21%,-,-,7000,2.30
