date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:52:44 ,213.89,2.56%,"413,976",567.60K,19.07B,709.20M,2.36B,5.55,28.02,17.82,1.62,20.74,8.09,0.90,0.90,1.38,-2.43%,-1.73%,2.26%,46.66,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.17M,87.34M,1.83%,2.81,250.64,-7.10%,33.68%,208.56,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.35%,-,-,7890,1.70
2018-10-17,19:46:13 ,212.89,-0.47%,"469,974",564.39K,18.98B,709.20M,2.36B,5.52,27.89,17.73,1.61,20.64,8.05,0.90,0.90,1.38,-2.73%,-2.16%,1.73%,45.30,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.17M,87.34M,1.83%,2.82,250.64,-7.54%,32.76%,213.89,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.35%,-,-,7890,1.70
2018-10-18,20:24:43 ,206.73,-2.89%,"599,638",550.82K,18.43B,709.20M,2.36B,5.36,27.08,17.22,1.56,20.04,7.82,0.90,0.90,1.38,-5.39%,-4.95%,-1.25%,38.55,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.17M,87.34M,1.83%,2.89,250.64,-10.21%,27.00%,212.89,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.35%,-,-,7890,1.70
2018-10-19,20:33:01 ,204.09,-1.28%,"839,731",546.81K,18.20B,709.20M,2.36B,5.29,26.73,17.00,1.54,19.79,7.72,0.90,0.90,1.38,-6.27%,-6.07%,-2.54%,35.86,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.17M,87.34M,1.83%,2.91,250.64,-11.36%,25.38%,206.73,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.35%,-,-,7890,1.70
2018-10-22,17:45:50 ,203.55,-0.26%,"437,283",552.83K,18.22B,709.20M,2.36B,5.28,26.66,16.96,1.54,19.81,7.73,0.90,0.90,1.38,-6.12%,-6.22%,-2.82%,35.66,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.53M,87.34M,1.83%,2.88,249.73,-11.59%,25.05%,204.09,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.37%,-,-,7890,1.70
2018-10-23,17:46:28 ,201.34,-1.09%,"721,648",550.53K,18.03B,709.20M,2.36B,5.22,26.37,16.78,1.52,19.60,7.64,0.90,0.90,1.38,-6.75%,-7.12%,-3.89%,33.32,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.53M,87.34M,1.83%,2.90,249.73,-12.55%,23.51%,203.55,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.37%,-,-,7890,1.70
2018-10-24,17:45:38 ,192.17,-4.55%,"718,872",550.23K,17.20B,709.20M,2.36B,4.98,25.17,16.01,1.45,18.71,7.30,0.90,0.90,1.38,-10.49%,-11.24%,-8.28%,26.36,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.53M,87.34M,1.83%,2.90,249.73,-16.53%,17.89%,201.34,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.37%,-,-,7890,1.70
2018-10-25,17:45:56 ,195.00,1.47%,"894,328",549.83K,17.46B,709.20M,2.36B,5.06,25.54,16.25,1.47,18.98,7.40,0.90,0.90,1.38,-8.47%,-9.74%,-6.92%,31.38,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.53M,87.34M,1.83%,2.90,249.73,-15.31%,19.62%,192.17,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.37%,-,-,7890,1.70
2018-10-26,17:44:44 ,188.40,-3.38%,"1,024,919",551.82K,16.87B,709.20M,2.36B,4.88,24.68,15.70,1.42,18.34,7.15,0.90,0.90,1.38,-10.89%,-12.65%,-10.05%,27.19,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,89.53M,87.34M,1.83%,2.89,249.73,-18.17%,15.50%,195.00,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.37%,-,-,7890,1.70
2018-10-29,17:44:53 ,183.23,-2.74%,"1,380,738",557.53K,16.76B,709.20M,2.36B,4.75,24.00,15.28,1.38,18.23,7.11,0.90,0.90,1.38,-12.52%,-14.84%,-12.49%,24.65,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,91.49M,87.34M,1.77%,2.78,249.73,-20.42%,12.33%,188.40,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.43%,-,-,7890,1.70
2018-10-30,17:45:17 ,185.25,1.10%,"1,434,591",569.57K,16.95B,709.20M,2.36B,4.80,24.27,15.44,1.40,18.43,7.19,0.90,0.90,1.38,-10.64%,-13.66%,-11.49%,28.03,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,91.49M,87.34M,1.77%,2.72,249.73,-19.54%,13.48%,183.23,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.43%,-,-,7890,1.70
2018-10-31,17:45:14 ,200.03,7.98%,"1,668,604",579.89K,18.30B,709.20M,2.36B,5.19,26.20,16.68,1.51,19.90,7.76,0.90,0.90,1.38,-2.58%,-6.51%,-4.39%,45.77,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,91.49M,87.34M,1.77%,2.67,249.73,-13.12%,22.42%,185.25,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.43%,-,-,7890,1.70
2018-11-01,17:45:40 ,199.84,-0.09%,"1,072,212",594.82K,18.28B,709.20M,2.36B,5.18,26.18,16.66,1.51,19.88,7.75,0.90,0.90,1.38,-2.06%,-6.46%,-4.47%,45.74,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,91.49M,87.34M,1.77%,2.60,249.73,-13.20%,21.85%,200.03,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.43%,-,-,7890,1.70
2018-11-02,23:09:22 ,197.34,-1.25%,"726,036",598.10K,18.05B,709.20M,2.36B,5.12,25.85,16.45,1.49,19.63,7.66,0.90,0.90,1.38,-2.78%,-7.47%,-5.66%,43.56,7.30%,23.20%,7.30%,97.50%,42.20%,35.50%,91.49M,87.34M,1.77%,2.59,249.73,-14.29%,17.12%,199.84,7.63,8.10%,37.20%,0.70%,0.00%,-,-0.43%,-,-,7890,1.70
2018-11-05,16:45:21 ,197.48,0.07%,"760,093",591.07K,17.68B,686.80M,2.40B,5.12,26.64,16.43,1.54,19.22,7.36,0.90,0.90,1.38,-2.20%,-7.25%,-5.57%,43.99,6.90%,21.90%,7.30%,98.70%,39.40%,33.00%,89.51M,86.93M,1.78%,2.62,247.83,-14.23%,13.29%,197.34,7.41,8.10%,37.20%,0.90%,0.00%,-,-0.43%,-,-,7890,1.70
2018-11-06,16:44:14 ,197.60,0.06%,"695,664",576.89K,17.69B,686.80M,2.40B,5.12,26.66,16.44,1.54,19.23,7.37,0.90,0.90,1.38,-1.67%,-7.01%,-5.49%,43.84,6.90%,21.90%,7.30%,98.70%,39.40%,33.00%,89.51M,86.93M,1.78%,2.68,247.83,-14.18%,13.36%,197.48,7.41,8.10%,37.20%,0.90%,0.00%,-,-0.43%,-,-,7890,1.70
2018-11-07,16:47:09 ,204.24,3.36%,"650,645",579.00K,18.28B,686.80M,2.40B,5.30,27.56,16.99,1.59,19.88,7.62,0.90,0.90,1.38,2.08%,-3.69%,-2.29%,51.42,6.90%,21.90%,7.30%,98.70%,39.40%,33.00%,89.51M,86.93M,1.78%,2.67,247.83,-11.29%,17.17%,197.60,7.41,8.10%,37.20%,0.90%,0.00%,-,-0.43%,-,-,7890,1.70
2018-11-08,16:44:05 ,204.58,0.17%,"783,382",582.02K,18.31B,686.80M,2.40B,5.30,27.60,17.02,1.59,19.91,7.63,0.90,0.90,1.38,2.28%,-3.41%,-2.12%,51.33,6.90%,21.90%,7.30%,98.70%,39.40%,33.00%,89.51M,86.93M,1.78%,2.66,247.83,-11.14%,17.37%,204.24,7.41,8.10%,37.20%,0.90%,0.00%,-,-0.43%,-,-,7890,1.70
