date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:52:48 ,61.30,2.75%,"270,964",253.71K,2.30B,67.90M,535.10M,8.49,35.05,26.01,2.34,101.54,4.31,1.20,2.20,0.24,-8.38%,-7.54%,30.59%,36.48,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,37.60M,36.52M,3.67%,5.29,63.00,-16.14%,84.64%,59.66,1.75,29.80%,33.40%,0.80%,-40.69%,-,0.90%,-,-,2000,2.30
2018-10-17,21:46:08 ,60.39,-1.48%,"144,341",253.71K,2.27B,67.90M,535.10M,8.36,34.53,25.62,2.30,100.03,4.24,1.20,2.20,0.24,-9.17%,-8.88%,28.35%,34.53,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,37.60M,36.52M,3.67%,5.29,63.00,-17.39%,81.90%,61.30,1.75,29.80%,33.40%,0.80%,-40.69%,-,0.90%,-,-,2000,2.30
2018-10-18,22:23:06 ,58.54,-3.06%,"152,141",253.36K,2.20B,67.90M,535.10M,8.11,33.47,24.84,2.23,96.96,4.11,1.20,2.20,0.24,-11.24%,-11.60%,24.13%,30.29,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,37.60M,36.52M,3.67%,5.29,63.00,-19.92%,76.33%,60.39,1.75,29.80%,33.40%,0.80%,-40.69%,-,0.90%,-,-,2000,2.30
2018-10-19,22:30:54 ,57.30,-2.12%,"180,037",253.03K,2.15B,67.90M,535.10M,7.94,32.76,24.31,2.18,94.91,4.03,1.20,2.20,0.24,-12.22%,-13.33%,21.25%,28.32,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,37.60M,36.52M,3.67%,5.30,63.00,-21.61%,72.59%,58.54,1.75,29.80%,33.40%,0.80%,-40.69%,-,0.90%,-,-,2000,2.30
2018-10-22,19:49:32 ,56.91,-0.68%,"220,240",252.18K,2.20B,67.90M,535.10M,7.88,32.54,24.15,2.17,96.87,4.11,1.20,2.20,0.24,-11.83%,-13.75%,20.19%,27.96,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,38.64M,36.52M,3.67%,5.32,63.00,-22.15%,71.42%,57.30,1.75,29.80%,33.40%,0.80%,-40.03%,-,0.01%,-,-,2000,2.30
2018-10-23,19:51:11 ,55.21,-2.99%,"395,807",252.08K,2.13B,67.90M,535.10M,7.65,31.57,23.42,2.10,93.98,3.99,1.20,2.20,0.24,-13.52%,-16.15%,16.39%,24.90,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,38.64M,36.52M,3.67%,5.32,63.00,-24.47%,66.30%,56.91,1.75,29.80%,33.40%,0.80%,-40.03%,-,0.01%,-,-,2000,2.30
2018-10-24,19:49:40 ,51.58,-6.57%,"379,539",254.35K,1.99B,67.90M,535.10M,7.14,29.49,21.88,1.97,87.80,3.72,1.20,2.20,0.24,-18.27%,-21.44%,8.54%,20.17,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,38.64M,36.52M,3.67%,5.27,63.00,-29.44%,55.36%,55.21,1.75,29.80%,33.40%,0.80%,-40.03%,-,0.01%,-,-,2000,2.30
2018-10-25,19:50:17 ,52.39,1.57%,"328,813",256.68K,2.02B,67.90M,535.10M,7.26,29.95,22.23,2.00,89.18,3.78,1.20,2.20,0.24,-15.76%,-19.83%,10.09%,24.28,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,38.64M,36.52M,3.67%,5.23,63.00,-28.33%,57.80%,51.58,1.75,29.80%,33.40%,0.80%,-40.03%,-,0.01%,-,-,2000,2.30
2018-10-26,19:48:39 ,51.78,-1.16%,"273,061",257.71K,2.00B,67.90M,535.10M,7.17,29.61,21.97,1.97,88.14,3.74,1.20,2.20,0.24,-15.55%,-20.47%,8.64%,23.12,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,38.64M,36.52M,3.67%,5.20,63.00,-29.17%,55.96%,52.39,1.75,29.80%,33.40%,0.80%,-40.03%,-,0.01%,-,-,2000,2.30
2018-10-29,19:44:51 ,50.66,-2.16%,"163,752",259.09K,1.94B,67.90M,535.10M,7.02,28.97,21.49,1.93,85.41,3.62,1.20,2.20,0.24,-16.12%,-21.87%,6.14%,22.06,14.00%,23.50%,16.60%,32.80%,14.30%,10.90%,38.27M,36.52M,3.81%,5.37,63.00,-30.70%,52.59%,51.78,1.75,29.80%,33.40%,0.80%,-40.26%,-,-0.78%,-,-,2000,2.30
