date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:51:33 ,30.52,2.35%,"678,267",761.01K,3.87B,222.00M,400.10M,2.33,16.62,35.08,1.66,62.66,9.68,-,-,0.80,-1.74%,-4.24%,-1.98%,42.00,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,126.88M,124.39M,1.18%,1.93,35.07,-10.34%,10.54%,29.82,1.84,-49.30%,-29.00%,1.20%,-17.83%,97.60%,-0.45%,0.87,2.85%,160,2.30
2018-10-17,19:45:06 ,30.46,-0.20%,"779,181",761.16K,3.86B,222.00M,400.10M,2.33,16.59,35.01,1.66,62.54,9.66,-,-,0.80,-1.76%,-4.28%,-2.16%,41.46,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,126.88M,124.39M,1.18%,1.93,35.07,-10.52%,10.32%,30.52,1.84,-49.30%,-29.00%,1.20%,-17.83%,97.60%,-0.45%,0.87,2.86%,160,2.30
2018-10-18,20:23:36 ,30.45,-0.03%,"545,958",751.82K,3.86B,222.00M,400.10M,2.33,16.58,35.00,1.66,62.52,9.66,-,-,0.80,-1.65%,-4.18%,-2.18%,42.49,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,126.88M,124.39M,1.18%,1.96,35.07,-10.55%,10.29%,30.46,1.84,-49.30%,-29.00%,1.20%,-17.83%,97.60%,-0.45%,0.87,2.86%,160,2.30
2018-10-19,20:31:54 ,30.65,0.66%,"639,587",747.71K,3.89B,222.00M,400.10M,2.34,16.69,35.23,1.67,62.93,9.72,-,-,0.80,-0.78%,-3.41%,-1.53%,45.88,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,126.88M,124.39M,1.18%,1.97,35.07,-9.96%,11.01%,30.45,1.84,-49.30%,-29.00%,1.20%,-17.83%,97.60%,-0.45%,0.87,2.84%,160,2.30
2018-10-22,17:44:42 ,30.39,-0.85%,"694,541",744.07K,3.80B,222.00M,400.10M,2.32,16.55,34.93,1.66,61.55,9.51,-,-,0.80,-1.43%,-4.11%,-2.37%,43.29,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,125.16M,124.39M,1.18%,1.98,34.93,-10.72%,10.07%,30.65,1.84,-49.30%,-29.00%,1.20%,-18.03%,97.50%,-0.59%,0.87,2.86%,160,2.30
2018-10-23,17:45:19 ,30.52,0.43%,"741,018",738.27K,3.82B,222.00M,400.10M,2.33,16.62,35.08,1.66,61.81,9.55,-,-,0.80,-0.88%,-3.57%,-1.95%,44.53,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,125.16M,124.39M,1.18%,1.99,34.93,-10.34%,10.54%,30.39,1.84,-49.30%,-29.00%,1.20%,-18.03%,97.50%,-0.59%,0.87,2.85%,160,2.30
2018-10-24,17:44:30 ,30.67,0.49%,"810,704",737.59K,3.84B,222.00M,400.10M,2.34,16.70,35.25,1.67,62.11,9.59,-,-,0.80,-0.29%,-2.98%,-1.47%,46.55,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,125.16M,124.39M,1.18%,1.99,34.93,-9.90%,11.08%,30.52,1.84,-49.30%,-29.00%,1.20%,-18.03%,97.50%,-0.59%,0.87,2.84%,160,2.30
2018-10-25,17:44:48 ,31.50,2.71%,"1,057,172",735.60K,3.94B,222.00M,400.10M,2.41,17.16,36.21,1.72,63.80,9.85,-,-,0.80,2.43%,-0.25%,1.20%,55.83,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,125.16M,124.39M,1.18%,2.00,34.93,-7.46%,14.09%,30.67,1.84,-49.30%,-29.00%,1.20%,-18.03%,97.50%,-0.59%,0.87,2.76%,160,2.30
2018-10-26,17:43:38 ,30.72,-2.48%,"957,265",737.29K,3.84B,222.00M,400.10M,2.35,16.73,35.31,1.67,62.22,9.61,-,-,0.80,-0.22%,-2.64%,-1.33%,46.71,7.40%,15.20%,5.00%,71.00%,34.30%,55.50%,125.16M,124.39M,1.18%,1.99,34.93,-9.75%,11.26%,31.50,1.84,-49.30%,-29.00%,1.20%,-18.03%,97.50%,-0.59%,0.87,2.83%,160,2.30
2018-10-29,17:43:44 ,31.13,1.33%,"1,024,086",727.21K,4.02B,209.70M,401.00M,2.38,18.08,35.78,1.81,65.07,10.03,-,-,0.80,1.22%,-1.20%,-0.03%,51.46,-,-,5.00%,71.10%,-,-,129.18M,124.39M,1.20%,2.05,34.93,-8.55%,12.75%,30.72,1.72,-49.30%,-29.00%,1.20%,-15.99%,97.40%,-0.62%,0.87,2.79%,160,2.30
