date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:46:26 ,12.35,1.73%,"26,625",22.87K,222.92M,13.70M,63.10M,1.29,15.06,10.80,-,5.14,3.53,-,-,0.13,-4.66%,-9.57%,-11.59%,31.02,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.05M,14.58M,2.37%,15.08,16.67,-17.67%,10.76%,12.14,0.82,51.40%,37.10%,4.80%,-,50.30%,0.11%,0.12,0.97%,142,1.30
2018-10-17,21:39:27 ,12.32,-0.24%,"5,152",22.87K,222.38M,13.70M,63.10M,1.29,15.02,10.78,-,5.12,3.52,-,-,0.13,-4.43%,-9.58%,-11.76%,30.32,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.05M,14.58M,2.37%,15.08,16.67,-17.87%,10.49%,12.35,0.82,51.40%,37.10%,4.80%,-,50.30%,0.11%,0.12,0.97%,142,1.30
2018-10-18,22:16:54 ,12.25,-0.57%,"9,952",22.46K,221.11M,13.70M,63.10M,1.28,14.94,10.72,-,5.09,3.50,-,-,0.13,-4.50%,-9.88%,-12.22%,29.26,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.05M,14.58M,2.37%,15.35,16.67,-18.33%,9.87%,12.32,0.82,51.40%,37.10%,4.80%,-,50.30%,0.11%,0.12,0.98%,142,1.30
2018-10-19,22:24:40 ,11.87,-3.10%,"21,093",22.31K,214.25M,13.70M,63.10M,1.24,14.48,10.38,-,4.94,3.40,-,-,0.13,-6.96%,-12.43%,-14.89%,23.98,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.05M,14.58M,2.37%,15.46,16.67,-20.87%,6.46%,12.25,0.82,51.40%,37.10%,4.80%,-,50.30%,0.11%,0.12,1.01%,142,1.30
2018-10-22,19:42:45 ,12.11,2.02%,"12,896",22.30K,218.95M,13.70M,63.10M,1.27,14.77,10.59,-,5.04,3.47,-,-,0.13,-4.52%,-10.36%,-13.11%,32.09,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.08M,14.58M,2.37%,15.47,16.67,-19.27%,8.61%,11.87,0.82,51.40%,37.10%,4.80%,-,50.50%,0.52%,0.12,0.99%,142,1.30
2018-10-23,19:44:14 ,11.91,-1.65%,"17,022",22.05K,215.33M,13.70M,63.10M,1.24,14.52,10.42,-,4.96,3.41,-,-,0.13,-5.66%,-11.60%,-14.49%,29.30,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.08M,14.58M,2.37%,15.64,16.67,-20.60%,6.82%,12.11,0.82,51.40%,37.10%,4.80%,-,50.50%,0.52%,0.12,1.01%,142,1.30
2018-10-24,19:43:01 ,11.80,-0.92%,"12,453",21.85K,213.34M,13.70M,63.10M,1.23,14.39,10.32,-,4.92,3.38,-,-,0.13,-6.01%,-12.15%,-15.21%,27.93,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.08M,14.58M,2.37%,15.78,16.67,-21.33%,5.83%,11.91,0.82,51.40%,37.10%,4.80%,-,50.50%,0.52%,0.12,1.02%,142,1.30
2018-10-25,19:43:30 ,11.95,1.27%,"14,546",21.50K,216.06M,13.70M,63.10M,1.25,14.57,10.45,-,4.98,3.42,-,-,0.13,-4.32%,-10.72%,-14.05%,32.97,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.08M,14.58M,2.37%,16.04,16.67,-20.33%,7.17%,11.80,0.82,51.40%,37.10%,4.80%,-,50.50%,0.52%,0.12,1.00%,142,1.30
2018-10-26,19:41:58 ,11.76,-1.59%,"63,381",21.40K,212.62M,13.70M,63.10M,1.23,14.34,10.29,-,4.90,3.37,-,-,0.13,-5.41%,-11.88%,-15.34%,30.09,0.50%,4.50%,17.40%,-,58.60%,11.10%,18.08M,14.58M,2.37%,16.11,16.67,-21.60%,5.47%,11.95,0.82,51.40%,37.10%,4.80%,-,50.50%,0.52%,0.12,1.02%,142,1.30
2018-10-29,19:38:29 ,11.94,1.53%,"25,928",22.12K,212.53M,16.70M,68.90M,1.17,12.58,10.63,-,3.59,3.08,-,-,0.12,-3.42%,-10.22%,-13.96%,35.46,0.60%,5.40%,17.40%,-,59.40%,13.20%,17.80M,14.55M,2.37%,15.59,15.67,-20.40%,7.09%,11.76,0.95,56.60%,42.00%,1.70%,-,50.50%,0.53%,0.12,1.01%,142,1.30
