date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:52:58 ,2.65,3.52%,"598,541",1.20M,101.12M,-115.40M,1.76B,0.75,-,-,-,17.44,0.06,0.40,1.80,1.26,24.35%,33.43%,6.64%,68.43,-,-,-38.20%,23.90%,-,-,38.16M,35.59M,20.54%,6.08,2.00,-53.18%,103.85%,2.56,-3.11,-4.30%,19.10%,2.40%,0.00%,68.00%,-0.56%,-,-,4138,3.00
2018-10-17,21:46:17 ,2.78,4.91%,"2,081,501",1.20M,106.08M,-115.40M,1.76B,0.79,-,-,-,18.29,0.06,0.40,1.80,1.26,28.55%,38.90%,12.19%,71.22,-,-,-38.20%,23.90%,-,-,38.16M,35.59M,20.54%,6.08,2.00,-50.88%,113.85%,2.65,-3.11,-4.30%,19.10%,2.40%,125.57%,68.00%,-0.56%,-,-,4138,3.00
2018-10-18,22:23:15 ,2.91,4.68%,"2,391,183",1.23M,111.05M,-115.40M,1.76B,0.83,-,-,-,19.15,0.06,0.40,1.80,1.26,32.27%,44.05%,17.73%,74.17,-,-,-38.20%,23.90%,-,-,38.16M,35.59M,20.54%,5.96,2.00,-48.59%,123.85%,2.78,-3.11,-4.30%,19.10%,2.40%,125.57%,68.00%,-0.56%,-,-,4138,3.00
2018-10-19,22:31:03 ,3.19,9.62%,"2,495,960",1.26M,121.73M,-115.40M,1.76B,0.91,-,-,-,20.99,0.07,0.40,1.80,1.26,42.03%,56.26%,29.36%,78.43,-,-,-38.20%,23.90%,-,-,38.16M,35.59M,20.54%,5.82,2.00,-43.64%,145.38%,2.91,-3.11,-4.30%,19.10%,2.40%,125.57%,68.00%,-0.56%,-,-,4138,3.00
2018-10-22,19:49:41 ,2.94,-7.84%,"1,695,331",1.29M,107.86M,-115.40M,1.76B,0.84,-,-,-,18.60,0.06,0.40,1.80,1.26,27.44%,42.10%,19.38%,67.59,-,-,-38.20%,23.90%,-,-,36.69M,35.59M,20.54%,5.67,2.00,-48.06%,126.15%,3.19,-3.11,-4.30%,19.10%,2.40%,130.61%,67.90%,-0.83%,-,-,4138,3.00
2018-10-23,19:51:21 ,2.63,-10.54%,"1,605,873",1.30M,96.49M,-115.40M,1.76B,0.75,-,-,-,16.64,0.05,0.40,1.80,1.26,11.65%,25.76%,6.96%,56.93,-,-,-38.20%,23.90%,-,-,36.69M,35.59M,20.54%,5.60,2.00,-53.53%,102.31%,2.94,-3.11,-4.30%,19.10%,2.40%,260.65%,67.90%,-0.83%,-,-,4138,3.00
2018-10-24,19:49:50 ,2.64,0.38%,"1,002,615",1.32M,96.85M,-115.40M,1.76B,0.75,-,-,-,16.70,0.06,0.40,1.80,1.26,10.60%,25.23%,7.58%,57.27,-,-,-38.20%,23.90%,-,-,36.69M,35.59M,20.54%,5.52,2.00,-53.11%,103.08%,2.63,-3.11,-4.30%,19.10%,2.40%,260.65%,67.90%,-0.83%,-,-,4138,3.00
2018-10-25,19:50:27 ,2.55,-3.41%,"1,385,070",1.33M,93.55M,-115.40M,1.76B,0.73,-,-,-,16.13,0.05,0.40,1.80,1.26,5.50%,19.97%,4.15%,54.50,-,-,-38.20%,23.90%,-,-,36.69M,35.59M,20.54%,5.52,2.00,-54.64%,96.15%,2.64,-3.11,-4.30%,19.10%,2.40%,260.65%,67.90%,-0.83%,-,-,4138,3.00
2018-10-26,19:48:49 ,2.46,-3.53%,"525,080",1.34M,90.25M,-115.40M,1.76B,0.70,-,-,-,15.56,0.05,0.40,1.80,1.26,0.72%,14.97%,0.75%,52.27,-,-,-38.20%,23.90%,-,-,36.69M,35.59M,20.54%,5.45,2.00,-56.24%,89.23%,2.55,-3.11,-4.30%,19.10%,2.40%,327.09%,67.90%,-0.83%,-,-,4138,3.00
2018-10-29,19:44:59 ,2.56,4.07%,"2,233,345",1.34M,98.87M,-115.40M,1.76B,0.73,-,-,-,17.05,0.06,0.40,1.80,1.26,3.92%,18.90%,5.19%,55.15,-,-,-38.20%,23.90%,-,-,38.62M,35.59M,19.88%,5.27,2.00,-53.20%,96.92%,2.46,-3.11,-4.30%,19.10%,2.40%,310.72%,67.90%,-0.79%,-,-,4138,3.00
