date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:52:07 ,2.60,-1.75%,"16,140",13.86K,265.39M,-,-,1.74,6.19,-,-,-,-,-,-,-,-9.80%,-9.27%,-24.11%,34.98,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.16,13.00,-64.38%,6.56%,2.65,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-17,21:45:32 ,2.50,-3.85%,"23,656",13.86K,255.19M,-,-,1.67,5.95,-,-,-,-,-,-,-,-12.82%,-12.61%,-26.86%,28.56,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.16,13.00,-65.75%,2.46%,2.60,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-18,22:22:31 ,2.41,-3.60%,"11,726",13.85K,246.00M,-,-,1.61,5.74,-,-,-,-,-,-,-,-15.21%,-15.52%,-29.33%,26.10,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.16,13.00,-66.99%,-1.23%,2.50,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-19,22:30:19 ,2.43,0.78%,"18,110",13.60K,247.93M,-,-,1.62,5.78,-,-,-,-,-,-,-,-13.67%,-14.50%,-28.61%,25.23,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.20,13.00,-66.73%,1.20%,2.41,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-22,19:48:53 ,2.35,-3.25%,"21,053",13.69K,239.88M,-,-,1.57,5.60,-,-,-,-,-,-,-,-15.38%,-16.95%,-30.71%,22.79,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.19,13.00,-67.81%,-0.42%,2.43,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-23,19:50:32 ,2.30,-2.13%,"27,944",13.64K,234.77M,-,-,1.54,5.48,-,-,-,-,-,-,-,-16.15%,-18.42%,-31.95%,19.71,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.19,13.00,-68.49%,-0.86%,2.35,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-24,19:49:03 ,2.22,-3.48%,"9,958",14.01K,226.61M,-,-,1.48,5.29,-,-,-,-,-,-,-,-18.02%,-20.96%,-34.05%,18.31,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.14,13.00,-69.59%,0.09%,2.30,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-25,19:49:39 ,2.17,-2.26%,"5,074",13.96K,221.49M,-,-,1.45,5.17,-,-,-,-,-,-,-,-18.70%,-22.41%,-35.27%,16.72,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.14,13.00,-70.28%,-2.16%,2.22,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-26,19:48:01 ,2.15,-0.82%,"1,200",13.82K,219.68M,-,-,1.44,5.12,-,-,-,-,-,-,-,-18.10%,-22.76%,-35.43%,15.83,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.17,13.00,-70.52%,0.80%,2.17,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-29,19:44:15 ,2.05,-4.75%,"15,666",13.45K,209.24M,-,-,1.37,4.88,-,-,-,-,-,-,-,-20.72%,-26.17%,-38.25%,14.06,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.23,13.00,-71.92%,-3.31%,2.15,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-30,19:44:53 ,2.11,2.69%,"5,292",13.62K,214.87M,-,-,1.41,5.01,-,-,-,-,-,-,-,-17.20%,-23.86%,-36.31%,20.74,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.20,13.00,-71.16%,4.73%,2.05,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-10-31,19:44:27 ,2.12,0.71%,"5,024",13.48K,216.40M,-,-,1.42,5.05,-,-,-,-,-,-,-,-15.37%,-22.91%,-35.58%,22.99,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.22,13.00,-70.96%,5.47%,2.11,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-11-01,19:47:15 ,2.44,15.09%,"168,727",13.04K,249.06M,-,-,1.63,5.81,-,-,-,-,-,-,-,-1.15%,-10.91%,-25.53%,48.06,-,-,-,-,-,-,102.08M,12.10M,0.25%,2.30,13.00,-66.58%,21.39%,2.12,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-11-03,01:14:00 ,2.39,-2.05%,"12,640",15.54K,243.96M,-,-,1.60,5.69,-,-,-,-,-,-,-,-2.25%,-12.44%,-26.79%,45.81,-,-,-,-,-,-,102.08M,12.10M,0.25%,1.93,13.00,-67.26%,18.91%,2.44,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-11-05,18:46:59 ,2.40,0.42%,"67,614",15.40K,244.98M,-,-,1.61,5.71,-,-,-,-,-,-,-,-0.87%,-11.76%,-26.22%,46.59,-,-,-,-,-,-,102.08M,12.10M,0.32%,2.51,13.00,-67.12%,19.40%,2.39,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-11-06,18:42:49 ,2.36,-1.62%,"9,543",16.36K,241.01M,-,-,1.58,5.62,-,-,-,-,-,-,-,-1.71%,-12.81%,-27.14%,44.85,-,-,-,-,-,-,102.08M,12.10M,0.32%,2.36,13.00,-67.66%,17.47%,2.40,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-11-07,18:48:47 ,2.56,8.42%,"69,906",16.39K,261.31M,-,-,1.71,6.10,-,-,-,-,-,-,-,7.44%,-5.11%,-20.70%,55.42,-,-,-,-,-,-,102.08M,12.10M,0.32%,2.36,13.00,-64.93%,27.36%,2.36,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
2018-11-08,18:43:37 ,2.45,-4.30%,"6,434",16.96K,250.08M,-,-,1.64,5.83,-,-,-,-,-,-,-,3.12%,-8.96%,-23.82%,50.01,-,-,-,-,-,-,102.08M,12.10M,0.32%,2.28,13.00,-66.44%,21.89%,2.56,0.42,-,-,-,-,0.19%,-,-,-,42,2.00
