date,title,source
Oct-26-18,"General American Investors Reports Net Assets as of September 30, 2018",Business Wire
Nov-07-18,General American Investors Company Declares Year-End Dividends and Distributions on Common and Preferred Stock,Business Wire
Dec-13-18,General American Investors Company Announces Actions Taken by the Board of Directors,Business Wire
Dec-14-18,"General American Investors Announces Issue Price for the 2018 Year-End Dividend and Distribution Payable on December 28, 2018",Business Wire
Feb-04-19,Capital Confidential: Whispers from the U.K.s business and politics worlds,MarketWatch
Feb-06-19,General American Investors Company Announces Actions Taken by the Board of Directors,Business Wire
Feb-20-19,"General American Investors Files Certified Shareholder Report for Year Ended December 31, 2018",Business Wire
Feb-21-19,"General American Investors Company, Inc. -- Moody's announces completion of a periodic review of ratings of General American Investors Company, Inc.",Moody's
Feb-27-19,Corporate Bond Traders Stuck in Rut See Trade Talks as Salvation,Bloomberg
Mar-21-19,Simplest Fund Strategy Riding Stock-Bond Rally Is Under Threat,Bloomberg
Mar-25-19,China Local Government Debt - The Bomb That Doesn't Explode,Bloomberg
Apr-24-19,"General American Investors Company, Inc. Quarterly Dividend and Distribution on 5.95% Preferred Stock",Business Wire
May-01-19,"General American Investors Reports Net Assets as of March 31, 2019",Business Wire
May-09-19,"Is General American Investors, Inc. (GAM) A Good Stock To Buy?",Insider Monkey
