date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:57:38 ,9.53,-0.29%,"18,146",23.20K,101.21M,-5.10M,30.80M,0.81,-,8.80,-,25.95,3.29,-,-,0.60,-1.30%,-1.24%,-0.18%,46.54,-,-,10.70%,75.90%,-,-,10.62M,8.66M,1.06%,3.95,11.50,-8.76%,10.97%,9.56,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,10.49%,-,2.30
2018-10-17,21:51:03 ,9.57,0.42%,"4,397",23.20K,101.63M,-5.10M,30.80M,0.81,-,8.84,-,26.06,3.30,-,-,0.60,-0.89%,-0.87%,0.26%,48.13,-,-,10.70%,75.90%,-,-,10.62M,8.66M,1.06%,3.95,11.50,-8.38%,11.44%,9.53,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,10.45%,-,2.30
2018-10-18,22:27:48 ,9.59,0.21%,"14,142",22.81K,101.85M,-5.10M,30.80M,0.81,-,8.86,-,26.11,3.31,-,-,0.60,-0.66%,-0.73%,0.49%,47.19,-,-,10.70%,75.90%,-,-,10.62M,8.66M,1.06%,4.02,11.50,-8.19%,11.67%,9.57,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,10.43%,-,2.30
2018-10-19,22:35:35 ,9.59,0.00%,"19,279",22.74K,101.85M,-5.10M,30.80M,0.81,-,8.86,-,26.11,3.31,-,-,0.60,-0.62%,-0.79%,0.52%,47.81,-,-,10.70%,75.90%,-,-,10.62M,8.66M,1.06%,4.03,11.50,-8.19%,11.67%,9.59,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,10.43%,-,2.30
2018-10-22,19:54:38 ,9.51,-0.83%,"4,559,847",22.91K,101.38M,-5.10M,30.80M,0.81,-,8.78,-,25.99,3.29,-,-,0.60,-1.43%,-1.66%,-0.29%,44.14,-,-,10.70%,75.90%,-,-,10.66M,8.66M,1.06%,4.00,11.50,-8.95%,10.74%,9.59,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,10.52%,-,2.30
2018-10-23,19:56:18 ,8.50,-10.62%,"337,495",92.85K,90.61M,-5.10M,30.80M,0.72,-,7.85,-,23.23,2.94,-,-,0.60,-11.72%,-12.09%,-10.85%,22.10,-,-,10.70%,75.90%,-,-,10.66M,8.66M,1.06%,0.99,11.50,-18.62%,-1.02%,9.51,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,11.76%,-,2.30
2018-10-24,19:54:42 ,7.99,-6.00%,"295,213",97.88K,85.17M,-5.10M,30.80M,0.68,-,7.38,-,21.84,2.77,-,-,0.60,-16.44%,-17.20%,-16.12%,17.43,-,-,10.70%,75.90%,-,-,10.66M,8.66M,1.06%,0.94,11.50,-23.50%,-5.44%,8.50,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,12.52%,-,2.30
2018-10-25,19:55:28 ,8.18,2.38%,"68,923",102.95K,87.20M,-5.10M,30.80M,0.69,-,7.55,-,22.36,2.83,-,-,0.60,-13.65%,-14.96%,-14.03%,23.94,-,-,10.70%,75.90%,-,-,10.66M,8.66M,1.06%,0.89,11.50,-21.69%,5.41%,7.99,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,12.22%,-,2.30
2018-10-26,19:53:45 ,8.37,2.32%,"78,561",103.77K,89.22M,-5.10M,30.80M,0.71,-,7.73,-,22.88,2.90,-,-,0.60,-10.84%,-12.75%,-11.94%,29.17,-,-,10.70%,75.90%,-,-,10.66M,8.66M,1.06%,0.88,11.50,-19.87%,7.86%,8.18,-0.43,16.10%,220.90%,18.75%,-,53.70%,-,1.00,11.95%,-,2.30
2018-10-29,19:49:36 ,8.31,-0.72%,"36,387",104.77K,88.52M,-,30.84M,0.70,-,7.69,-,-,2.87,-,-,-,-10.85%,-13.17%,-12.49%,28.78,-,-,-,-,-,-,10.65M,-,-,1.07,11.50,-20.44%,7.09%,8.37,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.03%,-,2.30
2018-10-30,19:50:19 ,8.17,-1.68%,"32,266",105.21K,87.03M,-,30.84M,0.69,-,7.56,-,-,2.82,-,-,-,-11.75%,-14.42%,-13.87%,27.20,-,-,-,-,-,-,10.65M,-,-,1.07,11.50,-21.78%,5.28%,8.31,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.24%,-,2.30
2018-10-31,19:49:41 ,8.09,-0.98%,"16,072",105.64K,86.18M,-,30.84M,0.69,-,7.49,-,-,2.79,-,-,-,-11.97%,-15.01%,-14.62%,26.58,-,-,-,-,-,-,10.65M,-,-,1.06,11.50,-22.55%,4.25%,8.17,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.36%,-,2.30
2018-11-01,19:52:36 ,8.22,1.55%,"46,296",105.71K,87.51M,-,30.84M,0.70,-,7.61,-,-,2.84,-,-,-,-9.93%,-13.37%,-13.19%,30.32,-,-,-,-,-,-,10.65M,-,-,1.06,11.50,-21.35%,5.86%,8.09,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.17%,-,2.30
2018-11-03,01:19:53 ,8.12,-1.16%,"46,010",106.29K,86.50M,-,30.84M,0.69,-,7.52,-,-,2.81,-,-,-,-10.34%,-14.09%,-14.10%,29.23,-,-,-,-,-,-,10.65M,-,-,1.06,11.50,-22.26%,4.64%,8.22,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.32%,-,2.30
2018-11-05,18:52:26 ,8.10,-0.25%,"23,189",106.89K,86.28M,-,30.84M,0.69,-,7.50,-,-,2.80,-,-,-,-9.77%,-13.99%,-14.21%,29.19,-,-,-,-,-,-,10.65M,-,-,1.05,11.50,-22.45%,4.38%,8.12,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.35%,-,2.30
2018-11-06,18:48:16 ,8.09,-0.12%,"23,924",107.22K,86.18M,-,30.84M,0.69,-,7.49,-,-,2.79,-,-,-,-9.09%,-13.79%,-14.22%,28.07,-,-,-,-,-,-,10.65M,-,-,1.05,11.50,-22.55%,4.25%,8.10,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.36%,-,2.30
2018-11-07,18:54:06 ,8.14,0.62%,"35,402",107.29K,86.71M,-,30.84M,0.69,-,7.54,-,-,2.81,-,-,-,-7.69%,-12.94%,-13.59%,30.35,-,-,-,-,-,-,10.65M,-,-,1.05,11.50,-22.07%,4.90%,8.09,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.29%,-,2.30
2018-11-08,18:48:58 ,8.15,0.12%,"54,425",107.63K,86.82M,-,30.84M,0.69,-,7.55,-,-,2.82,-,-,-,-6.78%,-12.52%,-13.39%,32.12,-,-,-,-,-,-,10.65M,-,-,1.05,11.50,-21.97%,5.03%,8.14,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.27%,-,2.30
2018-11-09,19:30:15 ,8.11,-0.49%,"16,086",108.35K,86.39M,-,30.84M,0.69,-,7.51,-,-,2.80,-,-,-,-6.46%,-12.60%,-13.71%,32.08,-,-,-,-,-,-,10.65M,-,-,1.04,11.50,-22.36%,4.51%,8.15,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.33%,-,2.30
2018-11-12,21:30:20 ,8.18,0.86%,"26,262",108.24K,87.14M,-,30.84M,0.69,-,7.57,-,-,2.83,-,-,-,-4.82%,-11.51%,-12.86%,34.43,-,-,-,-,-,-,10.65M,-,-,0.83,11.50,-21.69%,5.41%,8.11,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.22%,-,2.30
2018-11-13,18:57:47 ,8.02,-1.96%,"94,473",107.95K,85.43M,-,30.84M,0.68,-,7.43,-,-,2.77,-,-,-,-5.93%,-12.92%,-14.47%,31.50,-,-,-,-,-,-,10.65M,-,-,0.83,11.50,-23.22%,3.35%,8.18,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.47%,-,2.30
2018-11-14,18:49:50 ,7.99,-0.37%,"35,467",108.99K,85.11M,-,30.84M,0.68,-,7.40,-,-,2.76,-,-,-,-5.44%,-12.92%,-14.69%,29.91,-,-,-,-,-,-,10.65M,-,-,0.82,11.50,-23.50%,2.96%,8.02,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.52%,-,2.30
2018-11-15,18:48:24 ,8.05,0.75%,"162,994",109.17K,85.75M,-,30.84M,0.68,-,7.45,-,-,2.78,-,-,-,-3.83%,-11.91%,-13.96%,32.37,-,-,-,-,-,-,10.65M,-,-,0.82,11.50,-22.93%,3.74%,7.99,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.42%,-,2.30
2018-11-16,18:48:33 ,8.16,1.37%,"28,430",110.85K,86.92M,-,30.84M,0.69,-,7.56,-,-,2.82,-,-,-,-1.61%,-10.35%,-12.69%,37.46,-,-,-,-,-,-,10.65M,-,-,0.81,11.50,-21.88%,5.15%,8.05,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.25%,-,2.30
2018-11-19,18:48:01 ,8.05,-1.35%,"43,335",110.83K,85.75M,-,30.84M,0.68,-,7.67,-,-,2.78,-,-,-,-2.09%,-11.23%,-13.78%,34.82,-,-,-,-,-,-,10.65M,-,-,0.81,11.50,-22.93%,3.74%,8.16,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.42%,-,2.30
2018-11-20,18:49:09 ,8.14,1.12%,"89,614",111.07K,86.71M,-,30.84M,0.69,-,7.75,-,-,2.81,-,-,-,-0.11%,-9.84%,-12.75%,37.53,-,-,-,-,-,-,10.65M,-,-,0.81,11.50,-22.07%,4.90%,8.05,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.29%,-,2.30
2018-11-21,18:48:25 ,8.25,1.35%,"36,789",111.98K,87.88M,-,30.84M,0.70,-,7.86,-,-,2.85,-,-,-,1.46%,-8.25%,-11.50%,42.59,-,-,-,-,-,-,10.65M,-,-,0.80,11.50,-21.01%,6.31%,8.14,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.12%,-,2.30
2018-11-23,18:48:55 ,8.25,0.00%,"5,412",111.59K,87.88M,-,30.84M,0.70,-,7.86,-,-,2.85,-,-,-,1.30%,-7.99%,-11.44%,42.76,-,-,-,-,-,-,10.65M,-,-,0.80,11.50,-21.01%,6.31%,8.25,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.12%,-,2.30
2018-11-26,18:53:47 ,8.29,0.48%,"56,749",112.89K,88.31M,-,30.84M,0.70,-,7.90,-,-,2.86,-,-,-,1.75%,-7.33%,-10.97%,43.82,-,-,-,-,-,-,10.65M,-,-,0.80,11.50,-20.63%,6.83%,8.25,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.06%,-,2.30
2018-11-27,18:47:40 ,8.39,1.21%,"38,192",113.45K,89.37M,-,30.84M,0.71,-,7.99,-,-,2.90,-,-,-,3.02%,-5.97%,-9.86%,49.07,-,-,-,-,-,-,10.65M,-,-,0.79,11.50,-19.67%,8.12%,8.29,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,11.92%,-,2.30
2018-11-28,18:46:27 ,8.35,-0.48%,"37,457",113.57K,88.95M,-,30.84M,0.71,-,7.95,-,-,2.88,-,-,-,2.48%,-6.22%,-10.25%,48.07,-,-,-,-,-,-,10.65M,-,-,0.79,11.50,-20.06%,7.60%,8.39,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,11.98%,-,2.30
2018-11-29,18:47:40 ,8.27,-0.96%,"74,339",113.50K,88.10M,-,30.84M,0.70,-,7.88,-,-,2.86,-,-,-,1.39%,-6.88%,-11.06%,45.16,-,-,-,-,-,-,10.65M,-,-,0.79,11.50,-20.82%,6.57%,8.35,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.09%,-,2.30
2018-11-30,18:48:13 ,8.40,1.57%,"27,172",114.11K,89.48M,-,30.84M,0.71,-,8.00,-,-,2.90,-,-,-,2.87%,-5.13%,-9.58%,51.14,-,-,-,-,-,-,10.65M,-,-,0.79,11.50,-19.58%,8.25%,8.27,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,11.90%,-,2.30
2018-12-03,18:56:04 ,8.36,-0.48%,"14,916",114.21K,89.05M,-,30.84M,0.71,-,7.96,-,-,2.89,-,-,-,2.26%,-5.31%,-9.95%,48.99,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-19.96%,7.73%,8.40,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,11.96%,-,2.30
2018-12-04,18:49:14 ,8.31,-0.60%,"18,830",114.36K,88.52M,-,30.84M,0.70,-,7.91,-,-,2.87,-,-,-,1.50%,-5.60%,-10.41%,44.94,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-20.44%,7.09%,8.36,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.03%,-,2.30
2018-12-06,18:48:17 ,8.37,0.72%,"12,174",114.44K,89.16M,-,30.84M,0.71,-,7.97,-,-,2.89,-,-,-,2.10%,-4.58%,-9.68%,47.61,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-19.87%,7.86%,8.31,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,11.95%,-,2.30
2018-12-07,18:48:11 ,8.19,-2.15%,"22,656",115.85K,87.24M,-,30.84M,0.69,-,7.80,-,-,2.83,-,-,-,-0.26%,-6.32%,-11.55%,40.02,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-21.59%,5.54%,8.37,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.21%,-,2.30
2018-12-10,18:48:08 ,8.01,-2.20%,"61,752",115.98K,85.33M,-,30.84M,0.68,-,7.63,-,-,2.77,-,-,-,-2.48%,-8.04%,-13.41%,34.75,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-23.31%,3.22%,8.19,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.48%,-,2.30
2018-12-11,18:47:44 ,8.14,1.62%,"26,463",116.63K,86.71M,-,30.84M,0.69,-,7.75,-,-,2.81,-,-,-,-0.82%,-6.15%,-11.91%,40.61,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-22.07%,4.90%,8.01,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.29%,-,2.30
2018-12-12,18:50:56 ,8.07,-0.86%,"18,144",116.56K,85.96M,-,30.84M,0.68,-,7.69,-,-,2.79,-,-,-,-1.69%,-6.62%,-12.58%,38.06,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-22.74%,3.99%,8.14,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.39%,-,2.30
2018-12-13,18:50:43 ,8.15,0.99%,"9,051",115.75K,86.82M,-,30.84M,0.69,-,7.76,-,-,2.82,-,-,-,-0.65%,-5.36%,-11.63%,41.58,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-21.97%,5.03%,8.07,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.27%,-,2.30
2018-12-14,18:47:51 ,8.00,-1.84%,"19,517",114.50K,85.22M,-,30.84M,0.68,-,7.62,-,-,2.76,-,-,-,-2.55%,-6.80%,-13.19%,37.12,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-23.41%,3.09%,8.15,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.50%,-,2.30
2018-12-17,18:46:51 ,7.87,-1.63%,"47,712",113.76K,83.83M,-,30.84M,0.67,-,-,-,-,2.72,-,-,-,-4.14%,-8.00%,-14.54%,33.47,-,-,-,-,-,-,10.65M,-,-,0.39,11.50,-24.65%,1.42%,8.00,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.71%,-,2.30
2018-12-18,18:46:33 ,7.90,0.38%,"12,671",113.96K,84.15M,-,30.84M,0.67,-,-,-,-,2.73,-,-,-,-3.67%,-7.30%,-14.15%,34.50,-,-,-,-,-,-,10.65M,-,-,0.39,11.50,-24.37%,1.80%,7.87,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.66%,-,2.30
2018-12-19,18:46:37 ,7.79,-1.39%,"14,933",113.40K,82.98M,-,30.84M,0.66,-,-,-,-,2.69,-,-,-,-4.86%,-8.20%,-15.28%,31.74,-,-,-,-,-,-,10.65M,-,-,0.39,11.50,-25.42%,0.39%,7.90,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,12.84%,-,2.30
2018-12-20,18:46:49 ,7.68,-1.48%,"51,031",113.32K,81.76M,-,30.84M,0.65,-,-,-,-,2.65,-,-,-,-6.12%,-9.15%,-16.47%,29.40,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-26.52%,-1.10%,7.79,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,13.03%,-,2.30
2018-12-21,18:46:35 ,7.63,-0.54%,"17,122",113.67K,81.32M,-,30.84M,0.65,-,-,-,-,2.64,-,-,-,-6.36%,-9.21%,-16.85%,31.37,-,-,-,-,-,-,10.65M,-,-,0.39,11.50,-26.92%,-0.21%,7.68,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,13.10%,-,2.30
2018-12-24,18:49:41 ,7.47,-2.14%,"28,946",113.32K,79.57M,-,30.84M,0.63,-,-,-,-,2.58,-,-,-,-8.02%,-10.73%,-18.56%,29.26,-,-,-,-,-,-,10.65M,-,-,0.40,11.50,-28.48%,-1.84%,7.63,-0.47,14.80%,-,18.75%,-,57.59%,-,1.00,13.39%,-,2.30
