date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:40:03 ,36.18,2.17%,"5,294",3.04K,-,-,-,-,-,-,-,-,-,-,-,-,-3.25%,-4.52%,-1.67%,40.99,-,-,-,-,-,-,-,-,-,0.05,-,-7.94%,14.78%,35.41,-,-,-,-,-,-,-,0.22,0.61%,-,-
2018-10-17,22:34:51 ,36.03,-0.41%,"6,412",3.04K,-,-,-,-,-,-,-,-,-,-,-,-,-3.36%,-4.88%,-2.11%,39.12,-,-,-,-,-,-,-,-,-,0.05,-,-8.32%,14.31%,36.18,-,-,-,-,-,-,-,0.22,0.61%,-,-
2018-10-18,23:10:46 ,35.15,-2.44%,"1,296",3.10K,-,-,-,-,-,-,-,-,-,-,-,-,-5.42%,-7.15%,-4.52%,32.31,-,-,-,-,-,-,-,-,-,0.05,-,-10.56%,11.52%,36.03,-,-,-,-,-,-,-,0.22,0.63%,-,-
2018-10-19,23:17:35 ,35.04,-0.31%,"1,353",3.12K,-,-,-,-,-,-,-,-,-,-,-,-,-5.29%,-7.32%,-4.83%,31.28,-,-,-,-,-,-,-,-,-,0.05,-,-10.84%,11.17%,35.15,-,-,-,-,-,-,-,0.22,0.63%,-,-
2018-10-22,20:40:46 ,35.36,0.91%,"1,353",3.11K,-,-,-,-,-,-,-,-,-,-,-,-,-3.98%,-6.33%,-3.97%,35.60,-,-,-,-,-,-,-,-,-,0.05,-,-10.03%,12.18%,35.04,-,-,-,-,-,-,-,0.22,0.62%,-,-
2018-10-23,20:42:07 ,34.69,-1.89%,"6,616",3.12K,-,-,-,-,-,-,-,-,-,-,-,-,-5.44%,-7.99%,-5.80%,30.71,-,-,-,-,-,-,-,-,-,0.05,-,-11.73%,10.06%,35.36,-,-,-,-,-,-,-,0.22,0.63%,-,-
2018-10-24,20:40:06 ,33.90,-2.28%,"9,941",3.22K,-,-,-,-,-,-,-,-,-,-,-,-,-7.13%,-9.94%,-7.95%,25.81,-,-,-,-,-,-,-,-,-,0.05,-,-13.74%,7.55%,34.69,-,-,-,-,-,-,-,0.22,0.65%,-,-
2018-10-25,20:41:17 ,34.32,1.24%,"13,072",3.37K,-,-,-,-,-,-,-,-,-,-,-,-,-5.37%,-8.65%,-6.80%,31.29,-,-,-,-,-,-,-,-,-,0.05,-,-12.67%,8.88%,33.90,-,-,-,-,-,-,-,0.22,0.64%,-,-
2018-10-26,20:41:03 ,33.82,-1.46%,"2,805",3.58K,-,-,-,-,-,-,-,-,-,-,-,-,-6.19%,-9.85%,-8.15%,28.56,-,-,-,-,-,-,-,-,-,0.04,-,-13.94%,7.30%,34.32,-,-,-,-,-,-,-,0.22,0.65%,-,-
2018-10-29,20:31:47 ,33.00,-2.42%,"4,508",3.61K,-,-,-,-,-,-,-,-,-,-,-,-,-7.87%,-11.87%,-10.37%,25.04,-,-,-,-,-,-,-,-,-,0.04,-,-16.03%,4.10%,33.82,-,-,-,-,-,-,-,0.21,0.64%,-,-
