date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:53:55 ,45.77,10.98%,"469,061",309.40K,1.65B,-73.90M,-,8.51,-,-,-,8.78,-,13.60,13.60,0.00,-10.01%,-18.05%,9.97%,38.26,-48.30%,-52.60%,-,-,-,-,36.09M,28.05M,7.72%,7.00,75.50,-34.21%,153.78%,41.24,-2.55,-,-12.70%,0.20%,-,76.80%,0.07%,-,-,44,1.70
2018-10-17,21:47:12 ,46.81,2.27%,"350,361",309.40K,1.69B,-73.90M,-,8.70,-,-,-,8.98,-,13.60,13.60,0.00,-6.39%,-16.00%,12.12%,42.32,-48.30%,-52.60%,-,-,-,-,36.09M,28.05M,7.72%,7.00,75.50,-32.72%,159.55%,45.77,-2.55,-,-12.70%,0.20%,-,76.80%,0.07%,-,-,44,1.70
2018-10-18,22:24:07 ,46.90,0.19%,"293,380",311.59K,1.69B,-73.90M,-,8.72,-,-,-,8.99,-,13.60,13.60,0.00,-4.96%,-15.66%,11.98%,41.35,-48.30%,-52.60%,-,-,-,-,36.09M,28.05M,7.72%,6.95,75.50,-32.59%,160.05%,46.81,-2.55,-,-12.70%,0.20%,-,76.80%,0.07%,-,-,44,1.70
2018-10-19,22:31:55 ,46.81,-0.19%,"392,853",313.21K,1.69B,-73.90M,-,8.70,-,-,-,8.98,-,13.60,13.60,0.00,-3.98%,-15.68%,11.41%,41.20,-48.30%,-52.60%,-,-,-,-,36.09M,28.05M,7.72%,6.91,75.50,-32.72%,159.55%,46.90,-2.55,-,-12.70%,0.20%,-,76.80%,0.07%,-,-,44,1.70
2018-10-22,19:50:39 ,39.54,-15.53%,"692,603",315.28K,1.43B,-73.90M,-,7.35,-,-,-,7.59,-,13.60,13.60,0.00,-18.07%,-28.53%,-6.19%,29.15,-48.30%,-52.60%,-,-,-,-,36.15M,28.03M,7.73%,6.87,75.50,-43.17%,119.24%,46.81,-2.55,-,-12.70%,0.30%,-,76.80%,0.07%,-,-,44,1.70
2018-10-23,19:52:19 ,39.32,-0.56%,"186,663",323.62K,1.42B,-73.90M,-,7.31,-,-,-,7.55,-,13.60,13.60,0.00,-16.97%,-28.49%,-6.94%,29.16,-48.30%,-52.60%,-,-,-,-,36.15M,28.03M,7.73%,6.69,75.50,-43.48%,118.02%,39.54,-2.55,-,-12.70%,0.30%,-,76.80%,0.07%,-,-,44,1.70
2018-10-24,19:50:46 ,36.14,-8.09%,"433,958",323.19K,1.31B,-73.90M,-,6.72,-,-,-,6.94,-,13.60,13.60,0.00,-22.10%,-33.86%,-14.67%,25.76,-48.30%,-52.60%,-,-,-,-,36.15M,28.03M,7.73%,6.70,75.50,-48.05%,100.39%,39.32,-2.55,-,-12.70%,0.30%,-,76.80%,0.07%,-,-,44,1.70
2018-10-25,19:51:25 ,38.26,5.87%,"319,658",326.59K,1.38B,-73.90M,-,7.11,-,-,-,7.35,-,13.60,13.60,0.00,-15.69%,-29.44%,-9.83%,32.17,-48.30%,-52.60%,-,-,-,-,36.15M,28.03M,7.73%,6.63,75.50,-45.01%,112.14%,36.14,-2.55,-,-12.70%,0.30%,-,76.80%,0.07%,-,-,44,1.70
2018-10-26,19:49:47 ,37.13,-2.95%,"301,920",322.63K,1.34B,-73.90M,-,6.90,-,-,-,7.13,-,13.60,13.60,0.00,-16.67%,-31.07%,-12.66%,30.56,-48.30%,-52.60%,-,-,-,-,36.15M,28.03M,7.73%,6.71,75.50,-46.63%,105.88%,38.26,-2.55,-,-12.70%,0.30%,-,76.80%,0.07%,-,-,44,1.70
2018-10-29,19:45:52 ,36.09,-2.80%,"324,885",323.41K,1.34B,-73.90M,-,6.71,-,-,-,7.13,-,13.60,13.60,0.00,-17.60%,-32.48%,-15.25%,28.97,-48.30%,-52.60%,-,-,-,-,37.17M,28.03M,6.96%,6.03,74.50,-48.12%,100.11%,37.13,-2.55,-,-12.70%,0.30%,-,76.80%,0.08%,-,-,44,1.70
