date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:44:41 ,1.80,-2.17%,"154,342",311.08K,62.64M,-0.60M,20.50M,90.00,-,-,-,3.71,3.06,2.80,3.20,32.00,-24.13%,-18.01%,-53.24%,37.71,-82.10%,60.90%,13.00%,45.10%,-,-,34.80M,34.80M,1.22%,1.37,7.50,-81.58%,24.14%,1.84,-0.08,-5.20%,-20.20%,2.60%,-,40.90%,15.75%,-,-,105,1.80
2018-10-18,23:15:25 ,2.08,-4.59%,"245,946",315.75K,72.38M,-0.60M,20.50M,104.00,-,-,-,4.28,3.53,2.80,3.20,32.00,-10.05%,-5.08%,-45.58%,47.62,-82.10%,60.90%,13.00%,45.10%,-,-,34.80M,34.80M,1.22%,1.35,7.50,-76.43%,43.45%,2.18,-0.08,-5.20%,-20.20%,2.60%,-,40.90%,15.75%,-,-,105,1.80
2018-10-19,23:22:12 ,1.93,-7.21%,"53,244",317.66K,67.16M,-0.60M,20.50M,96.50,-,-,-,3.97,3.28,2.80,3.20,32.00,-15.33%,-12.12%,-49.32%,44.10,-82.10%,60.90%,13.00%,45.10%,-,-,34.80M,34.80M,1.22%,1.34,7.50,-76.46%,33.10%,2.08,-0.08,-5.20%,-20.20%,2.60%,-,40.90%,15.75%,-,-,105,1.80
2018-10-22,20:45:49 ,1.86,-3.63%,"87,409",317.38K,78.45M,-0.60M,20.50M,93.00,-,-,-,4.64,3.83,2.80,3.20,32.00,-17.13%,-15.47%,-50.95%,43.12,-82.10%,60.90%,13.00%,45.10%,-,-,42.18M,37.02M,1.15%,1.34,7.50,-77.32%,28.28%,1.93,-0.08,-5.20%,-20.20%,2.60%,-,40.70%,12.24%,-,-,105,1.80
2018-10-23,20:47:08 ,1.82,-2.15%,"150,059",317.97K,76.77M,-0.60M,20.50M,91.00,-,-,-,4.54,3.74,2.80,3.20,32.00,-17.67%,-17.57%,-51.79%,42.77,-82.10%,60.90%,13.00%,45.10%,-,-,42.18M,37.02M,1.15%,1.34,7.50,-77.80%,25.52%,1.86,-0.08,-5.20%,-20.20%,2.60%,-,40.70%,12.24%,-,-,105,1.80
2018-10-24,20:45:09 ,1.62,-10.99%,"151,554",318.81K,68.33M,-0.60M,20.50M,81.00,-,-,-,4.04,3.33,2.80,3.20,32.00,-25.53%,-26.80%,-56.92%,38.62,-82.10%,60.90%,13.00%,45.10%,-,-,42.18M,37.02M,1.15%,1.33,7.50,-80.24%,11.72%,1.82,-0.08,-5.20%,-20.20%,2.60%,-,40.70%,12.24%,-,-,105,1.80
2018-10-26,20:46:30 ,1.63,0.00%,"67,291",316.42K,68.75M,-0.60M,20.50M,81.50,-,-,-,4.07,3.35,2.80,3.20,32.00,-21.62%,-26.24%,-56.33%,37.54,-82.10%,60.90%,13.00%,45.10%,-,-,42.18M,37.02M,1.15%,1.34,7.50,-80.12%,12.41%,1.63,-0.08,-5.20%,-20.20%,2.60%,-,40.70%,12.24%,-,-,105,1.80
2018-10-29,20:36:23 ,1.57,-3.68%,"268,730",316.01K,61.45M,-0.60M,20.50M,78.50,-,-,-,3.64,3.00,2.80,3.20,32.00,-22.12%,-28.82%,-57.78%,35.42,-82.10%,60.90%,13.00%,45.10%,-,-,39.14M,37.02M,0.86%,1.01,6.83,-80.85%,8.28%,1.63,-0.08,-5.20%,-20.20%,2.60%,-,42.90%,19.27%,-,-,105,1.80
2018-10-30,20:37:59 ,1.65,5.10%,"59,282",318.90K,64.58M,-0.60M,20.50M,82.50,-,-,-,3.82,3.15,2.80,3.20,32.00,-15.84%,-25.03%,-55.46%,38.09,-82.10%,60.90%,13.00%,45.10%,-,-,39.14M,37.02M,0.86%,1.00,6.83,-79.88%,13.79%,1.57,-0.08,-5.20%,-20.20%,2.60%,-,42.90%,19.27%,-,-,105,1.80
2018-10-31,20:36:24 ,1.89,14.55%,"164,924",318.21K,73.97M,-0.60M,20.50M,94.50,-,-,-,4.38,3.61,2.80,3.20,32.00,-1.56%,-14.05%,-48.81%,47.18,-82.10%,60.90%,13.00%,45.10%,-,-,39.14M,37.02M,0.86%,1.00,6.83,-76.95%,30.34%,1.65,-0.08,-5.20%,-20.20%,2.60%,-,42.90%,19.27%,-,-,105,1.80
