date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:00:02 ,20.75,2.22%,"317,756",277.96K,1.11B,25.60M,117.20M,1.68,42.00,15.21,6.46,26.56,9.47,-,-,2.25,-1.70%,-1.41%,3.63%,46.68,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,53.50M,49.95M,8.92%,16.03,24.14,-17.92%,19.73%,20.30,0.49,26.50%,37.70%,3.50%,0.61%,77.20%,-0.43%,1.32,6.36%,47,1.90
2018-10-17,19:53:13 ,20.52,-1.11%,"164,069",279.78K,1.10B,25.60M,117.20M,1.66,41.54,15.04,6.39,26.26,9.37,-,-,2.25,-2.62%,-2.58%,2.56%,43.55,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,53.50M,49.95M,8.92%,15.92,24.14,-18.83%,18.41%,20.75,0.49,26.50%,37.70%,3.50%,0.61%,77.20%,-0.43%,1.32,6.43%,47,1.90
2018-10-18,20:31:44 ,20.26,-1.27%,"341,273",278.88K,1.08B,25.60M,117.20M,1.64,41.01,14.85,6.31,25.93,9.25,-,-,2.25,-3.67%,-3.89%,1.35%,39.47,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,53.50M,49.95M,8.92%,15.97,24.14,-19.86%,16.91%,20.52,0.49,26.50%,37.70%,3.50%,0.61%,77.20%,-0.43%,1.32,6.52%,47,1.90
2018-10-19,20:40:03 ,20.27,0.05%,"220,174",282.40K,1.08B,25.60M,117.20M,1.64,41.03,14.86,6.31,25.94,9.25,-,-,2.25,-3.35%,-3.87%,1.48%,39.82,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,53.50M,49.95M,8.92%,15.77,24.14,-19.82%,16.96%,20.26,0.49,26.50%,37.70%,3.50%,0.61%,77.20%,-0.43%,1.32,6.51%,47,1.90
2018-10-22,17:52:57 ,20.16,-0.54%,"258,246",283.23K,1.06B,25.60M,117.20M,1.63,40.81,14.77,6.28,25.42,9.07,-,-,2.25,-3.54%,-4.40%,1.01%,38.85,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,52.70M,49.95M,8.92%,15.73,24.14,-20.25%,16.33%,20.27,0.49,26.50%,37.70%,3.50%,0.62%,77.30%,-0.33%,1.32,6.55%,47,1.90
2018-10-23,17:53:36 ,19.87,-1.44%,"344,316",282.75K,1.05B,25.60M,117.20M,1.61,40.22,14.56,6.19,25.05,8.93,-,-,2.25,-4.60%,-5.77%,-0.38%,35.26,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,52.70M,49.95M,8.92%,15.75,24.14,-21.40%,14.66%,20.16,0.49,26.50%,37.70%,3.50%,0.62%,77.30%,-0.33%,1.32,6.64%,47,1.90
2018-10-24,17:53:03 ,19.75,-0.60%,"233,425",283.01K,1.04B,25.60M,117.20M,1.60,39.98,14.47,6.15,24.90,8.88,-,-,2.25,-4.82%,-6.29%,-0.92%,33.78,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,52.70M,49.95M,8.92%,15.74,24.14,-21.06%,13.96%,19.87,0.49,26.50%,37.70%,3.50%,0.62%,77.30%,-0.33%,1.32,6.68%,47,1.90
2018-10-25,17:53:05 ,19.83,0.41%,"319,165",283.08K,1.05B,25.60M,117.20M,1.61,40.14,14.53,6.18,25.00,8.92,-,-,2.25,-4.07%,-5.85%,-0.45%,35.90,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,52.70M,49.95M,8.92%,15.74,24.14,-19.54%,14.43%,19.75,0.49,26.50%,37.70%,3.50%,0.62%,77.30%,-0.33%,1.32,6.66%,47,1.90
2018-10-26,17:51:53 ,19.59,-1.21%,"305,506",285.59K,1.03B,25.60M,117.20M,1.59,39.66,14.35,6.10,24.70,8.81,-,-,2.25,-4.89%,-6.93%,-1.60%,32.55,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,52.70M,49.95M,8.92%,15.60,24.14,-20.27%,13.04%,19.83,0.49,26.50%,37.70%,3.50%,0.62%,77.30%,-0.33%,1.32,6.74%,47,1.90
2018-10-29,17:52:04 ,19.79,1.02%,"309,009",286.79K,1.06B,25.60M,117.20M,1.60,40.06,14.50,6.16,25.27,9.01,-,-,2.25,-3.48%,-5.87%,-0.51%,37.07,1.10%,4.00%,1.50%,36.80%,24.20%,21.90%,53.37M,49.95M,8.77%,15.28,24.29,-19.45%,14.20%,19.59,0.49,26.50%,37.70%,3.50%,0.62%,76.10%,-1.80%,1.32,6.67%,47,1.90
