date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:59:57 ,17.06,2.59%,"4,817,730",5.72M,6.18B,495.80M,6.63B,8.05,12.57,9.04,18.09,15.52,0.93,0.80,2.00,5.86,-3.33%,-4.57%,-12.47%,43.88,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,362.01M,356.37M,12.52%,7.79,21.00,-29.27%,5.90%,16.63,1.36,4.20%,-17.20%,0.50%,2.63%,-,0.08%,0.60,3.52%,67200,2.50
2018-10-17,19:53:09 ,16.88,-1.06%,"5,410,809",5.72M,6.11B,495.80M,6.63B,7.96,12.44,8.94,17.90,15.35,0.92,0.80,2.00,5.86,-4.07%,-5.46%,-13.30%,40.71,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,362.01M,356.37M,12.52%,7.79,21.00,-30.02%,4.78%,17.06,1.36,4.20%,-17.20%,0.50%,2.63%,-,0.08%,0.60,3.55%,67200,2.50
2018-10-18,20:31:40 ,16.55,-1.95%,"6,840,961",5.73M,5.99B,495.80M,6.63B,7.81,12.20,8.77,17.55,15.05,0.90,0.80,2.00,5.86,-5.58%,-7.17%,-14.90%,36.79,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,362.01M,356.37M,12.52%,7.78,21.00,-31.38%,2.73%,16.88,1.36,4.20%,-17.20%,0.50%,2.63%,-,0.08%,0.60,3.63%,67200,2.50
2018-10-19,20:39:59 ,16.32,-1.39%,"3,792,245",5.73M,5.91B,495.80M,6.63B,7.70,12.03,8.64,17.30,14.84,0.89,0.80,2.00,5.86,-6.34%,-8.25%,-15.99%,35.44,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,362.01M,356.37M,12.52%,7.78,21.00,-31.57%,1.30%,16.55,1.36,4.20%,-17.20%,0.50%,2.63%,-,0.08%,0.60,3.68%,67200,2.50
2018-10-22,17:52:52 ,16.58,1.59%,"4,939,500",5.74M,6.06B,495.80M,6.63B,7.82,12.22,8.80,17.58,15.23,0.91,0.80,2.00,5.86,-4.19%,-6.53%,-14.54%,40.83,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,365.59M,356.30M,12.52%,7.78,20.86,-30.48%,2.92%,16.32,1.36,4.20%,-17.20%,0.50%,2.61%,-,0.13%,0.60,3.62%,67200,2.50
2018-10-23,17:53:31 ,16.67,0.54%,"5,289,072",5.77M,6.09B,495.80M,6.63B,7.86,12.28,8.85,17.68,15.31,0.92,0.80,2.00,5.86,-3.24%,-5.81%,-13.97%,42.59,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,365.59M,356.30M,12.52%,7.74,20.86,-30.10%,3.48%,16.58,1.36,4.20%,-17.20%,0.50%,2.61%,-,0.13%,0.60,3.60%,67200,2.50
2018-10-24,17:52:58 ,16.60,-0.42%,"5,944,632",5.77M,6.07B,495.80M,6.63B,7.83,12.23,8.81,17.60,15.25,0.92,0.80,2.00,5.86,-3.30%,-6.04%,-14.23%,42.02,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,365.59M,356.30M,12.52%,7.74,20.86,-28.85%,3.04%,16.67,1.36,4.20%,-17.20%,0.50%,2.61%,-,0.13%,0.60,3.61%,67200,2.50
2018-10-25,17:53:00 ,16.86,1.57%,"5,317,959",5.75M,6.16B,495.80M,6.63B,7.95,12.42,8.95,17.88,15.49,0.93,0.80,2.00,5.86,-1.36%,-4.40%,-12.77%,46.53,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,365.59M,356.30M,12.52%,7.75,20.86,-27.73%,4.66%,16.60,1.36,4.20%,-17.20%,0.50%,2.61%,-,0.13%,0.60,3.56%,67200,2.50
2018-10-26,17:51:49 ,16.42,-2.61%,"6,314,047",5.78M,6.00B,495.80M,6.63B,7.75,12.10,8.72,17.41,15.08,0.91,0.80,2.00,5.86,-3.57%,-6.75%,-14.94%,39.87,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,365.59M,356.30M,12.52%,7.72,20.86,-29.62%,1.92%,16.86,1.36,4.20%,-17.20%,0.50%,2.61%,-,0.13%,0.60,3.65%,67200,2.50
2018-10-29,17:51:59 ,16.71,1.77%,"6,193,375",5.80M,6.19B,495.80M,6.63B,7.88,12.31,8.89,54.73,15.54,0.93,0.80,2.00,5.86,-1.29%,-4.90%,-13.30%,45.64,0.50%,4.60%,15.20%,41.40%,11.10%,0.60%,370.17M,356.30M,12.90%,7.93,20.79,-28.38%,3.92%,16.42,1.36,4.20%,-17.20%,0.50%,2.57%,-,0.16%,0.60,3.59%,67200,2.50
