date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:00:17 ,46.61,0.37%,"1,860,307",2.39M,16.72B,1.32B,18.08B,1.33,12.72,9.35,0.65,113.72,0.92,-,-,0.37,-5.76%,-7.25%,-11.39%,28.82,-,-,5.00%,-,-,-,358.65M,357.04M,1.16%,1.73,59.27,-21.27%,1.41%,46.44,3.67,13.50%,386.90%,0.10%,-23.54%,92.70%,-0.12%,1.20,2.57%,16400,2.40
2018-10-17,19:53:29 ,46.76,0.32%,"2,032,610",2.40M,16.77B,1.32B,18.08B,1.34,12.76,9.38,0.65,114.08,0.93,-,-,0.37,-5.13%,-6.72%,-11.02%,30.44,-,-,5.00%,-,-,-,358.65M,357.04M,1.16%,1.72,59.27,-21.01%,1.74%,46.61,3.67,13.50%,386.90%,0.10%,-23.54%,92.70%,-0.12%,1.20,2.57%,16400,2.40
2018-10-18,20:31:59 ,46.53,-0.49%,"2,926,955",2.41M,16.69B,1.32B,18.08B,1.33,12.70,9.33,0.65,113.52,0.92,-,-,0.37,-5.22%,-6.96%,-11.39%,28.74,-,-,5.00%,-,-,-,358.65M,357.04M,1.16%,1.71,59.27,-21.40%,1.24%,46.76,3.67,13.50%,386.90%,0.10%,-23.54%,92.70%,-0.12%,1.20,2.58%,16400,2.40
2018-10-19,20:40:19 ,46.64,0.24%,"2,441,416",2.43M,16.73B,1.32B,18.08B,1.33,12.73,9.36,0.65,113.79,0.93,-,-,0.37,-4.59%,-6.51%,-11.11%,31.57,-,-,5.00%,-,-,-,358.65M,357.04M,1.16%,1.70,59.27,-21.22%,1.48%,46.53,3.67,13.50%,386.90%,0.10%,-23.54%,92.70%,-0.12%,1.20,2.57%,16400,2.40
2018-10-22,17:53:12 ,45.94,-1.50%,"1,797,035",2.44M,16.43B,1.32B,18.08B,1.31,12.53,9.22,0.64,111.75,0.91,-,-,0.37,-5.61%,-7.71%,-12.37%,28.04,-,-,5.00%,-,-,-,357.57M,357.04M,1.16%,1.70,59.27,-22.40%,-0.04%,46.64,3.67,13.50%,386.90%,0.10%,-23.60%,92.70%,-0.09%,1.20,2.61%,16400,2.40
2018-10-23,17:53:52 ,46.01,0.15%,"3,611,335",2.43M,16.45B,1.32B,18.08B,1.31,12.55,9.23,0.64,111.92,0.91,-,-,0.37,-5.01%,-7.36%,-12.16%,28.86,-,-,5.00%,-,-,-,357.57M,357.04M,1.16%,1.70,59.27,-22.28%,0.15%,45.94,3.67,13.50%,386.90%,0.10%,-23.60%,92.70%,-0.09%,1.20,2.61%,16400,2.40
2018-10-24,17:53:19 ,44.90,-2.41%,"3,876,295",2.46M,16.05B,1.32B,18.08B,1.28,12.25,9.01,0.63,109.22,0.89,-,-,0.37,-6.90%,-9.39%,-14.20%,22.28,-,-,5.00%,-,-,-,357.57M,357.04M,1.16%,1.68,59.27,-24.16%,-0.26%,46.01,3.67,13.50%,386.90%,0.10%,-23.60%,92.70%,-0.09%,1.20,2.67%,16400,2.40
2018-10-25,17:53:20 ,45.54,1.43%,"3,346,188",2.49M,16.28B,1.32B,18.08B,1.30,12.43,9.14,0.64,110.77,0.90,-,-,0.37,-5.10%,-7.87%,-12.90%,30.10,-,-,5.00%,-,-,-,357.57M,357.04M,1.16%,1.66,59.27,-23.07%,1.63%,44.90,3.67,13.50%,386.90%,0.10%,-23.60%,92.70%,-0.09%,1.20,2.64%,16400,2.40
2018-10-26,17:52:10 ,45.11,-0.94%,"8,190,710",2.51M,16.13B,1.32B,18.08B,1.29,12.31,9.05,0.63,109.73,0.89,-,-,0.37,-5.59%,-8.54%,-13.64%,28.23,-,-,5.00%,-,-,-,357.57M,357.04M,1.16%,1.65,59.27,-23.80%,0.67%,45.54,3.67,13.50%,386.90%,0.10%,-23.60%,92.70%,-0.09%,1.20,2.66%,16400,2.40
2018-10-29,17:52:19 ,44.56,-1.22%,"3,585,959",2.60M,16.12B,1.32B,18.08B,1.26,12.16,8.93,0.61,158.07,0.89,-,-,0.37,-6.27%,-9.42%,-14.61%,26.09,-,-,5.00%,-,-,-,361.84M,357.04M,1.34%,1.84,59.50,-24.73%,2.89%,45.11,3.67,15.50%,196.80%,0.10%,-23.38%,92.70%,-0.11%,1.20,2.69%,16400,2.40
