date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:00:56 ,10.53,1.64%,"1,538,120",1.27M,1.53B,16.00M,695.40M,0.96,96.61,29.01,-,5.31,2.20,-,2.50,0.29,6.14%,11.42%,32.36%,63.39,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,145.45M,140.23M,3.57%,3.94,11.00,-3.31%,93.57%,10.36,0.11,-19.70%,176.60%,4.80%,-12.68%,95.60%,2.24%,-,-,1600,1.90
2018-10-17,19:54:06 ,10.45,-0.76%,"2,334,946",1.28M,1.52B,16.00M,695.40M,0.96,95.87,28.79,-,5.27,2.19,-,2.50,0.29,4.69%,10.30%,31.11%,61.33,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,145.45M,140.23M,3.57%,3.91,11.00,-4.04%,92.10%,10.53,0.11,-19.70%,176.60%,4.80%,-12.68%,95.60%,2.24%,-,-,1600,1.90
2018-10-18,20:32:37 ,10.18,-2.58%,"1,894,917",1.30M,1.48B,16.00M,695.40M,0.93,93.39,28.04,-,5.13,2.13,-,2.50,0.29,1.55%,7.19%,27.49%,55.10,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,145.45M,140.23M,3.57%,3.84,11.00,-6.52%,87.13%,10.45,0.11,-19.70%,176.60%,4.80%,-12.68%,95.60%,2.24%,-,-,1600,1.90
2018-10-19,20:40:56 ,10.26,0.79%,"2,091,585",1.32M,1.49B,16.00M,695.40M,0.94,94.13,28.26,-,5.17,2.15,-,2.50,0.29,2.15%,7.83%,28.32%,56.19,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,145.45M,140.23M,3.57%,3.80,11.00,-5.79%,88.60%,10.18,0.11,-19.70%,176.60%,4.80%,-12.68%,95.60%,2.24%,-,-,1600,1.90
2018-10-22,17:53:50 ,10.26,0.00%,"1,780,063",1.34M,1.51B,16.00M,695.40M,0.94,94.13,28.26,-,5.23,2.17,-,2.50,0.29,1.89%,7.62%,28.15%,56.26,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,146.96M,140.23M,3.57%,3.74,11.00,-5.79%,88.60%,10.26,0.11,-19.70%,176.60%,4.80%,-12.56%,95.60%,2.19%,-,-,1600,1.90
2018-10-23,17:54:29 ,9.90,-3.51%,"3,654,731",1.35M,1.45B,16.00M,695.40M,0.91,90.83,27.27,-,5.04,2.09,-,2.50,0.29,-1.95%,3.66%,23.49%,48.38,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,146.96M,140.23M,3.57%,3.71,11.00,-9.09%,81.99%,10.26,0.11,-19.70%,176.60%,4.80%,-12.56%,95.60%,2.19%,-,-,1600,1.90
2018-10-24,17:53:58 ,8.95,-9.60%,"2,990,285",1.38M,1.32B,16.00M,695.40M,0.82,82.11,24.66,-,4.56,1.89,-,2.50,0.29,-11.48%,-6.45%,11.53%,35.07,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,146.96M,140.23M,3.57%,3.62,11.00,-17.81%,64.52%,9.90,0.11,-19.70%,176.60%,4.80%,-12.56%,95.60%,2.19%,-,-,1600,1.90
2018-10-25,17:53:57 ,8.51,-4.92%,"1,905,550",1.39M,1.25B,16.00M,695.40M,0.78,78.07,23.44,-,4.33,1.80,-,2.50,0.29,-15.61%,-11.00%,6.00%,31.14,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,146.96M,140.23M,3.57%,3.59,11.00,-21.85%,56.43%,8.95,0.11,-19.70%,176.60%,4.80%,-12.56%,95.60%,2.19%,-,-,1600,1.90
2018-10-26,17:52:48 ,8.44,-0.82%,"1,526,031",1.38M,1.24B,16.00M,695.40M,0.77,77.43,23.25,-,4.30,1.78,-,2.50,0.29,-15.87%,-11.66%,5.10%,29.94,2.90%,4.30%,-0.10%,14.50%,4.90%,9.70%,146.96M,140.23M,3.57%,3.62,11.00,-22.50%,55.15%,8.51,0.11,-19.70%,176.60%,4.80%,-12.56%,95.60%,2.19%,-,-,1600,1.90
2018-10-29,17:52:58 ,8.17,-3.20%,"1,826,578",1.36M,1.22B,40.60M,744.70M,0.73,29.60,23.34,-,3.75,1.64,-,2.70,0.27,-17.97%,-14.40%,1.73%,27.91,3.90%,5.80%,-0.10%,17.60%,8.10%,12.40%,149.38M,140.23M,3.73%,3.84,11.81,-24.98%,50.18%,8.44,0.28,30.20%,-,4.80%,-12.39%,93.70%,0.12%,-,-,1600,1.90
2018-10-30,17:53:25 ,8.40,2.82%,"949,761",1.35M,1.25B,40.60M,744.70M,0.75,30.43,24.00,-,3.86,1.68,-,2.70,0.27,-14.93%,-11.85%,4.63%,32.47,3.90%,5.80%,-0.10%,17.60%,8.10%,12.40%,149.38M,140.23M,3.73%,3.87,11.81,-22.87%,54.41%,8.17,0.28,30.20%,-,4.80%,-12.39%,93.70%,0.12%,-,-,1600,1.90
2018-10-31,17:53:19 ,8.52,1.43%,"2,699,001",1.32M,1.27B,40.60M,744.70M,0.77,30.87,24.34,-,3.91,1.71,-,2.70,0.27,-13.05%,-10.49%,6.11%,34.61,3.90%,5.80%,-0.10%,17.60%,8.10%,12.40%,149.38M,140.23M,3.73%,3.97,11.81,-21.76%,56.62%,8.40,0.28,30.20%,-,4.80%,-12.39%,93.70%,0.12%,-,-,1600,1.90
2018-11-01,17:53:50 ,8.46,-0.70%,"1,006,251",1.32M,1.26B,40.60M,744.70M,0.76,30.65,24.17,-,3.89,1.70,-,2.70,0.27,-12.95%,-11.01%,5.35%,34.45,3.90%,5.80%,-0.10%,17.60%,8.10%,12.40%,149.38M,140.23M,3.73%,3.94,11.81,-22.31%,55.51%,8.52,0.28,30.20%,-,4.80%,-12.39%,93.70%,0.12%,-,-,1600,1.90
