date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:02:53 ,9.46,0.32%,"32,512",126.37K,547.64M,18.70M,373.50M,2.59,30.13,8.85,-,4.08,1.47,2.10,2.60,0.01,-7.92%,-8.68%,-8.58%,39.62,7.20%,15.50%,60.90%,24.80%,9.20%,4.80%,57.89M,9.90M,3.14%,2.46,16.86,-37.31%,12.22%,9.43,0.31,54.80%,471.40%,9.10%,-,74.20%,-2.03%,-,-,416,1.80
2018-10-17,19:55:59 ,9.59,1.37%,"5,800",126.37K,555.17M,18.70M,373.50M,2.63,30.54,8.97,-,4.14,1.49,2.10,2.60,0.01,-6.41%,-7.47%,-7.28%,39.98,7.20%,15.50%,60.90%,24.80%,9.20%,4.80%,57.89M,9.90M,3.14%,2.46,16.86,-36.45%,13.76%,9.46,0.31,54.80%,471.40%,9.10%,-,74.20%,-2.03%,-,-,416,1.80
2018-10-18,20:34:29 ,9.11,-5.01%,"70,343",125.11K,527.38M,18.70M,373.50M,2.50,29.01,8.52,-,3.93,1.41,2.10,2.60,0.01,-10.74%,-11.85%,-11.88%,33.49,7.20%,15.50%,60.90%,24.80%,9.20%,4.80%,57.89M,9.90M,3.14%,2.49,16.86,-39.63%,8.07%,9.59,0.31,54.80%,471.40%,9.10%,-,74.20%,-2.03%,-,-,416,1.80
2018-10-19,20:42:48 ,9.26,1.65%,"64,115",125.14K,536.06M,18.70M,373.50M,2.54,29.49,8.66,-,3.99,1.44,2.10,2.60,0.01,-8.48%,-10.25%,-10.37%,36.69,7.20%,15.50%,60.90%,24.80%,9.20%,4.80%,57.89M,9.90M,3.14%,2.48,16.86,-38.63%,9.85%,9.11,0.31,54.80%,471.40%,9.10%,-,74.20%,-2.03%,-,-,416,1.80
2018-10-22,17:55:44 ,9.51,2.70%,"61,291",124.07K,562.71M,18.60M,370.90M,2.63,30.48,8.95,-,4.22,1.52,2.10,2.60,0.01,-5.34%,-7.58%,-7.90%,41.79,7.20%,15.50%,60.80%,24.80%,9.20%,4.80%,59.17M,9.90M,3.14%,2.51,16.76,-36.98%,12.81%,9.26,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.98%,-,-,416,1.80
2018-10-23,17:56:23 ,9.80,3.05%,"53,849",123.74K,579.87M,18.60M,370.90M,2.71,31.41,9.23,-,4.35,1.56,2.10,2.60,0.01,-1.88%,-4.57%,-5.05%,47.30,7.20%,15.50%,60.80%,24.80%,9.20%,4.80%,59.17M,9.90M,3.14%,2.51,16.76,-35.06%,16.25%,9.51,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.98%,-,-,416,1.80
2018-10-24,17:55:55 ,9.50,-3.06%,"25,600",122.85K,562.12M,18.60M,370.90M,2.62,30.45,8.95,-,4.22,1.52,2.10,2.60,0.01,-4.43%,-7.42%,-7.93%,41.97,7.20%,15.50%,60.80%,24.80%,9.20%,4.80%,59.17M,9.90M,3.14%,2.53,16.76,-37.04%,12.69%,9.80,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.98%,-,-,416,1.80
2018-10-25,17:55:53 ,9.49,-0.11%,"23,298",120.35K,561.52M,18.60M,370.90M,2.62,30.42,8.94,-,4.21,1.51,2.10,2.60,0.01,-4.05%,-7.30%,-7.99%,41.93,7.20%,15.50%,60.80%,24.80%,9.20%,4.80%,59.17M,9.90M,3.14%,2.58,16.76,-37.11%,12.57%,9.50,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.98%,-,-,416,1.80
2018-10-26,17:54:47 ,9.56,0.74%,"21,304",119.93K,565.67M,18.60M,370.90M,2.64,30.64,9.00,-,4.24,1.53,2.10,2.60,0.01,-2.75%,-6.51%,-7.27%,42.99,7.20%,15.50%,60.80%,24.80%,9.20%,4.80%,59.17M,9.90M,3.14%,2.59,16.76,-36.65%,13.40%,9.49,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.98%,-,-,416,1.80
2018-10-29,17:54:52 ,9.50,-0.63%,"23,368",119.01K,567.25M,18.50M,370.30M,2.63,30.45,8.96,-,4.26,1.53,2.10,2.60,0.01,-2.80%,-6.90%,-7.81%,42.41,7.20%,15.50%,60.70%,24.80%,9.20%,4.80%,59.71M,9.90M,2.95%,2.45,16.77,-37.04%,12.69%,9.56,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.97%,-,-,416,1.80
2018-10-30,17:55:22 ,9.48,-0.21%,"27,560",117.82K,566.05M,18.50M,370.30M,2.63,30.38,8.94,-,4.25,1.53,2.10,2.60,0.01,-2.60%,-6.94%,-7.97%,42.19,7.20%,15.50%,60.70%,24.80%,9.20%,4.80%,59.71M,9.90M,2.95%,2.47,16.77,-37.18%,12.46%,9.50,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.97%,-,-,416,1.80
2018-10-31,17:55:14 ,9.34,-1.48%,"46,838",113.22K,557.69M,18.50M,370.30M,2.59,29.94,8.81,-,4.19,1.51,2.10,2.60,0.01,-3.50%,-8.01%,-9.29%,40.94,7.20%,15.50%,60.70%,24.80%,9.20%,4.80%,59.71M,9.90M,2.95%,2.58,16.77,-38.10%,10.79%,9.48,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.97%,-,-,416,1.80
2018-11-01,17:55:46 ,10.00,7.07%,"86,481",112.22K,597.10M,18.50M,370.30M,2.77,32.05,9.43,-,4.49,1.61,2.10,2.60,0.01,4.04%,-1.12%,-2.83%,55.03,7.20%,15.50%,60.70%,24.80%,9.20%,4.80%,59.71M,9.90M,2.95%,2.60,16.77,-33.73%,18.62%,9.34,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.97%,-,-,416,1.80
2018-11-02,23:19:14 ,9.94,-0.60%,"30,772",111.34K,593.52M,18.50M,370.30M,2.75,31.86,9.38,-,4.46,1.60,2.10,2.60,0.01,3.80%,-1.48%,-3.39%,54.68,7.20%,15.50%,60.70%,24.80%,9.20%,4.80%,59.71M,9.90M,2.95%,2.62,16.77,-34.13%,17.91%,10.00,0.31,54.80%,471.40%,9.10%,-,74.20%,-1.97%,-,-,416,1.80
2018-11-05,16:55:23 ,9.74,-2.01%,"25,564",110.25K,593.95M,18.60M,371.80M,2.68,31.12,9.15,-,4.45,1.60,2.10,2.60,0.01,2.10%,-3.25%,-5.32%,51.05,7.20%,15.50%,60.80%,24.80%,9.20%,4.80%,60.98M,9.90M,2.95%,2.64,16.90,-35.45%,15.54%,9.94,0.31,54.80%,471.40%,9.10%,-,75.10%,-1.77%,-,-,416,1.80
2018-11-06,16:54:06 ,9.77,0.31%,"34,475",109.87K,595.77M,18.60M,371.80M,2.69,31.21,9.18,-,4.46,1.60,2.10,2.60,0.01,2.77%,-2.74%,-5.00%,52.48,7.20%,15.50%,60.80%,24.80%,9.20%,4.80%,60.98M,9.90M,2.95%,2.65,16.90,-35.26%,15.90%,9.74,0.31,54.80%,471.40%,9.10%,-,75.10%,-1.77%,-,-,416,1.80
