date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:02:09 ,17.85,0.39%,"107,150",136.58K,588.69M,50.20M,144.90M,1.52,11.61,9.91,0.94,23.55,4.06,0.70,0.80,1.34,-1.64%,-2.00%,-0.51%,45.18,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,32.98M,17.41M,0.25%,0.32,20.23,-10.08%,16.48%,17.78,1.54,4.60%,42.90%,12.99%,0.00%,46.50%,-0.04%,1.76,9.86%,260,1.90
2018-10-17,19:55:16 ,17.75,-0.56%,"78,818",136.58K,585.40M,50.20M,144.90M,1.51,11.55,9.85,0.93,23.42,4.04,0.70,0.80,1.34,-1.99%,-2.56%,-1.05%,42.99,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,32.98M,17.41M,0.25%,0.32,20.23,-10.58%,15.82%,17.85,1.54,4.60%,42.90%,12.99%,0.00%,46.50%,-0.04%,1.76,9.92%,260,1.90
2018-10-19,20:42:06 ,17.97,1.76%,"136,856",135.61K,592.65M,50.20M,144.90M,1.53,11.69,9.97,0.94,23.71,4.09,0.70,0.80,1.34,-0.37%,-1.39%,0.26%,48.47,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,32.98M,17.41M,0.25%,0.33,20.23,-9.47%,17.26%,17.66,1.54,4.60%,42.90%,12.99%,0.00%,46.50%,-0.04%,1.76,9.79%,260,1.90
2018-10-22,17:55:01 ,17.88,-0.50%,"76,758",136.23K,581.82M,50.20M,144.90M,1.52,11.63,9.91,1.11,23.27,4.02,0.70,0.80,1.34,-0.72%,-1.90%,-0.20%,46.61,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,32.54M,17.41M,0.25%,0.32,20.12,-9.92%,16.67%,17.97,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.84%,260,2.00
2018-10-24,17:55:13 ,17.66,-0.79%,"72,052",134.78K,574.66M,50.20M,144.90M,1.50,11.49,9.78,1.09,22.99,3.97,0.70,0.80,1.34,-1.68%,-3.12%,-1.34%,39.44,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,32.54M,17.41M,0.25%,0.33,20.12,-11.03%,15.24%,17.80,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.97%,260,2.00
2018-10-25,17:55:10 ,17.77,0.62%,"63,463",133.88K,578.24M,50.20M,144.90M,1.51,11.56,9.84,1.10,23.13,3.99,0.70,0.80,1.34,-0.94%,-2.52%,-0.67%,42.21,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,32.54M,17.41M,0.25%,0.33,20.12,-10.48%,15.95%,17.66,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.90%,260,2.00
2018-10-26,17:54:05 ,17.69,-0.45%,"110,601",133.49K,575.63M,50.20M,144.90M,1.51,11.51,9.80,1.10,23.03,3.97,0.70,0.80,1.34,-1.27%,-2.97%,-1.07%,40.14,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,32.54M,17.41M,0.25%,0.33,20.12,-10.88%,15.43%,17.77,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.95%,260,2.00
2018-10-29,17:54:09 ,17.63,-0.34%,"120,372",132.97K,586.37M,50.20M,144.90M,1.50,11.47,9.76,1.09,23.45,4.05,0.70,0.80,1.34,-1.42%,-3.27%,-1.36%,39.24,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.26M,17.41M,0.21%,0.28,19.89,-11.18%,15.04%,17.69,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.98%,260,2.00
2018-10-30,17:54:39 ,17.96,1.87%,"79,922",132.98K,597.35M,50.20M,144.90M,1.53,11.69,9.94,1.11,23.89,4.12,0.70,0.80,1.34,0.62%,-1.44%,0.53%,48.97,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.26M,17.41M,0.21%,0.28,19.89,-9.52%,17.19%,17.63,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.80%,260,2.00
2018-10-31,17:54:31 ,17.81,-0.84%,"131,983",131.81K,592.36M,50.20M,144.90M,1.52,11.59,9.86,1.10,23.69,4.09,0.70,0.80,1.34,-0.18%,-2.27%,-0.28%,45.71,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.26M,17.41M,0.21%,0.28,19.89,-10.28%,16.22%,17.96,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.88%,260,2.00
2018-11-01,17:55:02 ,17.89,0.45%,"153,178",129.75K,595.02M,50.20M,144.90M,1.52,11.64,9.90,1.11,23.80,4.11,0.70,0.80,1.34,0.35%,-1.81%,0.21%,48.50,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.26M,17.41M,0.21%,0.28,19.89,-9.87%,16.74%,17.81,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.84%,260,2.00
2018-11-02,23:18:32 ,17.86,-0.17%,"143,711",128.37K,594.02M,50.20M,144.90M,1.52,11.62,9.88,1.11,23.76,4.10,0.70,0.80,1.34,0.26%,-1.93%,0.07%,48.03,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.26M,17.41M,0.21%,0.29,19.89,-10.03%,16.54%,17.89,1.54,4.60%,42.90%,12.99%,0.00%,46.20%,-0.07%,1.76,9.85%,260,2.00
2018-11-05,16:54:39 ,17.65,-1.18%,"125,570",127.35K,585.27M,50.20M,144.90M,1.50,11.48,9.77,1.09,23.41,4.04,0.70,0.80,1.34,-0.81%,-3.04%,-1.06%,42.91,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.16M,17.41M,0.21%,0.29,19.89,-11.08%,15.17%,17.86,1.54,4.60%,42.90%,12.99%,0.00%,46.30%,0.11%,1.76,9.97%,260,2.00
2018-11-06,16:53:24 ,17.75,0.57%,"62,788",126.28K,588.59M,50.20M,144.90M,1.51,11.55,9.82,1.10,23.54,4.06,0.70,0.80,1.34,-0.16%,-2.43%,-0.45%,45.91,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.16M,17.41M,0.21%,0.29,19.89,-10.58%,15.82%,17.65,1.54,4.60%,42.90%,12.99%,0.00%,46.30%,0.11%,1.76,9.92%,260,2.00
2018-11-07,16:57:11 ,17.75,0.00%,"56,977",124.27K,588.59M,50.20M,144.90M,1.51,11.55,9.82,1.10,23.54,4.06,0.70,0.80,1.34,-0.07%,-2.32%,-0.40%,45.94,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.16M,17.41M,0.21%,0.30,19.89,-10.58%,15.82%,17.75,1.54,4.60%,42.90%,12.99%,0.00%,46.30%,0.11%,1.76,9.92%,260,2.00
2018-11-08,16:53:15 ,17.52,-1.30%,"91,875",121.93K,580.96M,50.20M,144.90M,1.49,11.40,9.70,1.09,23.24,4.01,0.70,0.80,1.34,-1.40%,-3.45%,-1.65%,40.08,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.16M,17.41M,0.21%,0.30,19.89,-11.74%,14.32%,17.75,1.54,4.60%,42.90%,12.99%,0.00%,46.30%,0.11%,1.76,10.05%,260,2.00
2018-11-09,17:42:16 ,17.37,-0.86%,"129,544",120.61K,575.99M,50.20M,144.90M,1.48,11.30,9.61,1.08,23.04,3.98,0.70,0.80,1.34,-2.22%,-4.11%,-2.44%,37.16,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.16M,17.41M,0.21%,0.31,19.89,-12.49%,13.34%,17.52,1.54,4.60%,42.90%,12.99%,0.00%,46.30%,0.11%,1.76,10.13%,260,2.00
2018-11-12,19:34:47 ,17.27,-0.58%,"114,400",120.79K,576.82M,50.20M,144.90M,1.47,11.24,9.56,1.07,23.07,3.98,0.70,0.80,1.34,-2.70%,-4.50%,-2.95%,35.45,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.40M,17.41M,0.35%,0.51,19.89,-13.00%,12.69%,17.37,1.54,4.60%,42.90%,12.99%,0.00%,46.10%,-0.23%,1.76,10.19%,260,2.00
2018-11-13,16:53:56 ,16.92,-2.03%,"119,013",121.44K,565.13M,50.20M,144.90M,1.44,11.01,9.36,1.05,22.61,3.90,0.70,0.80,1.34,-4.54%,-6.27%,-4.87%,30.03,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.40M,17.41M,0.35%,0.50,19.89,-14.76%,10.41%,17.27,1.54,4.60%,42.90%,12.99%,0.00%,46.10%,-0.23%,1.76,10.40%,260,2.00
2018-11-14,16:53:48 ,16.88,-0.24%,"120,441",121.34K,563.79M,50.20M,144.90M,1.44,10.98,9.34,1.05,22.55,3.89,0.70,0.80,1.34,-4.51%,-6.29%,-5.05%,28.52,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.40M,17.41M,0.35%,0.50,19.89,-14.96%,10.15%,16.92,1.54,4.60%,42.90%,12.99%,0.00%,46.10%,-0.23%,1.76,10.43%,260,2.00
2018-11-15,16:53:41 ,17.20,1.90%,"127,753",121.78K,574.48M,50.20M,144.90M,1.46,11.19,9.52,1.07,22.98,3.96,0.70,0.80,1.34,-2.46%,-4.33%,-3.21%,38.30,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.40M,17.41M,0.35%,0.50,19.89,-13.35%,12.23%,16.88,1.54,4.60%,42.90%,12.99%,0.00%,46.10%,-0.23%,1.76,10.23%,260,2.00
2018-11-16,16:53:43 ,17.24,0.23%,"86,854",122.12K,575.82M,50.20M,144.90M,1.47,11.22,9.54,1.07,23.03,3.97,0.70,0.80,1.34,-2.11%,-3.97%,-2.96%,41.02,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.40M,17.41M,0.35%,0.50,19.89,-13.15%,12.50%,17.20,1.54,4.60%,42.90%,12.99%,0.00%,46.10%,-0.23%,1.76,10.21%,260,2.00
2018-11-19,16:53:45 ,16.99,-1.45%,"60,178",121.47K,562.54M,50.20M,144.90M,1.45,11.05,9.40,1.05,22.50,3.88,0.70,0.80,1.34,-3.33%,-5.24%,-4.34%,34.86,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.11M,17.38M,0.35%,0.50,19.89,-14.41%,10.86%,17.24,1.54,4.60%,42.90%,13.05%,0.00%,41.30%,-6.76%,1.76,10.36%,260,2.00
2018-11-20,16:53:42 ,16.59,-2.35%,"194,141",121.07K,549.29M,50.20M,144.90M,1.41,10.79,9.18,1.03,21.97,3.79,0.70,0.80,1.34,-5.36%,-7.32%,-6.57%,29.41,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.11M,17.38M,0.35%,0.50,19.89,-16.42%,8.25%,16.99,1.54,4.60%,42.90%,13.05%,0.00%,41.30%,-6.76%,1.76,10.61%,260,2.00
2018-11-23,16:56:09 ,15.82,-2.65%,"77,746",124.43K,523.80M,50.20M,144.90M,1.35,10.29,8.75,0.98,20.95,3.61,0.70,0.80,1.34,-9.08%,-11.21%,-10.82%,21.49,5.10%,14.80%,9.60%,84.00%,72.10%,37.20%,33.11M,17.38M,0.35%,0.49,19.89,-20.30%,3.23%,16.25,1.54,4.60%,42.90%,13.05%,0.00%,41.30%,-6.76%,1.76,11.13%,260,2.00
