date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:01:45 ,26.18,1.47%,"90,948",86.01K,711.05M,38.40M,254.50M,1.00,18.50,11.78,1.85,3.17,2.79,-,-,0.22,-2.72%,-7.39%,-8.33%,40.64,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.16M,26.37M,2.54%,7.78,32.10,-19.69%,6.86%,25.80,1.42,18.50%,-36.80%,1.00%,-3.71%,85.40%,-,-,-,1018,2.80
2018-10-17,21:55:17 ,26.18,0.00%,"56,392",86.01K,711.05M,38.40M,254.50M,1.00,18.50,11.78,1.85,3.17,2.79,-,-,0.22,-2.41%,-7.15%,-8.29%,40.44,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.16M,26.37M,2.54%,7.78,32.10,-19.69%,6.86%,26.18,1.42,18.50%,-36.80%,1.00%,-3.71%,85.40%,-,-,-,1018,2.80
2018-10-18,22:32:05 ,25.58,-2.29%,"38,805",85.70K,694.75M,38.40M,254.50M,0.98,18.08,11.51,1.81,3.10,2.73,-,-,0.22,-4.33%,-9.06%,-10.35%,35.07,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.16M,26.37M,2.54%,7.81,32.10,-21.53%,4.41%,26.18,1.42,18.50%,-36.80%,1.00%,-3.71%,85.40%,-,-,-,1018,2.80
2018-10-19,22:39:40 ,25.30,-1.09%,"72,890",84.88K,687.15M,38.40M,254.50M,0.97,17.88,11.38,1.79,3.06,2.70,-,-,0.22,-4.81%,-9.77%,-11.29%,32.96,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.16M,26.37M,2.54%,7.89,32.10,-22.39%,3.27%,25.58,1.42,18.50%,-36.80%,1.00%,-3.71%,85.40%,-,-,-,1018,2.80
2018-10-22,19:59:05 ,25.44,0.55%,"384,644",84.49K,694.00M,38.40M,254.50M,0.97,17.98,11.60,1.80,3.09,2.73,-,-,0.22,-3.69%,-8.97%,-10.74%,34.67,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.28M,26.37M,2.54%,7.92,32.10,-21.96%,3.84%,25.30,1.42,18.50%,-36.80%,1.00%,-3.69%,85.30%,-0.04%,-,-,1018,2.80
2018-10-23,20:00:45 ,27.87,9.55%,"407,812",88.57K,760.29M,38.40M,254.50M,1.06,19.70,12.71,1.97,3.39,2.99,-,-,0.22,6.00%,0.06%,-2.15%,58.02,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.28M,26.37M,2.54%,7.56,32.10,-14.51%,13.76%,25.44,1.42,18.50%,-36.80%,1.00%,-3.69%,85.30%,-0.04%,-,-,1018,2.80
2018-10-24,19:59:06 ,26.14,-6.21%,"316,755",93.18K,713.10M,38.40M,254.50M,1.00,18.47,11.92,1.85,3.18,2.80,-,-,0.22,-0.66%,-6.01%,-8.21%,45.86,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.28M,26.37M,2.54%,7.18,32.10,-19.82%,6.69%,27.87,1.42,18.50%,-36.80%,1.00%,-3.69%,85.30%,-0.04%,-,-,1018,2.80
2018-10-25,19:59:57 ,26.53,1.49%,"127,516",92.10K,723.74M,38.40M,254.50M,1.01,18.75,12.10,1.87,3.23,2.84,-,-,0.22,1.00%,-4.36%,-6.78%,48.74,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.28M,26.37M,2.54%,7.27,32.10,-18.62%,8.29%,26.14,1.42,18.50%,-36.80%,1.00%,-3.69%,85.30%,-0.04%,-,-,1018,2.80
2018-10-26,19:58:16 ,26.12,-1.55%,"83,791",91.61K,712.55M,38.40M,254.50M,1.00,18.46,11.91,1.85,3.18,2.80,-,-,0.22,-0.49%,-5.66%,-8.17%,46.05,0.90%,8.90%,20.90%,-,78.40%,24.20%,27.28M,26.37M,2.54%,7.31,32.10,-19.88%,6.61%,26.53,1.42,18.50%,-36.80%,1.00%,-3.69%,85.30%,-0.04%,-,-,1018,2.80
2018-10-29,19:53:44 ,26.73,2.34%,"69,795",89.63K,732.67M,36.40M,262.20M,1.02,19.95,12.34,2.85,3.27,2.79,-,-,0.22,1.90%,-3.24%,-5.94%,50.45,1.00%,9.50%,20.90%,-,74.70%,25.10%,27.41M,26.37M,2.65%,7.79,31.00,-18.01%,9.10%,26.12,1.34,18.50%,-36.80%,1.00%,-8.10%,85.30%,-0.09%,-,-,1018,2.80
2018-10-30,19:54:28 ,26.49,-0.90%,"76,772",88.14K,726.09M,36.40M,262.20M,1.01,19.77,12.23,2.82,3.24,2.77,-,-,0.22,0.90%,-3.91%,-6.69%,48.17,1.00%,9.50%,20.90%,-,74.70%,25.10%,27.41M,26.37M,2.65%,7.92,31.00,-18.74%,8.12%,26.73,1.34,18.50%,-36.80%,1.00%,-8.10%,85.30%,-0.09%,-,-,1018,2.80
2018-10-31,19:53:46 ,25.98,-1.93%,"100,373",87.97K,712.11M,36.40M,262.20M,0.99,19.39,11.99,2.77,3.17,2.72,-,-,0.22,-1.16%,-5.55%,-8.40%,45.40,1.00%,9.50%,20.90%,-,74.70%,25.10%,27.41M,26.37M,2.65%,7.94,31.00,-20.31%,6.04%,26.49,1.34,18.50%,-36.80%,1.00%,-8.10%,85.30%,-0.09%,-,-,1018,2.80
