date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:17:39 ,27.37,-0.76%,"1,134,654",1.09M,1.73B,37.20M,1.05B,2.59,48.70,18.10,1.93,166.30,1.65,0.10,0.90,0.78,-9.14%,-16.41%,-18.74%,33.09,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,63.19M,35.98M,13.18%,4.36,43.11,-33.20%,36.37%,27.58,0.56,24.30%,-206.60%,0.20%,-99.73%,-,0.14%,-,-,4400,1.40
2018-10-17,19:12:13 ,27.99,2.27%,"789,452",1.09M,1.77B,37.20M,1.05B,2.65,49.80,18.51,1.98,170.07,1.68,0.10,0.90,0.78,-6.27%,-14.21%,-16.86%,38.00,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,63.19M,35.98M,13.18%,4.34,43.11,-31.68%,39.46%,27.37,0.56,24.30%,-206.60%,0.20%,-99.73%,-,0.14%,-,-,4400,1.40
2018-10-18,19:50:13 ,26.58,-5.04%,"1,295,566",1.09M,1.68B,37.20M,1.05B,2.52,47.30,17.58,1.88,161.50,1.60,0.10,0.90,0.78,-10.23%,-18.23%,-21.01%,31.72,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,63.19M,35.98M,13.18%,4.34,43.11,-35.12%,32.44%,27.99,0.56,24.30%,-206.60%,0.20%,-99.73%,-,0.14%,-,-,4400,1.40
2018-10-19,19:59:02 ,26.01,-2.14%,"1,296,455",1.10M,1.64B,37.20M,1.05B,2.46,46.28,17.20,1.84,158.04,1.56,0.10,0.90,0.78,-11.09%,-19.59%,-22.66%,28.57,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,63.19M,35.98M,13.18%,4.31,43.11,-36.51%,29.60%,26.58,0.56,24.30%,-206.60%,0.20%,-99.73%,-,0.14%,-,-,4400,1.40
2018-10-22,17:10:54 ,26.02,0.04%,"536,675",1.11M,1.69B,37.20M,1.05B,2.46,46.30,17.29,1.84,162.32,1.61,0.10,0.90,0.78,-9.98%,-19.10%,-22.58%,27.84,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,64.88M,35.97M,13.18%,4.28,43.11,-36.49%,29.65%,26.01,0.56,24.30%,-206.60%,0.20%,-99.72%,-,0.55%,-,-,4400,1.40
2018-10-23,17:11:31 ,26.21,0.73%,"673,291",1.11M,1.70B,37.20M,1.05B,2.48,46.64,17.42,1.85,163.51,1.62,0.10,0.90,0.78,-8.55%,-18.05%,-21.95%,29.19,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,64.88M,35.97M,13.18%,4.27,43.11,-36.03%,30.59%,26.02,0.56,24.30%,-206.60%,0.20%,-99.72%,-,0.55%,-,-,4400,1.40
2018-10-24,17:10:58 ,25.30,-3.47%,"859,831",1.11M,1.64B,37.20M,1.05B,2.40,45.02,16.81,1.79,157.83,1.56,0.10,0.90,0.78,-11.00%,-20.48%,-24.60%,25.81,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,64.88M,35.97M,13.18%,4.25,43.11,-38.25%,26.06%,26.21,0.56,24.30%,-206.60%,0.20%,-99.72%,-,0.55%,-,-,4400,1.40
2018-10-25,17:10:56 ,25.86,2.21%,"901,813",1.12M,1.68B,37.20M,1.05B,2.45,46.01,17.18,1.83,161.33,1.60,0.10,0.90,0.78,-8.22%,-18.23%,-22.86%,30.71,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,64.88M,35.97M,13.18%,4.23,43.11,-36.88%,28.85%,25.30,0.56,24.30%,-206.60%,0.20%,-99.72%,-,0.55%,-,-,4400,1.40
2018-10-29,17:10:16 ,26.15,-0.46%,"1,413,782",1.13M,1.63B,37.20M,1.05B,2.48,46.53,17.38,1.85,157.15,1.55,0.10,0.90,0.78,-5.37%,-16.53%,-21.85%,34.09,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,62.50M,35.97M,14.85%,4.72,43.11,-36.17%,30.29%,26.27,0.56,24.30%,-206.60%,0.20%,-99.73%,-,0.70%,-,-,4400,1.40
2018-10-31,17:10:22 ,27.34,1.30%,"1,019,174",1.14M,1.71B,37.20M,1.05B,2.59,48.65,18.17,1.93,164.30,1.63,0.10,0.90,0.78,0.40%,-11.90%,-18.16%,43.19,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,62.50M,35.97M,14.85%,4.68,43.11,-33.27%,36.22%,26.99,0.56,24.30%,-206.60%,0.20%,-99.73%,-,0.70%,-,-,4400,1.40
2018-11-01,17:10:31 ,29.59,8.23%,"2,274,994",1.15M,1.85B,37.20M,1.05B,2.80,52.65,19.66,2.09,177.82,1.76,0.10,0.90,0.78,9.31%,-4.19%,-11.36%,56.47,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,62.50M,35.97M,14.85%,4.65,43.11,-27.78%,44.62%,27.34,0.56,24.30%,-206.60%,0.20%,-99.73%,-,0.70%,-,-,4400,1.40
2018-11-02,22:35:32 ,30.25,2.23%,"1,650,754",1.17M,1.89B,37.20M,1.05B,2.86,53.83,20.10,2.14,181.79,1.80,0.10,0.90,0.78,11.62%,-1.65%,-9.34%,60.48,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,62.50M,35.97M,14.85%,4.57,43.11,-26.17%,46.99%,29.59,0.56,24.30%,-206.60%,0.20%,-99.73%,-,0.70%,-,-,4400,1.40
2018-11-05,16:10:17 ,29.14,-3.67%,"1,102,501",1.17M,1.81B,37.20M,1.05B,2.76,51.85,19.29,2.06,174.00,1.72,0.10,0.90,0.78,7.34%,-4.85%,-12.64%,54.61,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,62.10M,35.96M,14.86%,4.57,43.63,-28.87%,41.59%,30.25,0.56,24.30%,-206.60%,0.20%,-99.73%,-,2.10%,-,-,4400,1.30
2018-11-07,16:10:54 ,29.59,0.48%,"858,493",1.19M,1.84B,37.20M,1.05B,2.80,52.65,19.58,2.09,176.69,1.75,0.10,0.90,0.78,8.48%,-2.38%,-11.19%,56.40,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,62.10M,35.96M,14.86%,4.51,43.63,-27.78%,43.78%,29.45,0.56,24.30%,-206.60%,0.20%,-99.73%,-,2.10%,-,-,4400,1.30
2018-11-08,16:10:10 ,28.79,-2.70%,"896,682",1.19M,1.79B,37.20M,1.05B,2.73,51.23,19.05,2.03,171.91,1.70,0.10,0.90,0.78,5.03%,-4.56%,-13.56%,51.14,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,62.10M,35.96M,14.86%,4.49,43.63,-29.73%,39.89%,29.59,0.56,24.30%,-206.60%,0.20%,-99.73%,-,2.10%,-,-,4400,1.30
2018-11-09,17:01:04 ,27.57,-4.24%,"611,996",1.20M,1.71B,37.20M,1.05B,2.61,49.06,18.25,1.95,164.62,1.63,0.10,0.90,0.78,0.29%,-8.08%,-17.16%,44.65,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,62.10M,35.96M,14.86%,4.45,43.63,-32.71%,33.97%,28.79,0.56,24.30%,-206.60%,0.20%,-99.73%,-,2.10%,-,-,4400,1.30
2018-11-12,18:51:06 ,27.64,0.25%,"871,264",1.20M,1.83B,37.20M,1.05B,2.62,49.18,18.29,1.95,176.20,1.74,0.10,0.90,0.78,0.50%,-7.34%,-16.87%,45.69,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,66.30M,35.96M,15.35%,4.58,43.63,-32.54%,34.31%,27.57,0.56,24.30%,-206.60%,0.20%,-99.71%,-,3.14%,-,-,4400,1.30
2018-11-13,16:10:13 ,28.44,2.89%,"728,077",1.21M,1.89B,37.20M,1.05B,2.69,50.60,18.82,2.01,181.31,1.79,0.10,0.90,0.78,3.40%,-4.23%,-14.41%,50.49,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,66.30M,35.96M,15.35%,4.55,43.63,-30.58%,38.19%,27.64,0.56,24.30%,-206.60%,0.20%,-99.71%,-,3.14%,-,-,4400,1.30
2018-11-14,16:10:21 ,28.35,-0.32%,"980,598",1.22M,1.88B,37.20M,1.05B,2.68,50.44,18.76,2.00,180.73,1.79,0.10,0.90,0.78,2.87%,-4.06%,-14.63%,49.03,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,66.30M,35.96M,15.35%,4.53,43.63,-30.80%,37.76%,28.44,0.56,24.30%,-206.60%,0.20%,-99.71%,-,3.14%,-,-,4400,1.30
2018-11-15,16:10:15 ,28.27,-0.28%,"733,207",1.23M,1.87B,37.20M,1.05B,2.68,50.30,18.71,2.00,180.22,1.78,0.10,0.90,0.78,2.51%,-3.87%,-14.83%,48.00,1.40%,3.40%,6.60%,32.80%,5.50%,2.00%,66.30M,35.96M,15.35%,4.49,43.63,-31.00%,37.37%,28.35,0.56,24.30%,-206.60%,0.20%,-99.71%,-,3.14%,-,-,4400,1.30
