date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:50:25 ,21.89,3.65%,"111,273",123.62K,909.53M,20.10M,5.80M,0.94,44.86,-,-,-,156.82,-,-,0.00,-2.47%,-3.27%,-1.79%,44.73,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.55M,41.55M,0.05%,0.16,-,-14.79%,7.51%,21.12,0.49,30.40%,49.20%,-,-,20.90%,-0.09%,1.88,8.59%,-,-
2018-10-17,20:42:49 ,21.84,-0.23%,"177,588",123.62K,907.45M,20.10M,5.80M,0.93,44.75,-,-,-,156.46,-,-,0.00,-2.53%,-3.43%,-2.00%,44.02,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.55M,41.55M,0.05%,0.16,-,-14.55%,7.27%,21.89,0.49,30.40%,49.20%,-,-,20.90%,-0.09%,1.88,8.61%,-,-
2018-10-18,21:21:39 ,21.63,-0.96%,"192,499",125.10K,898.73M,20.10M,5.80M,0.93,44.32,-,-,-,154.95,-,-,0.00,-3.31%,-4.28%,-2.92%,41.09,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.55M,41.55M,0.05%,0.16,-,-15.38%,6.24%,21.84,0.49,30.40%,49.20%,-,-,20.90%,-0.09%,1.88,8.69%,-,-
2018-10-19,21:29:36 ,21.47,-0.74%,"159,567",127.11K,892.08M,20.10M,5.80M,0.92,44.00,-,-,-,153.81,-,-,0.00,-3.76%,-4.90%,-3.60%,38.55,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.55M,41.55M,0.05%,0.16,-,-15.31%,5.45%,21.63,0.49,30.40%,49.20%,-,-,20.90%,-0.09%,1.88,8.76%,-,-
2018-10-22,18:43:18 ,21.21,-1.21%,"171,582",128.21K,887.85M,20.10M,5.80M,0.91,43.46,-,-,-,153.08,-,-,0.00,-4.65%,-5.95%,-4.73%,35.82,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.86M,41.55M,0.05%,0.16,-,-15.73%,4.17%,21.47,0.49,30.40%,49.20%,-,-,20.90%,0.05%,1.88,8.86%,-,-
2018-10-23,18:44:06 ,21.06,-0.71%,"211,752",129.99K,881.57M,20.10M,5.80M,0.90,43.16,-,-,-,152.00,-,-,0.00,-4.95%,-6.49%,-5.36%,33.42,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.86M,41.55M,0.05%,0.16,-,-15.67%,3.44%,21.21,0.49,30.40%,49.20%,-,-,20.90%,0.05%,1.88,8.93%,-,-
2018-10-24,18:44:06 ,20.03,-4.89%,"306,026",131.84K,838.46M,20.10M,5.80M,0.86,41.05,-,-,-,144.56,-,-,0.00,-9.19%,-10.94%,-9.95%,25.16,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.86M,41.55M,0.05%,0.15,-,-19.43%,-1.62%,21.06,0.49,30.40%,49.20%,-,-,20.90%,0.05%,1.88,9.39%,-,-
2018-10-25,18:43:58 ,20.33,1.50%,"343,987",134.74K,851.01M,20.10M,5.80M,0.87,41.66,-,-,-,146.73,-,-,0.00,-7.18%,-9.39%,-8.53%,30.82,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.86M,41.55M,0.05%,0.15,-,-18.22%,1.55%,20.03,0.49,30.40%,49.20%,-,-,20.90%,0.05%,1.88,9.25%,-,-
2018-10-26,18:42:18 ,20.18,-0.74%,"221,512",138.55K,844.73M,20.10M,5.80M,0.86,41.35,-,-,-,145.64,-,-,0.00,-7.26%,-9.90%,-9.13%,29.26,2.00%,2.00%,-0.50%,-74.70%,-90.60%,-,41.86M,41.55M,0.05%,0.15,-,-18.83%,1.51%,20.33,0.49,30.40%,49.20%,-,-,20.90%,0.05%,1.88,9.32%,-,-
2018-10-29,18:42:22 ,19.92,-1.29%,"237,925",140.01K,827.67M,-,5.79M,0.85,41.24,-,-,-,142.87,-,-,-,-7.82%,-10.87%,-10.23%,26.77,-,-,-,-,-,-,41.55M,-,-,0.04,-,-19.87%,0.96%,20.18,0.48,6.20%,-,-,-,20.55%,-,1.88,9.44%,-,-
2018-10-30,18:43:17 ,20.18,1.31%,"188,291",142.23K,838.47M,-,5.79M,0.86,41.78,-,-,-,144.74,-,-,-,-5.93%,-9.49%,-8.98%,31.80,-,-,-,-,-,-,41.55M,-,-,0.04,-,-18.83%,2.59%,19.92,0.48,6.20%,-,-,-,20.55%,-,1.88,9.32%,-,-
2018-10-31,18:43:03 ,20.60,2.08%,"281,623",142.75K,855.92M,-,5.79M,0.88,42.65,-,-,-,147.75,-,-,-,-3.33%,-7.39%,-7.02%,39.18,-,-,-,-,-,-,41.55M,-,-,0.04,-,-17.14%,4.73%,20.18,0.48,6.20%,-,-,-,20.55%,-,1.88,9.13%,-,-
2018-11-01,18:44:22 ,21.27,3.25%,"182,488",145.56K,883.76M,-,5.79M,0.91,44.04,-,-,-,152.56,-,-,-,0.39%,-4.19%,-3.92%,48.58,-,-,-,-,-,-,41.55M,-,-,0.04,-,-14.44%,8.13%,20.60,0.48,6.20%,-,-,-,20.55%,-,1.88,8.84%,-,-
2018-11-03,00:07:28 ,21.03,-1.13%,"126,524",146.33K,873.79M,-,5.79M,0.90,43.54,-,-,-,150.84,-,-,-,-0.45%,-5.12%,-4.96%,46.40,-,-,-,-,-,-,41.55M,-,-,0.04,-,-15.41%,6.91%,21.27,0.48,6.20%,-,-,-,20.55%,-,1.88,8.94%,-,-
2018-11-05,17:43:42 ,21.07,0.19%,"140,209",146.54K,875.45M,-,5.79M,0.90,43.62,-,-,-,151.12,-,-,-,0.00%,-4.78%,-4.72%,47.02,-,-,-,-,-,-,41.55M,-,-,0.04,-,-15.25%,7.12%,21.03,0.48,6.20%,-,-,-,20.55%,-,1.88,8.92%,-,-
2018-11-06,17:41:10 ,21.24,0.81%,"108,163",147.44K,882.52M,-,5.79M,0.91,43.98,-,-,-,152.34,-,-,-,1.05%,-3.82%,-3.88%,49.40,-,-,-,-,-,-,41.55M,-,-,0.04,-,-14.56%,7.98%,21.07,0.48,6.20%,-,-,-,20.55%,-,1.88,8.85%,-,-
2018-11-07,17:46:48 ,21.69,2.12%,"113,254",146.67K,901.21M,-,5.79M,0.93,44.91,-,-,-,155.57,-,-,-,3.37%,-1.63%,-1.78%,55.20,-,-,-,-,-,-,41.55M,-,-,0.04,-,-12.75%,10.27%,21.24,0.48,6.20%,-,-,-,20.55%,-,1.88,8.67%,-,-
