date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:59:41 ,26.76,3.28%,"2,378,422",2.59M,5.56B,604.50M,3.17B,29.09,9.76,13.00,0.98,5.68,1.76,2.30,2.30,7.79,3.67%,3.04%,2.66%,58.07,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,207.76M,204.64M,13.80%,10.92,25.43,-10.23%,19.20%,25.91,2.74,5.40%,-16.50%,0.50%,-6.23%,-,-0.19%,1.00,3.74%,2700,2.80
2018-10-17,19:52:53 ,26.52,-0.90%,"1,934,452",2.58M,5.51B,604.50M,3.17B,28.83,9.68,12.88,0.97,5.63,1.74,2.30,2.30,7.79,2.46%,2.02%,1.73%,55.27,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,207.76M,204.64M,13.80%,10.95,25.43,-11.04%,18.13%,26.76,2.74,5.40%,-16.50%,0.50%,-6.23%,-,-0.19%,1.00,3.77%,2700,2.80
2018-10-18,20:31:24 ,25.99,-2.00%,"2,702,446",2.57M,5.40B,604.50M,3.17B,28.25,9.48,12.62,0.95,5.51,1.70,2.30,2.30,7.79,0.18%,-0.09%,-0.30%,49.36,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,207.76M,204.64M,13.80%,10.98,25.43,-12.81%,15.77%,26.52,2.74,5.40%,-16.50%,0.50%,-6.23%,-,-0.19%,1.00,3.85%,2700,2.80
2018-10-19,20:39:43 ,25.81,-0.69%,"2,059,018",2.57M,5.36B,604.50M,3.17B,28.05,9.42,12.54,0.94,5.48,1.69,2.30,2.30,7.79,-0.56%,-0.80%,-0.97%,47.75,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,207.76M,204.64M,13.80%,10.97,25.43,-13.42%,14.97%,25.99,2.74,5.40%,-16.50%,0.50%,-6.23%,-,-0.19%,1.00,3.87%,2700,2.80
2018-10-22,17:52:37 ,25.83,0.08%,"2,146,294",2.57M,5.35B,604.50M,3.17B,28.08,9.42,12.54,0.94,5.46,1.69,2.30,2.30,7.79,-0.42%,-0.74%,-0.88%,48.24,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,206.95M,204.64M,13.80%,10.99,25.43,-13.35%,15.06%,25.81,2.74,5.40%,-16.50%,0.50%,-6.25%,-,-0.27%,1.00,3.87%,2700,2.80
2018-10-23,17:53:16 ,26.37,2.09%,"2,808,410",2.56M,5.46B,604.50M,3.17B,28.66,9.62,12.81,0.96,5.57,1.72,2.30,2.30,7.79,1.58%,1.34%,1.21%,53.43,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,206.95M,204.64M,13.80%,11.01,25.43,-11.54%,17.46%,25.83,2.74,5.40%,-16.50%,0.50%,-6.25%,-,-0.27%,1.00,3.79%,2700,2.80
2018-10-24,17:52:43 ,25.53,-3.19%,"2,229,799",2.58M,5.28B,604.50M,3.17B,27.75,9.31,12.40,0.93,5.40,1.67,2.30,2.30,7.79,-1.82%,-1.94%,-2.02%,45.04,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,206.95M,204.64M,13.80%,10.95,25.43,-14.36%,13.72%,26.37,2.74,5.40%,-16.50%,0.50%,-6.25%,-,-0.27%,1.00,3.92%,2700,2.80
2018-10-25,17:52:45 ,25.90,1.45%,"1,878,359",2.58M,5.36B,604.50M,3.17B,28.15,9.45,12.58,0.94,5.47,1.69,2.30,2.30,7.79,-0.34%,-0.47%,-0.58%,49.17,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,206.95M,204.64M,13.80%,10.95,25.43,-13.12%,15.37%,25.53,2.74,5.40%,-16.50%,0.50%,-6.25%,-,-0.27%,1.00,3.86%,2700,2.80
2018-10-26,17:51:33 ,25.50,-1.54%,"2,785,319",2.57M,5.28B,604.50M,3.17B,27.72,9.30,12.38,0.93,5.39,1.67,2.30,2.30,7.79,-1.87%,-1.99%,-2.11%,45.30,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,206.95M,204.64M,13.80%,10.98,25.43,-14.46%,13.59%,25.90,2.74,5.40%,-16.50%,0.50%,-6.25%,-,-0.27%,1.00,3.92%,2700,2.80
2018-10-29,17:51:43 ,25.73,0.90%,"3,089,896",2.58M,5.37B,604.50M,3.17B,27.97,9.39,12.50,0.94,5.49,1.70,2.30,2.30,7.79,-0.94%,-1.04%,-1.22%,46.21,23.50%,-449.10%,37.60%,46.20%,23.80%,18.60%,208.75M,204.64M,12.96%,10.28,25.43,-13.69%,14.61%,25.50,2.74,5.40%,-16.50%,0.50%,-6.20%,-,-0.47%,1.00,3.89%,2700,2.80
