date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:02:34 ,45.93,2.87%,"336,386",316.62K,1.55B,78.30M,4.49B,1.89,19.63,15.72,1.10,57.93,0.35,1.20,1.20,0.34,1.56%,-5.61%,-3.45%,50.32,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,33.80M,32.57M,2.26%,2.32,55.07,-18.85%,21.19%,44.65,2.34,27.70%,129.00%,1.10%,-0.67%,95.90%,0.51%,-,-,4377,2.50
2018-10-17,21:56:07 ,45.57,-0.78%,"227,251",316.62K,1.54B,78.30M,4.49B,1.88,19.47,15.60,1.09,57.47,0.34,1.20,1.20,0.34,1.02%,-6.06%,-4.18%,48.22,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,33.80M,32.57M,2.26%,2.32,55.07,-19.49%,20.24%,45.93,2.34,27.70%,129.00%,1.10%,-0.67%,95.90%,0.51%,-,-,4377,2.50
2018-10-18,22:32:55 ,44.08,-3.27%,"342,724",314.76K,1.49B,78.30M,4.49B,1.81,18.84,15.09,1.05,55.59,0.33,1.20,1.20,0.34,-2.06%,-8.82%,-7.28%,41.24,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,33.80M,32.57M,2.26%,2.34,55.07,-22.12%,15.70%,45.57,2.34,27.70%,129.00%,1.10%,-0.67%,95.90%,0.51%,-,-,4377,2.50
2018-10-19,22:40:30 ,43.85,-0.52%,"446,856",317.50K,1.48B,78.30M,4.49B,1.81,18.74,15.01,1.05,55.30,0.33,1.20,1.20,0.34,-2.17%,-8.97%,-7.71%,40.43,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,33.80M,32.57M,2.26%,2.32,55.07,-22.53%,14.19%,44.08,2.34,27.70%,129.00%,1.10%,-0.67%,95.90%,0.51%,-,-,4377,2.50
2018-10-22,19:59:58 ,44.68,1.89%,"301,117",321.49K,1.54B,78.30M,4.49B,1.84,19.09,16.77,1.22,57.62,0.34,1.20,1.20,0.34,0.06%,-6.92%,-5.91%,45.22,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,34.56M,32.57M,2.26%,2.29,55.13,-21.06%,16.35%,43.85,2.34,27.70%,129.00%,1.10%,-0.65%,95.90%,0.53%,-,-,4377,2.50
2018-10-23,20:01:38 ,43.50,-2.64%,"473,613",323.52K,1.50B,78.30M,4.49B,1.79,18.59,16.33,1.19,56.10,0.33,1.20,1.20,0.34,-2.34%,-9.11%,-8.34%,40.14,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,34.56M,32.57M,2.26%,2.27,55.13,-23.14%,13.28%,44.68,2.34,27.70%,129.00%,1.10%,-0.65%,95.90%,0.53%,-,-,4377,2.50
2018-10-24,19:59:58 ,41.41,-4.80%,"400,855",328.07K,1.43B,78.30M,4.49B,1.70,17.70,15.54,1.13,53.40,0.32,1.20,1.20,0.34,-6.76%,-13.18%,-12.69%,32.99,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,34.56M,32.57M,2.26%,2.24,55.13,-26.84%,7.84%,43.50,2.34,27.70%,129.00%,1.10%,-0.65%,95.90%,0.53%,-,-,4377,2.50
2018-10-25,20:00:50 ,43.80,5.77%,"414,689",325.22K,1.51B,78.30M,4.49B,1.80,18.72,16.44,1.20,56.48,0.34,1.20,1.20,0.34,-0.88%,-7.75%,-7.56%,44.52,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,34.56M,32.57M,2.26%,2.26,55.13,-22.61%,14.06%,41.41,2.34,27.70%,129.00%,1.10%,-0.65%,95.90%,0.53%,-,-,4377,2.50
2018-10-26,19:59:09 ,46.21,5.50%,"1,285,389",317.91K,1.60B,78.30M,4.49B,1.90,19.75,17.35,1.27,59.59,0.36,1.20,1.20,0.34,4.75%,-2.40%,-2.40%,52.69,9.20%,20.20%,6.10%,11.40%,2.60%,3.40%,34.56M,32.57M,2.26%,2.31,55.13,-18.36%,20.34%,43.80,2.34,27.70%,129.00%,1.10%,-0.65%,95.90%,0.53%,-,-,4377,2.50
2018-10-29,19:54:32 ,46.58,0.80%,"660,805",331.53K,1.52B,78.30M,4.49B,1.92,19.91,17.15,1.50,56.64,0.34,1.20,1.20,0.34,5.52%,-1.43%,-1.56%,53.44,-,-,6.10%,11.40%,-,-,32.59M,32.57M,2.17%,2.13,54.33,-17.70%,21.30%,46.21,2.34,24.70%,129.20%,1.10%,-0.69%,95.80%,0.47%,-,-,4377,2.50
