date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:00:06 ,10.39,-0.57%,10,27.74K,341.21M,-0.30M,-,0.32,-,-,-,379.12,-,2.30,2.30,0.00,0.26%,1.09%,3.14%,52.90,-,-,-,-,-,-,32.84M,24.75M,0.01%,0.07,-,-0.57%,5.16%,10.45,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-17,21:53:34 ,10.45,0.58%,"6,700",27.74K,343.18M,-0.30M,-,0.32,-,-,-,381.31,-,2.30,2.30,0.00,0.84%,1.68%,3.74%,58.30,-,-,-,-,-,-,32.84M,24.75M,0.01%,0.07,-,0.00%,5.77%,10.39,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-18,22:30:23 ,10.45,0.00%,0,30.65K,343.18M,-0.30M,-,0.32,-,-,-,381.31,-,2.30,2.30,0.00,0.81%,1.67%,3.73%,58.22,-,-,-,-,-,-,32.84M,24.75M,0.01%,0.06,-,0.00%,5.77%,10.45,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-19,22:38:01 ,10.39,-0.57%,100,30.65K,341.21M,-0.30M,-,0.32,-,-,-,379.12,-,2.30,2.30,0.00,0.23%,1.08%,3.14%,53.79,-,-,-,-,-,-,32.84M,24.75M,0.01%,0.06,-,-0.57%,5.16%,10.45,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-22,19:57:16 ,10.38,-0.10%,100,30.88K,344.62M,-0.30M,-,0.32,-,-,-,382.91,-,2.30,2.30,0.00,0.07%,0.91%,3.02%,51.70,-,-,-,-,-,-,33.20M,24.75M,0.01%,0.09,-,-0.67%,5.06%,10.39,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-23,19:58:56 ,10.39,0.10%,400,29.32K,344.95M,-0.30M,-,0.32,-,-,-,383.28,-,2.30,2.30,0.00,0.10%,0.95%,3.10%,54.07,-,-,-,-,-,-,33.20M,24.75M,0.01%,0.09,-,-0.57%,5.16%,10.38,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-24,19:57:19 ,10.39,0.00%,0,27.92K,344.95M,-0.30M,-,0.32,-,-,-,383.28,-,2.30,2.30,0.00,0.03%,0.92%,3.08%,54.07,-,-,-,-,-,-,33.20M,24.75M,0.01%,0.10,-,-0.57%,5.16%,10.39,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-25,19:58:07 ,10.39,0.00%,0,27.92K,344.95M,-0.30M,-,0.32,-,-,-,383.28,-,2.30,2.30,0.00,0.03%,0.92%,3.08%,54.07,-,-,-,-,-,-,33.20M,24.75M,0.01%,0.10,-,-0.57%,5.16%,10.39,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-26,19:56:25 ,10.39,0.00%,400,27.92K,344.95M,-0.30M,-,0.32,-,-,-,383.28,-,2.30,2.30,0.00,0.03%,0.92%,3.08%,53.34,-,-,-,-,-,-,33.20M,24.75M,0.01%,0.10,-,-0.57%,5.16%,10.39,-0.04,-,-,-,-,45.70%,-,-,-,-,-
2018-10-29,19:52:03 ,10.39,0.00%,0,27.08K,342.87M,-0.30M,-,0.32,-,-,-,380.97,-,2.30,2.30,0.00,0.01%,0.88%,3.06%,53.34,-,-,-,-,-,-,33.00M,24.75M,0.01%,0.06,-,-0.57%,5.16%,10.39,-0.04,-,-,-,-,45.70%,-,-,-,-,-
