date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:03:23 ,77.83,0.24%,"417,357",346.83K,4.39B,218.70M,1.09B,1.15,19.39,10.97,2.42,5.93,4.03,-,-,0.04,-4.81%,-7.43%,-4.16%,29.46,0.60%,4.60%,17.50%,-,81.80%,15.40%,56.43M,55.04M,2.93%,4.65,92.05,-11.10%,13.54%,77.64,4.01,48.50%,31.10%,0.70%,-0.30%,89.20%,0.10%,1.56,2.00%,3505,2.10
2018-10-17,21:56:56 ,77.98,0.19%,"270,894",346.83K,4.40B,218.70M,1.09B,1.15,19.43,10.99,2.43,5.94,4.03,-,-,0.04,-4.28%,-7.13%,-3.98%,30.67,0.60%,4.60%,17.50%,-,81.80%,15.40%,56.43M,55.04M,2.93%,4.65,92.05,-10.93%,13.76%,77.83,4.01,48.50%,31.10%,0.70%,-0.30%,89.20%,0.10%,1.56,2.00%,3505,2.10
2018-10-18,22:33:45 ,75.30,-3.44%,"610,968",348.33K,4.25B,218.70M,1.09B,1.11,18.76,10.61,2.34,5.74,3.89,-,-,0.04,-7.20%,-10.18%,-7.28%,23.36,0.60%,4.60%,17.50%,-,81.80%,15.40%,56.43M,55.04M,2.93%,4.63,92.05,-13.99%,9.85%,77.98,4.01,48.50%,31.10%,0.70%,-0.30%,89.20%,0.10%,1.56,2.07%,3505,2.10
2018-10-19,22:41:17 ,75.67,0.49%,"886,726",351.36K,4.27B,218.70M,1.09B,1.12,18.85,10.66,2.36,5.77,3.91,-,-,0.04,-6.20%,-9.54%,-6.81%,25.92,0.60%,4.60%,17.50%,-,81.80%,15.40%,56.43M,55.04M,2.93%,4.59,92.05,-13.57%,10.39%,75.30,4.01,48.50%,31.10%,0.70%,-0.30%,89.20%,0.10%,1.56,2.06%,3505,2.10
2018-10-22,20:00:48 ,73.89,-2.35%,"500,013",352.47K,4.12B,218.70M,1.09B,1.09,18.41,10.41,2.30,5.56,3.78,-,-,0.04,-7.91%,-11.47%,-8.99%,22.43,0.50%,3.90%,17.50%,-,74.80%,13.30%,55.75M,55.04M,2.93%,4.57,92.05,-15.60%,7.79%,75.67,4.01,48.50%,31.10%,0.70%,-0.31%,88.80%,-0.30%,1.56,2.11%,3505,2.10
2018-10-23,20:02:30 ,73.16,-0.99%,"310,349",339.15K,4.08B,218.70M,1.09B,1.08,18.23,10.30,2.28,5.51,3.74,-,-,0.04,-8.26%,-12.12%,-9.87%,21.08,0.50%,3.90%,17.50%,-,74.80%,13.30%,55.75M,55.04M,2.93%,4.75,92.05,-16.44%,6.73%,73.89,4.01,48.50%,31.10%,0.70%,-0.31%,88.80%,-0.30%,1.56,2.13%,3505,2.10
2018-10-24,20:00:49 ,69.78,-4.62%,"335,877",333.10K,3.89B,218.70M,1.09B,1.03,17.38,9.83,2.17,5.25,3.57,-,-,0.04,-11.91%,-15.95%,-14.00%,16.42,0.50%,3.90%,17.50%,-,74.80%,13.30%,55.75M,55.04M,2.93%,4.84,92.05,-20.30%,1.79%,73.16,4.01,48.50%,31.10%,0.70%,-0.31%,88.80%,-0.30%,1.56,2.24%,3505,2.10
2018-10-25,20:01:42 ,72.47,3.85%,"721,491",329.95K,4.04B,218.70M,1.09B,1.07,18.05,10.21,2.26,5.46,3.70,-,-,0.04,-7.79%,-12.37%,-10.64%,30.04,0.50%,3.90%,17.50%,-,74.80%,13.30%,55.75M,55.04M,2.93%,4.88,92.05,-17.22%,5.72%,69.78,4.01,48.50%,31.10%,0.70%,-0.31%,88.80%,-0.30%,1.56,2.15%,3505,2.10
2018-10-26,20:00:00 ,71.56,-1.26%,"391,061",335.00K,3.99B,218.70M,1.09B,1.06,17.83,10.08,2.23,5.39,3.66,-,-,0.04,-8.42%,-13.21%,-11.72%,28.31,0.50%,3.90%,17.50%,-,74.80%,13.30%,55.75M,55.04M,2.93%,4.81,92.05,-18.26%,4.39%,72.47,4.01,48.50%,31.10%,0.70%,-0.31%,88.80%,-0.30%,1.56,2.18%,3505,2.10
2018-10-29,19:55:20 ,73.84,3.19%,"394,779",333.41K,4.19B,289.90M,1.16B,1.08,14.09,10.33,1.76,5.66,3.61,-,-,0.04,-4.91%,-10.13%,-8.85%,37.93,0.50%,3.90%,17.50%,-,70.30%,12.50%,56.74M,55.06M,2.97%,4.91,89.65,-15.66%,7.72%,71.56,5.24,180.70%,139.80%,0.70%,-0.30%,88.30%,-0.88%,1.64,2.22%,3505,2.10
2018-10-30,19:56:09 ,73.91,0.09%,"492,908",336.32K,4.19B,289.90M,1.16B,1.08,14.11,10.34,1.76,5.66,3.61,-,-,0.04,-4.40%,-9.78%,-8.72%,37.66,0.50%,3.90%,17.50%,-,70.30%,12.50%,56.74M,55.06M,2.97%,4.86,89.65,-15.58%,7.82%,73.84,5.24,180.70%,139.80%,0.70%,-0.30%,88.30%,-0.88%,1.64,2.22%,3505,2.10
2018-10-31,19:55:21 ,74.49,0.78%,"438,823",340.66K,4.23B,289.90M,1.16B,1.09,14.22,10.43,1.78,5.71,3.64,-,-,0.04,-3.25%,-8.80%,-7.95%,40.00,0.50%,3.90%,17.50%,-,70.30%,12.50%,56.74M,55.06M,2.97%,4.80,89.65,-14.92%,8.67%,73.91,5.24,180.70%,139.80%,0.70%,-0.30%,88.30%,-0.88%,1.64,2.20%,3505,2.10
2018-11-01,19:58:15 ,74.88,0.52%,"545,166",343.81K,4.25B,289.90M,1.16B,1.10,14.29,10.48,1.79,5.74,3.66,-,-,0.04,-2.23%,-8.05%,-7.43%,41.63,0.50%,3.90%,17.50%,-,70.30%,12.50%,56.74M,55.06M,2.97%,4.76,89.65,-14.47%,9.23%,74.49,5.24,180.70%,139.80%,0.70%,-0.30%,88.30%,-0.88%,1.64,2.19%,3505,2.10
2018-11-03,01:25:42 ,75.88,1.34%,"426,268",348.24K,4.31B,289.90M,1.16B,1.11,14.48,10.62,1.81,5.82,3.71,-,-,0.04,-0.44%,-6.56%,-6.15%,45.66,0.50%,3.90%,17.50%,-,70.30%,12.50%,56.74M,55.06M,2.97%,4.70,89.65,-13.33%,10.69%,74.88,5.24,180.70%,139.80%,0.70%,-0.30%,88.30%,-0.88%,1.64,2.16%,3505,2.10
2018-11-05,18:58:17 ,75.74,-0.18%,"313,502",349.34K,4.19B,289.90M,1.16B,1.11,14.46,10.55,1.81,5.66,3.61,-,-,0.04,-0.24%,-6.50%,-6.28%,44.94,0.50%,3.90%,17.50%,-,70.30%,12.50%,55.29M,55.06M,2.97%,4.68,89.45,-13.49%,10.49%,75.88,5.24,180.70%,139.80%,0.70%,-0.31%,88.50%,-0.70%,1.64,2.17%,3505,2.10
2018-11-06,18:54:27 ,76.74,1.32%,"457,455",350.70K,4.24B,289.90M,1.16B,1.12,14.65,10.69,1.83,5.73,3.65,-,-,0.04,1.53%,-5.02%,-5.00%,48.55,0.50%,3.90%,17.50%,-,70.30%,12.50%,55.29M,55.06M,2.97%,4.66,89.45,-12.35%,11.95%,75.74,5.24,180.70%,139.80%,0.70%,-0.31%,88.50%,-0.70%,1.64,2.14%,3505,2.10
2018-11-07,19:01:58 ,76.82,0.10%,"343,162",355.27K,4.25B,289.90M,1.16B,1.12,14.66,10.70,1.83,5.74,3.66,-,-,0.04,2.00%,-4.72%,-4.87%,48.68,0.50%,3.90%,17.50%,-,70.30%,12.50%,55.29M,55.06M,2.97%,4.60,89.45,-12.26%,12.06%,76.74,5.24,180.70%,139.80%,0.70%,-0.31%,88.50%,-0.70%,1.64,2.13%,3505,2.10
2018-11-08,18:54:42 ,77.06,0.31%,"263,695",355.69K,4.26B,289.90M,1.16B,1.13,14.71,10.73,1.84,5.76,3.67,-,-,0.04,2.58%,-4.20%,-4.53%,49.98,0.50%,3.90%,17.50%,-,70.30%,12.50%,55.29M,55.06M,2.97%,4.60,89.45,-11.98%,12.41%,76.82,5.24,180.70%,139.80%,0.70%,-0.31%,88.50%,-0.70%,1.64,2.13%,3505,2.10
2018-11-09,19:35:39 ,76.23,-1.08%,"308,465",355.62K,4.21B,289.90M,1.16B,1.11,14.55,10.62,1.82,5.69,3.63,-,-,0.04,1.52%,-5.02%,-5.53%,46.88,0.50%,3.90%,17.50%,-,70.30%,12.50%,55.29M,55.06M,2.97%,4.60,89.45,-12.93%,11.20%,77.06,5.24,180.70%,139.80%,0.70%,-0.31%,88.50%,-0.70%,1.64,2.15%,3505,2.10
2018-11-12,21:36:03 ,74.75,-1.94%,"270,208",356.85K,4.20B,283.30M,1.16B,1.09,14.60,10.36,1.82,8.59,3.61,-,-,0.04,-0.39%,-6.65%,-7.31%,40.94,1.00%,7.70%,17.50%,-,81.50%,24.90%,56.15M,54.55M,3.37%,5.15,89.45,-14.62%,9.04%,76.23,5.12,28.40%,254.90%,0.70%,-0.30%,88.50%,-1.51%,1.64,2.19%,3505,2.10
2018-11-13,19:03:41 ,74.19,-0.75%,"303,218",356.71K,4.17B,283.30M,1.16B,1.08,14.49,10.29,1.81,8.53,3.59,-,-,0.04,-0.95%,-7.07%,-7.94%,39.67,1.00%,7.70%,17.50%,-,81.50%,24.90%,56.15M,54.55M,3.37%,5.15,89.45,-15.26%,8.23%,74.75,5.12,28.40%,254.90%,0.70%,-0.30%,88.50%,-1.51%,1.64,2.21%,3505,2.10
