date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:06:50 ,1.34,0.00%,"172,349",698.70K,35.56M,-13.40M,18.90M,0.97,-,-,-,3.52,1.88,2.60,2.60,0.00,-10.87%,-1.02%,26.38%,46.41,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,26.54M,26.54M,9.50%,3.61,3.30,-24.72%,74.59%,1.34,-0.52,41.00%,89.60%,0.45%,0.00%,16.00%,-0.02%,-,-,61,1.80
2018-10-17,22:00:29 ,1.38,2.99%,"507,862",698.70K,36.63M,-13.40M,18.90M,1.00,-,-,-,3.63,1.94,2.60,2.60,0.00,-7.41%,1.48%,29.95%,49.36,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,26.54M,26.54M,9.50%,3.61,3.30,-22.47%,79.80%,1.34,-0.52,41.00%,89.60%,0.45%,0.00%,16.00%,-0.02%,-,-,61,1.80
2018-10-18,22:37:19 ,1.38,0.00%,"150,041",687.96K,36.63M,-13.40M,18.90M,1.00,-,-,-,3.63,1.94,2.60,2.60,0.00,-6.47%,0.95%,29.75%,49.56,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,26.54M,26.54M,9.50%,3.66,3.30,-22.47%,79.80%,1.38,-0.52,41.00%,89.60%,0.45%,0.00%,16.00%,-0.02%,-,-,61,1.80
2018-10-19,22:44:41 ,1.36,-1.45%,"208,647",683.29K,36.09M,-13.40M,18.90M,0.99,-,-,-,3.57,1.91,2.60,2.60,0.00,-6.98%,-1.03%,27.68%,47.70,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,26.54M,26.54M,9.50%,3.69,3.30,-23.60%,77.20%,1.38,-0.52,41.00%,89.60%,0.45%,0.00%,16.00%,-0.02%,-,-,61,1.80
2018-10-22,20:04:33 ,1.38,1.47%,"293,346",682.12K,39.47M,-13.40M,18.90M,1.00,-,-,-,3.91,2.09,2.60,2.60,0.00,-5.06%,-0.06%,29.42%,48.96,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,28.60M,28.07M,8.98%,3.70,3.62,-22.47%,79.80%,1.36,-0.52,41.00%,89.60%,0.45%,0.00%,17.10%,6.56%,-,-,61,1.80
2018-10-23,20:06:18 ,1.42,2.90%,"152,447",678.17K,40.61M,-13.40M,18.90M,1.03,-,-,-,4.02,2.15,2.60,2.60,0.00,-1.56%,2.38%,33.00%,50.60,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,28.60M,28.07M,8.98%,3.72,3.62,-20.22%,85.02%,1.38,-0.52,41.00%,89.60%,0.45%,0.00%,17.10%,6.56%,-,-,61,1.80
2018-10-24,20:04:33 ,1.30,-8.45%,"411,689",668.82K,37.18M,-13.40M,18.90M,0.94,-,-,-,3.68,1.97,2.60,2.60,0.00,-9.22%,-6.78%,21.59%,41.88,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,28.60M,28.07M,8.98%,3.77,3.62,-26.97%,69.38%,1.42,-0.52,41.00%,89.60%,0.45%,0.00%,17.10%,6.56%,-,-,61,1.80
2018-10-25,20:05:29 ,1.28,-1.54%,"121,736",668.40K,36.61M,-13.40M,18.90M,0.93,-,-,-,3.62,1.94,2.60,2.60,0.00,-9.73%,-8.57%,19.62%,40.84,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,28.60M,28.07M,8.98%,3.77,3.62,-28.09%,66.78%,1.30,-0.52,41.00%,89.60%,0.45%,0.00%,17.10%,6.56%,-,-,61,1.80
2018-10-26,20:03:46 ,1.30,1.56%,"252,540",666.19K,37.18M,-13.40M,18.90M,0.94,-,-,-,3.68,1.97,2.60,2.60,0.00,-7.44%,-7.50%,21.40%,42.49,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,28.60M,28.07M,8.98%,3.78,3.62,-26.97%,69.38%,1.28,-0.52,41.00%,89.60%,0.45%,0.00%,17.10%,6.56%,-,-,61,1.80
2018-10-29,19:58:46 ,1.26,-3.08%,"194,760",663.01K,34.99M,-13.40M,18.90M,0.91,-,-,-,3.46,1.85,2.60,2.60,0.00,-9.52%,-10.70%,17.58%,39.58,-25.80%,-34.80%,-25.50%,54.80%,-61.00%,-71.10%,27.77M,27.77M,8.57%,3.59,3.62,-29.21%,64.17%,1.30,-0.52,41.00%,89.60%,0.45%,0.00%,19.40%,21.11%,-,-,61,1.80
