date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:10:51 ,37.08,2.49%,"5,628",3.57K,-,-,-,-,-,-,-,-,-,-,-,-,-3.60%,-5.49%,-8.01%,38.82,-,-,-,-,-,-,-,-,-,0.01,-,-13.02%,2.86%,36.18,-,-,-,-,-,-,-,1.58,4.26%,-,-
2018-10-17,22:04:39 ,37.56,1.29%,942,3.57K,-,-,-,-,-,-,-,-,-,-,-,-,-2.03%,-4.12%,-6.78%,44.28,-,-,-,-,-,-,-,-,-,0.01,-,-11.89%,4.19%,37.08,-,-,-,-,-,-,-,1.58,4.21%,-,-
2018-10-18,22:41:26 ,37.18,-1.01%,"4,524",3.56K,-,-,-,-,-,-,-,-,-,-,-,-,-2.71%,-4.96%,-7.68%,40.44,-,-,-,-,-,-,-,-,-,0.01,-,-12.78%,3.13%,37.56,-,-,-,-,-,-,-,1.58,4.25%,-,-
2018-10-19,22:48:39 ,37.65,1.25%,"112,627",3.60K,-,-,-,-,-,-,-,-,-,-,-,-,-1.18%,-3.63%,-6.48%,45.62,-,-,-,-,-,-,-,-,-,0.00,-,-11.69%,4.42%,37.18,-,-,-,-,-,-,-,1.58,4.20%,-,-
2018-10-22,20:08:52 ,37.48,-0.44%,"1,660",5.31K,-,-,-,-,-,-,-,-,-,-,-,-,-1.29%,-3.94%,-6.85%,43.51,-,-,-,-,-,-,-,-,-,0.00,-,-12.08%,3.97%,37.65,-,-,-,-,-,-,-,1.64,4.38%,-,-
2018-10-23,20:10:39 ,37.02,-1.22%,"4,225",5.11K,-,-,-,-,-,-,-,-,-,-,-,-,-2.21%,-4.98%,-7.94%,39.51,-,-,-,-,-,-,-,-,-,0.00,-,-13.15%,2.70%,37.48,-,-,-,-,-,-,-,1.64,4.43%,-,-
2018-10-24,20:08:49 ,36.70,-0.88%,"1,773",5.17K,-,-,-,-,-,-,-,-,-,-,-,-,-2.75%,-5.67%,-8.69%,37.17,-,-,-,-,-,-,-,-,-,0.00,-,-13.91%,1.80%,37.02,-,-,-,-,-,-,-,1.64,4.47%,-,-
2018-10-25,20:09:47 ,36.44,-0.71%,"6,208",5.14K,-,-,-,-,-,-,-,-,-,-,-,-,-3.09%,-6.22%,-9.29%,35.03,-,-,-,-,-,-,-,-,-,0.00,-,-14.52%,1.08%,36.70,-,-,-,-,-,-,-,1.64,4.50%,-,-
2018-10-26,20:08:24 ,36.67,0.63%,"5,330",5.13K,-,-,-,-,-,-,-,-,-,-,-,-,-2.10%,-5.50%,-8.65%,37.58,-,-,-,-,-,-,-,-,-,0.00,-,-13.98%,1.72%,36.44,-,-,-,-,-,-,-,1.64,4.47%,-,-
2018-10-29,20:02:47 ,36.19,-1.30%,"1,682",5.20K,-,-,-,-,-,-,-,-,-,-,-,-,-3.07%,-6.61%,-9.78%,33.84,-,-,-,-,-,-,-,-,-,0.95,-,-15.10%,0.40%,36.67,-,-,-,-,-,-,-,1.60,4.42%,-,-
