date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:47:59 ,19.11,2.14%,"470,181",200.24K,-,-,-,-,-,-,-,-,-,-,-,-,-3.69%,-5.77%,-12.02%,38.44,-,-,-,-,-,-,-,-,-,-,-,-21.16%,4.26%,18.71,-,-,-,-,-,-,-,0.38,1.99%,-,-
2018-10-17,21:41:07 ,18.99,-0.63%,"371,450",200.24K,-,-,-,-,-,-,-,-,-,-,-,-,-3.99%,-6.19%,-12.51%,36.24,-,-,-,-,-,-,-,-,-,-,-,-21.66%,3.60%,19.11,-,-,-,-,-,-,-,0.38,2.00%,-,-
2018-10-18,22:18:25 ,18.63,-1.90%,"240,104",203.00K,-,-,-,-,-,-,-,-,-,-,-,-,-5.46%,-7.77%,-14.10%,31.20,-,-,-,-,-,-,-,-,-,-,-,-23.14%,1.64%,18.99,-,-,-,-,-,-,-,0.38,2.04%,-,-
2018-10-19,22:26:12 ,18.64,0.05%,"512,151",202.79K,-,-,-,-,-,-,-,-,-,-,-,-,-4.93%,-7.50%,-13.97%,31.34,-,-,-,-,-,-,-,-,-,-,-,-23.10%,1.69%,18.63,-,-,-,-,-,-,-,0.38,2.04%,-,-
2018-10-22,19:44:25 ,18.70,0.32%,"71,640",209.25K,-,-,-,-,-,-,-,-,-,-,-,-,-4.15%,-6.98%,-13.61%,33.33,-,-,-,-,-,-,-,-,-,-,-,-22.85%,2.02%,18.64,-,-,-,-,-,-,-,0.38,2.03%,-,-
2018-10-23,19:45:57 ,18.39,-1.66%,"397,798",209.52K,-,-,-,-,-,-,-,-,-,-,-,-,-5.34%,-8.34%,-14.95%,28.78,-,-,-,-,-,-,-,-,-,-,-,-24.13%,0.33%,18.70,-,-,-,-,-,-,-,0.38,2.07%,-,-
2018-10-24,19:44:40 ,17.73,-3.59%,"193,241",213.69K,-,-,-,-,-,-,-,-,-,-,-,-,-8.25%,-11.45%,-17.92%,21.61,-,-,-,-,-,-,-,-,-,-,-,-26.86%,-2.21%,18.39,-,-,-,-,-,-,-,0.38,2.14%,-,-
2018-10-25,19:45:11 ,18.07,1.92%,"229,936",214.31K,-,-,-,-,-,-,-,-,-,-,-,-,-5.82%,-9.50%,-16.24%,30.00,-,-,-,-,-,-,-,-,-,-,-,-25.45%,1.92%,17.73,-,-,-,-,-,-,-,0.38,2.10%,-,-
2018-10-26,19:43:37 ,18.06,-0.06%,"190,011",215.50K,-,-,-,-,-,-,-,-,-,-,-,-,-5.29%,-9.37%,-16.18%,29.67,-,-,-,-,-,-,-,-,-,-,-,-25.50%,1.86%,18.07,-,-,-,-,-,-,-,0.38,2.10%,-,-
2018-10-29,19:40:05 ,17.88,-1.00%,"384,786",217.36K,-,-,-,-,-,-,-,-,-,-,-,-,-5.69%,-10.07%,-16.92%,28.19,-,-,-,-,-,-,-,-,-,-,-,-26.24%,0.85%,18.06,-,-,-,-,-,-,-,0.37,2.07%,-,-
2018-10-30,19:40:44 ,18.13,1.40%,"127,682",218.28K,-,-,-,-,-,-,-,-,-,-,-,-,-3.75%,-8.58%,-15.65%,34.30,-,-,-,-,-,-,-,-,-,-,-,-25.21%,2.26%,17.88,-,-,-,-,-,-,-,0.37,2.04%,-,-
2018-10-31,19:40:22 ,18.39,1.43%,"71,056",215.87K,-,-,-,-,-,-,-,-,-,-,-,-,-1.85%,-7.04%,-14.33%,40.54,-,-,-,-,-,-,-,-,-,-,-,-24.13%,3.72%,18.13,-,-,-,-,-,-,-,0.37,2.01%,-,-
2018-11-01,19:43:03 ,18.86,2.56%,"247,737",210.64K,-,-,-,-,-,-,-,-,-,-,-,-,1.13%,-4.45%,-12.03%,49.68,-,-,-,-,-,-,-,-,-,-,-,-22.19%,6.37%,18.39,-,-,-,-,-,-,-,0.37,1.96%,-,-
