date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:10:55 ,41.61,1.64%,"144,095",261.76K,-,-,-,-,-,-,-,-,-,-,-,-,-0.92%,-2.17%,-3.94%,44.12,-,-,-,-,-,-,-,-,-,0.77,-,-11.09%,2.74%,40.94,-,-,-,-,-,-,-,1.26,3.03%,-,-
2018-10-17,22:04:44 ,41.32,-0.70%,"128,165",261.76K,-,-,-,-,-,-,-,-,-,-,-,-,-1.46%,-2.76%,-4.57%,40.00,-,-,-,-,-,-,-,-,-,0.77,-,-11.71%,2.02%,41.61,-,-,-,-,-,-,-,1.26,3.05%,-,-
2018-10-18,22:41:31 ,41.04,-0.68%,"222,730",261.72K,-,-,-,-,-,-,-,-,-,-,-,-,-1.99%,-3.31%,-5.17%,36.40,-,-,-,-,-,-,-,-,-,0.77,-,-12.31%,1.33%,41.32,-,-,-,-,-,-,-,1.26,3.07%,-,-
2018-10-19,22:48:44 ,41.57,1.29%,"148,944",263.29K,-,-,-,-,-,-,-,-,-,-,-,-,-0.54%,-1.94%,-3.90%,45.34,-,-,-,-,-,-,-,-,-,0.76,-,-11.18%,2.64%,41.04,-,-,-,-,-,-,-,1.26,3.03%,-,-
2018-10-22,20:08:57 ,41.30,-0.65%,"177,802",262.22K,-,-,-,-,-,-,-,-,-,-,-,-,-1.05%,-2.48%,-4.48%,42.52,-,-,-,-,-,-,-,-,-,0.77,-,-11.75%,1.98%,41.57,-,-,-,-,-,-,-,1.28,3.10%,-,-
2018-10-23,20:10:44 ,41.05,-0.61%,"187,205",262.29K,-,-,-,-,-,-,-,-,-,-,-,-,-1.52%,-2.99%,-5.00%,39.21,-,-,-,-,-,-,-,-,-,0.77,-,-12.29%,1.36%,41.30,-,-,-,-,-,-,-,1.28,3.12%,-,-
2018-10-24,20:08:54 ,40.86,-0.46%,"169,555",260.38K,-,-,-,-,-,-,-,-,-,-,-,-,-1.83%,-3.35%,-5.39%,36.79,-,-,-,-,-,-,-,-,-,0.77,-,-12.69%,0.89%,41.05,-,-,-,-,-,-,-,1.28,3.13%,-,-
2018-10-25,20:09:51 ,40.84,-0.05%,"111,869",261.51K,-,-,-,-,-,-,-,-,-,-,-,-,-1.74%,-3.30%,-5.39%,36.88,-,-,-,-,-,-,-,-,-,0.77,-,-12.74%,0.84%,40.86,-,-,-,-,-,-,-,1.28,3.13%,-,-
2018-10-26,20:08:29 ,40.49,-0.86%,"164,316",261.29K,-,-,-,-,-,-,-,-,-,-,-,-,-2.45%,-4.05%,-6.15%,32.81,-,-,-,-,-,-,-,-,-,0.77,-,-13.48%,-0.02%,40.84,-,-,-,-,-,-,-,1.28,3.16%,-,-
2018-10-29,20:02:51 ,40.28,-0.52%,"392,585",261.83K,-,-,-,-,-,-,-,-,-,-,-,-,-2.77%,-4.45%,-6.58%,31.28,-,-,-,-,-,-,-,-,-,3.65,-,-13.93%,0.17%,40.49,-,-,-,-,-,-,-,1.24,3.08%,-,-
