date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:19:28 ,22.51,3.07%,"72,016",49.64K,-,-,-,-,-,-,-,-,-,-,-,-,-1.91%,-10.29%,-18.22%,41.95,-,-,-,-,-,-,-,-,-,0.11,-,-30.38%,9.27%,21.84,-,-,-,-,-,-,-,-,-,-,-
2018-10-17,20:12:08 ,21.93,-2.58%,"71,756",49.64K,-,-,-,-,-,-,-,-,-,-,-,-,-3.93%,-12.26%,-20.21%,36.73,-,-,-,-,-,-,-,-,-,0.11,-,-32.18%,6.46%,22.51,-,-,-,-,-,-,-,-,-,-,-
2018-10-18,20:50:35 ,21.54,-1.78%,"48,099",50.01K,-,-,-,-,-,-,-,-,-,-,-,-,-4.97%,-13.48%,-21.50%,33.70,-,-,-,-,-,-,-,-,-,0.11,-,-33.38%,4.56%,21.93,-,-,-,-,-,-,-,-,-,-,-
2018-10-19,20:59:03 ,21.60,0.30%,"77,213",50.41K,-,-,-,-,-,-,-,-,-,-,-,-,-3.92%,-12.83%,-21.13%,34.19,-,-,-,-,-,-,-,-,-,0.11,-,-33.18%,4.88%,21.54,-,-,-,-,-,-,-,-,-,-,-
2018-10-22,18:12:06 ,21.42,-0.86%,"54,636",51.06K,-,-,-,-,-,-,-,-,-,-,-,-,-4.13%,-13.20%,-21.67%,33.12,-,-,-,-,-,-,-,-,-,0.11,-,-33.76%,3.98%,21.60,-,-,-,-,-,-,-,-,-,-,-
2018-10-23,18:12:44 ,21.36,-0.28%,"59,483",51.64K,-,-,-,-,-,-,-,-,-,-,-,-,-3.85%,-13.06%,-21.75%,32.28,-,-,-,-,-,-,-,-,-,0.11,-,-33.94%,3.69%,21.42,-,-,-,-,-,-,-,-,-,-,-
2018-10-24,18:12:38 ,21.10,-1.22%,"36,873",52.41K,-,-,-,-,-,-,-,-,-,-,-,-,-4.45%,-13.76%,-22.55%,29.98,-,-,-,-,-,-,-,-,-,0.11,-,-34.75%,2.43%,21.36,-,-,-,-,-,-,-,-,-,-,-
2018-10-25,18:12:33 ,21.30,0.95%,"61,382",52.76K,-,-,-,-,-,-,-,-,-,-,-,-,-2.89%,-12.54%,-21.67%,33.30,-,-,-,-,-,-,-,-,-,0.11,-,-34.13%,3.40%,21.10,-,-,-,-,-,-,-,-,-,-,-
2018-10-26,18:11:09 ,21.11,-0.89%,"57,741",52.85K,-,-,-,-,-,-,-,-,-,-,-,-,-3.23%,-12.96%,-22.23%,31.69,-,-,-,-,-,-,-,-,-,0.11,-,-34.71%,2.48%,21.30,-,-,-,-,-,-,-,-,-,-,-
2018-10-29,18:11:14 ,21.15,0.19%,"51,088",52.69K,-,-,-,-,-,-,-,-,-,-,-,-,-2.52%,-12.40%,-21.93%,32.58,-,-,-,-,-,-,-,-,-,0.16,-,-34.59%,2.67%,21.11,-,-,-,-,-,-,-,-,-,-,-
2018-10-30,18:11:58 ,21.20,0.24%,"43,309",53.24K,-,-,-,-,-,-,-,-,-,-,-,-,-1.84%,-11.78%,-21.59%,32.89,-,-,-,-,-,-,-,-,-,0.16,-,-34.44%,2.91%,21.15,-,-,-,-,-,-,-,-,-,-,-
2018-10-31,18:11:44 ,21.42,1.04%,"27,227",53.23K,-,-,-,-,-,-,-,-,-,-,-,-,-0.38%,-10.44%,-20.63%,37.83,-,-,-,-,-,-,-,-,-,0.16,-,-33.76%,3.98%,21.20,-,-,-,-,-,-,-,-,-,-,-
2018-11-01,18:12:22 ,22.13,3.31%,"30,457",53.10K,-,-,-,-,-,-,-,-,-,-,-,-,3.23%,-7.03%,-17.85%,48.76,-,-,-,-,-,-,-,-,-,0.16,-,-31.56%,7.43%,21.42,-,-,-,-,-,-,-,-,-,-,-
2018-11-02,23:35:22 ,21.98,-0.68%,"61,017",53.31K,-,-,-,-,-,-,-,-,-,-,-,-,2.53%,-7.26%,-18.26%,46.91,-,-,-,-,-,-,-,-,-,0.16,-,-32.02%,6.70%,22.13,-,-,-,-,-,-,-,-,-,-,-
2018-11-05,17:12:08 ,22.10,0.55%,"69,507",54.16K,-,-,-,-,-,-,-,-,-,-,-,-,2.89%,-6.37%,-17.67%,48.54,-,-,-,-,-,-,-,-,-,0.15,-,-31.65%,7.28%,21.98,-,-,-,-,-,-,-,-,-,-,-
2018-11-06,17:10:20 ,21.94,-0.72%,"26,536",54.97K,-,-,-,-,-,-,-,-,-,-,-,-,1.89%,-6.66%,-18.11%,46.76,-,-,-,-,-,-,-,-,-,0.15,-,-32.15%,6.50%,22.10,-,-,-,-,-,-,-,-,-,-,-
2018-11-07,17:15:31 ,22.54,2.73%,"25,691",55.29K,-,-,-,-,-,-,-,-,-,-,-,-,4.43%,-3.68%,-15.71%,55.03,-,-,-,-,-,-,-,-,-,0.15,-,-30.29%,9.42%,21.94,-,-,-,-,-,-,-,-,-,-,-
2018-11-08,17:10:09 ,22.11,-1.91%,"31,974",47.48K,-,-,-,-,-,-,-,-,-,-,-,-,2.03%,-5.14%,-17.17%,48.85,-,-,-,-,-,-,-,-,-,0.18,-,-31.62%,7.33%,22.54,-,-,-,-,-,-,-,-,-,-,-
2018-11-09,17:58:13 ,22.20,0.41%,"28,455",47.22K,-,-,-,-,-,-,-,-,-,-,-,-,2.23%,-4.35%,-16.68%,49.03,-,-,-,-,-,-,-,-,-,0.18,-,-31.34%,7.77%,22.11,-,-,-,-,-,-,-,-,-,-,-
2018-11-12,19:51:47 ,21.94,-1.17%,"42,307",47.51K,-,-,-,-,-,-,-,-,-,-,-,-,0.99%,-5.09%,-17.50%,45.67,-,-,-,-,-,-,-,-,-,0.12,-,-32.15%,6.50%,22.20,-,-,-,-,-,-,-,-,-,-,-
2018-11-13,17:11:07 ,22.23,1.32%,"86,231",47.72K,-,-,-,-,-,-,-,-,-,-,-,-,2.30%,-3.40%,-16.26%,50.21,-,-,-,-,-,-,-,-,-,0.12,-,-31.25%,7.91%,21.94,-,-,-,-,-,-,-,-,-,-,-
2018-11-14,17:10:51 ,22.39,0.72%,"39,933",48.47K,-,-,-,-,-,-,-,-,-,-,-,-,3.11%,-2.36%,-15.52%,52.11,-,-,-,-,-,-,-,-,-,0.12,-,-30.76%,8.69%,22.23,-,-,-,-,-,-,-,-,-,-,-
2018-11-15,17:10:39 ,22.65,1.16%,"28,745",48.74K,-,-,-,-,-,-,-,-,-,-,-,-,4.19%,-0.90%,-14.40%,54.45,-,-,-,-,-,-,-,-,-,0.12,-,-29.95%,9.95%,22.39,-,-,-,-,-,-,-,-,-,-,-
2018-11-16,17:10:43 ,22.70,0.22%,"33,773",48.83K,-,-,-,-,-,-,-,-,-,-,-,-,4.16%,-0.39%,-14.08%,54.50,-,-,-,-,-,-,-,-,-,0.12,-,-29.80%,10.19%,22.65,-,-,-,-,-,-,-,-,-,-,-
2018-11-19,17:10:38 ,22.72,0.09%,"21,767",48.85K,-,-,-,-,-,-,-,-,-,-,-,-,3.99%,-0.02%,-13.89%,55.48,-,-,-,-,-,-,-,-,-,0.12,-,-29.74%,10.29%,22.70,-,-,-,-,-,-,-,-,-,-,-
2018-11-20,17:10:39 ,22.30,-1.85%,"23,033",48.44K,-,-,-,-,-,-,-,-,-,-,-,-,1.76%,-1.62%,-15.39%,49.43,-,-,-,-,-,-,-,-,-,0.12,-,-31.03%,8.25%,22.72,-,-,-,-,-,-,-,-,-,-,-
2018-11-21,17:10:53 ,22.52,0.99%,"20,456",48.30K,-,-,-,-,-,-,-,-,-,-,-,-,2.55%,-0.39%,-14.43%,52.31,-,-,-,-,-,-,-,-,-,0.12,-,-30.35%,9.32%,22.30,-,-,-,-,-,-,-,-,-,-,-
2018-11-23,17:12:55 ,22.60,0.36%,"1,005",48.17K,-,-,-,-,-,-,-,-,-,-,-,-,2.58%,0.22%,-14.01%,52.89,-,-,-,-,-,-,-,-,-,0.12,-,-30.11%,9.71%,22.52,-,-,-,-,-,-,-,-,-,-,-
2018-11-26,17:11:00 ,22.57,-0.13%,"32,080",47.26K,-,-,-,-,-,-,-,-,-,-,-,-,2.14%,0.37%,-14.02%,53.05,-,-,-,-,-,-,-,-,-,0.12,-,-30.20%,9.56%,22.60,-,-,-,-,-,-,-,-,-,-,-
2018-11-27,17:10:15 ,22.82,1.11%,"16,991",47.17K,-,-,-,-,-,-,-,-,-,-,-,-,2.93%,1.76%,-12.95%,56.92,-,-,-,-,-,-,-,-,-,0.12,-,-29.43%,10.78%,22.57,-,-,-,-,-,-,-,-,-,-,-
2018-11-28,17:09:35 ,23.18,1.58%,"39,409",47.12K,-,-,-,-,-,-,-,-,-,-,-,-,4.17%,3.57%,-11.46%,61.86,-,-,-,-,-,-,-,-,-,0.12,-,-28.31%,12.52%,22.82,-,-,-,-,-,-,-,-,-,-,-
2018-11-29,17:10:24 ,23.41,0.99%,"55,133",47.29K,-,-,-,-,-,-,-,-,-,-,-,-,4.73%,4.76%,-10.47%,64.12,-,-,-,-,-,-,-,-,-,0.12,-,-27.60%,13.64%,23.18,-,-,-,-,-,-,-,-,-,-,-
2018-11-30,17:10:24 ,23.33,-0.34%,"26,587",46.99K,-,-,-,-,-,-,-,-,-,-,-,-,3.91%,4.57%,-10.67%,63.20,-,-,-,-,-,-,-,-,-,0.12,-,-27.85%,13.25%,23.41,-,-,-,-,-,-,-,-,-,-,-
2018-12-03,17:12:12 ,23.49,0.69%,"50,473",46.59K,-,-,-,-,-,-,-,-,-,-,-,-,4.35%,5.45%,-9.94%,66.24,-,-,-,-,-,-,-,-,-,0.03,-,-27.35%,14.03%,23.33,-,-,-,-,-,-,-,-,-,-,-
2018-12-04,17:11:06 ,23.21,-1.19%,"39,742",47.08K,-,-,-,-,-,-,-,-,-,-,-,-,2.76%,4.29%,-10.91%,62.58,-,-,-,-,-,-,-,-,-,0.03,-,-28.22%,12.67%,23.49,-,-,-,-,-,-,-,-,-,-,-
2018-12-06,17:10:25 ,22.97,-1.03%,"89,725",46.97K,-,-,-,-,-,-,-,-,-,-,-,-,1.45%,3.28%,-11.73%,58.11,-,-,-,-,-,-,-,-,-,0.03,-,-28.96%,11.50%,23.21,-,-,-,-,-,-,-,-,-,-,-
