date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:05:48 ,13.17,0.23%,"179,144",130.66K,-,-,-,-,-,-,-,-,-,-,-,-,-3.26%,-5.89%,-7.48%,17.72,-,-,-,-,-,-,-,-,-,0.02,-,-12.08%,0.61%,13.14,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-17,19:58:50 ,13.19,0.15%,"1,017,283",130.66K,-,-,-,-,-,-,-,-,-,-,-,-,-2.83%,-5.62%,-7.29%,19.25,-,-,-,-,-,-,-,-,-,0.02,-,-11.95%,0.76%,13.17,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-18,20:37:20 ,13.19,0.00%,"170,210",145.13K,-,-,-,-,-,-,-,-,-,-,-,-,-2.55%,-5.49%,-7.23%,19.59,-,-,-,-,-,-,-,-,-,0.02,-,-11.95%,0.76%,13.19,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-19,20:45:42 ,13.37,1.36%,"1,390,769",145.65K,-,-,-,-,-,-,-,-,-,-,-,-,-0.97%,-4.07%,-5.91%,38.21,-,-,-,-,-,-,-,-,-,0.02,-,-10.75%,2.14%,13.19,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-22,17:58:39 ,13.32,-0.37%,"532,259",166.22K,-,-,-,-,-,-,-,-,-,-,-,-,-1.16%,-4.33%,-6.21%,34.91,-,-,-,-,-,-,-,-,-,0.02,-,-11.08%,1.76%,13.37,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-23,17:59:19 ,13.35,0.23%,"254,690",173.68K,-,-,-,-,-,-,-,-,-,-,-,-,-0.75%,-4.00%,-5.94%,36.95,-,-,-,-,-,-,-,-,-,0.02,-,-10.88%,1.99%,13.32,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-24,17:58:53 ,13.38,0.22%,"214,592",176.61K,-,-,-,-,-,-,-,-,-,-,-,-,-0.35%,-3.67%,-5.68%,38.68,-,-,-,-,-,-,-,-,-,0.02,-,-10.68%,2.22%,13.35,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-25,17:58:49 ,13.35,-0.22%,"176,017",179.24K,-,-,-,-,-,-,-,-,-,-,-,-,-0.42%,-3.78%,-5.85%,36.39,-,-,-,-,-,-,-,-,-,0.02,-,-10.88%,1.99%,13.38,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-26,17:57:42 ,13.29,-0.45%,"131,293",181.39K,-,-,-,-,-,-,-,-,-,-,-,-,-0.71%,-4.10%,-6.22%,33.12,-,-,-,-,-,-,-,-,-,0.02,-,-11.28%,1.53%,13.35,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-29,17:57:48 ,13.36,0.53%,"260,262",182.41K,-,-,-,-,-,-,-,-,-,-,-,-,0.02%,-3.47%,-5.68%,39.26,-,-,-,-,-,-,-,-,-,0.05,-,-10.81%,2.06%,13.29,-,-,-,-,-,-,-,-,-,-,3.00
