date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:03:48 ,9.90,1.23%,"636,686",498.60K,872.29M,14.30M,175.20M,1.38,58.24,46.48,11.65,80.03,4.98,-,-,1.47,-2.30%,-2.96%,2.48%,43.96,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.11M,86.39M,4.59%,7.96,11.03,-6.87%,19.85%,9.78,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.19%,0.72,7.27%,421,1.90
2018-10-17,19:56:51 ,9.86,-0.40%,"298,244",498.60K,868.76M,14.30M,175.20M,1.38,58.00,46.29,11.60,79.70,4.96,-,-,1.47,-2.47%,-3.28%,2.07%,42.94,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.11M,86.39M,4.59%,7.96,11.03,-7.24%,19.37%,9.90,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.19%,0.72,7.30%,421,1.90
2018-10-18,20:35:22 ,9.80,-0.61%,"449,272",496.67K,863.48M,14.30M,175.20M,1.37,57.65,46.01,11.53,79.22,4.93,-,-,1.47,-2.89%,-3.81%,1.47%,41.30,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.11M,86.39M,4.59%,7.99,11.03,-7.81%,18.64%,9.86,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.19%,0.72,7.35%,421,1.90
2018-10-19,20:43:42 ,9.83,0.31%,"479,843",498.28K,866.12M,14.30M,175.20M,1.37,57.82,46.15,11.56,79.46,4.94,-,-,1.47,-2.33%,-3.45%,1.80%,42.55,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.11M,86.39M,4.59%,7.97,11.03,-7.53%,19.01%,9.80,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.19%,0.72,7.32%,421,1.90
2018-10-22,17:56:38 ,9.74,-0.92%,"451,166",500.01K,851.18M,14.30M,175.20M,1.36,57.29,45.73,11.46,78.09,4.86,-,-,1.47,-2.97%,-4.28%,0.88%,39.93,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,87.39M,86.39M,4.59%,7.94,10.94,-8.37%,17.92%,9.83,0.17,18.40%,-85.10%,0.40%,0.00%,86.70%,0.06%,0.72,7.39%,421,2.00
2018-10-23,17:57:18 ,9.75,0.10%,"386,294",502.26K,852.05M,14.30M,175.20M,1.36,57.35,45.77,11.47,78.17,4.86,-,-,1.47,-2.59%,-4.12%,1.00%,40.31,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,87.39M,86.39M,4.59%,7.90,10.94,-8.28%,18.04%,9.74,0.17,18.40%,-85.10%,0.40%,0.00%,86.70%,0.06%,0.72,7.38%,421,2.00
2018-10-24,17:56:50 ,9.82,0.72%,"410,052",503.43K,858.17M,14.30M,175.20M,1.37,57.76,46.10,11.55,78.73,4.90,-,-,1.47,-1.59%,-3.40%,1.74%,43.45,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,87.39M,86.39M,4.59%,7.88,10.94,-7.62%,18.89%,9.75,0.17,18.40%,-85.10%,0.40%,0.00%,86.70%,0.06%,0.72,7.33%,421,2.00
2018-10-25,17:56:47 ,10.00,1.83%,"580,883",502.44K,873.90M,14.30M,175.20M,1.40,58.82,46.95,11.76,80.17,4.99,-,-,1.47,0.41%,-1.58%,3.61%,50.44,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,87.39M,86.39M,4.59%,7.90,10.94,-5.93%,21.07%,9.82,0.17,18.40%,-85.10%,0.40%,0.00%,86.70%,0.06%,0.72,7.20%,421,2.00
2018-10-26,17:55:41 ,9.88,-1.20%,"769,262",507.77K,863.41M,14.30M,175.20M,1.38,58.12,46.38,11.62,79.21,4.93,-,-,1.47,-0.63%,-2.74%,2.35%,46.41,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,87.39M,86.39M,4.59%,7.82,10.94,-7.06%,19.61%,10.00,0.17,18.40%,-85.10%,0.40%,0.00%,86.70%,0.06%,0.72,7.29%,421,2.00
2018-10-29,17:55:48 ,10.03,1.52%,"309,168",515.75K,889.86M,14.30M,175.20M,1.40,59.00,47.09,11.80,81.64,5.08,-,-,1.47,1.21%,-1.20%,3.89%,51.94,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.72M,86.39M,4.93%,8.26,10.94,-5.64%,21.43%,9.88,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.05%,0.72,7.18%,421,2.00
2018-10-30,17:56:16 ,10.11,0.80%,"402,245",514.26K,896.96M,14.30M,175.20M,1.41,59.47,47.46,11.89,82.29,5.12,-,-,1.47,2.17%,-0.36%,4.69%,54.30,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.72M,86.39M,4.93%,8.28,10.94,-4.89%,22.40%,10.03,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.05%,0.72,7.12%,421,2.00
2018-10-31,17:56:09 ,9.91,-1.98%,"867,078",514.63K,879.22M,14.30M,175.20M,1.39,58.29,46.53,11.66,80.66,5.02,-,-,1.47,0.25%,-2.30%,2.59%,47.55,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.72M,86.39M,4.93%,8.27,10.94,-6.77%,19.98%,10.11,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.05%,0.72,7.27%,421,2.00
2018-11-01,17:56:40 ,9.72,-1.92%,"1,001,819",518.83K,862.36M,14.30M,175.20M,1.36,57.18,45.63,11.44,79.12,4.92,-,-,1.47,-1.51%,-4.10%,0.60%,42.02,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.72M,86.39M,4.93%,8.21,10.94,-8.56%,17.68%,9.91,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.05%,0.72,7.41%,421,2.00
2018-11-02,23:20:08 ,9.67,-0.51%,"1,034,328",528.46K,857.92M,14.30M,175.20M,1.35,56.88,45.40,11.38,78.71,4.90,-,-,1.47,-2.00%,-4.48%,0.06%,40.71,1.00%,2.30%,3.20%,56.50%,26.40%,8.20%,88.72M,86.39M,4.93%,8.06,10.94,-9.03%,17.07%,9.72,0.17,18.40%,-85.10%,0.40%,0.00%,86.80%,0.05%,0.72,7.45%,421,2.00
2018-11-05,16:56:17 ,9.50,-1.76%,"959,152",535.68K,837.05M,14.30M,175.20M,1.32,55.88,44.60,11.18,110.14,4.78,-,-,1.53,-3.66%,-6.05%,-1.71%,36.66,1.20%,2.90%,3.20%,56.50%,28.10%,10.30%,88.11M,86.39M,4.93%,7.95,10.94,-10.63%,15.01%,9.67,0.17,21.70%,257.50%,0.40%,0.00%,86.60%,-0.16%,0.72,7.58%,421,1.90
2018-11-06,16:55:00 ,9.63,1.37%,"779,845",540.34K,848.50M,14.30M,175.20M,1.34,56.65,45.21,11.33,111.64,4.84,-,-,1.53,-2.04%,-4.61%,-0.37%,41.43,1.20%,2.90%,3.20%,56.50%,28.10%,10.30%,88.11M,86.39M,4.93%,7.88,10.94,-9.41%,16.59%,9.50,0.17,21.70%,257.50%,0.40%,0.00%,86.60%,-0.16%,0.72,7.48%,421,1.90
2018-11-07,16:59:12 ,9.94,3.22%,"503,532",546.92K,875.81M,14.30M,175.20M,1.39,58.47,46.67,11.69,115.24,5.00,-,-,1.53,1.34%,-1.41%,2.84%,51.52,1.20%,2.90%,3.20%,56.50%,28.10%,10.30%,88.11M,86.39M,4.93%,7.79,10.94,-6.49%,20.34%,9.63,0.17,21.70%,257.50%,0.40%,-2.21%,86.60%,-0.16%,0.72,7.24%,421,1.90
2018-11-08,16:54:51 ,9.99,0.50%,"501,118",545.91K,880.22M,14.30M,175.20M,1.39,58.76,46.90,11.75,115.82,5.02,-,-,1.53,1.85%,-0.84%,3.34%,52.96,1.20%,2.90%,3.20%,56.50%,28.10%,10.30%,88.11M,86.39M,4.93%,7.80,10.94,-6.02%,20.94%,9.94,0.17,21.70%,257.50%,0.40%,-2.21%,86.60%,-0.16%,0.72,7.21%,421,1.90
2018-11-09,17:43:45 ,9.99,0.00%,"403,537",548.59K,880.22M,14.30M,175.20M,1.39,58.76,46.90,11.75,115.82,5.02,-,-,1.53,1.68%,-0.77%,3.32%,52.61,1.20%,2.90%,3.20%,56.50%,28.10%,10.30%,88.11M,86.39M,4.93%,7.76,10.94,-6.02%,20.94%,9.99,0.17,21.70%,257.50%,0.40%,-2.21%,86.60%,-0.16%,0.72,7.21%,421,1.90
2018-11-12,19:36:24 ,10.11,1.20%,"417,129",547.97K,898.98M,18.00M,183.90M,1.41,48.37,45.95,9.67,118.29,4.89,-,-,1.53,2.72%,0.47%,4.53%,56.26,1.20%,2.90%,3.20%,56.40%,26.80%,9.80%,88.92M,88.34M,3.50%,5.65,10.72,-4.89%,22.40%,9.99,0.21,21.70%,257.50%,0.40%,-2.19%,85.10%,0.28%,0.72,7.12%,421,2.10
2018-11-13,16:55:32 ,10.07,-0.40%,"487,550",549.31K,895.42M,18.00M,183.90M,1.40,48.18,45.77,9.64,117.82,4.87,-,-,1.53,2.14%,0.12%,4.07%,54.06,1.20%,2.90%,3.20%,56.40%,26.80%,9.80%,88.92M,88.34M,3.50%,5.63,10.72,-5.27%,21.91%,10.11,0.21,21.70%,257.50%,0.40%,-2.19%,85.10%,0.28%,0.72,7.15%,421,2.10
2018-11-14,16:55:24 ,9.82,-2.48%,"551,294",550.25K,873.19M,18.00M,183.90M,1.37,46.99,44.64,9.40,114.89,4.75,-,-,1.53,-0.48%,-2.32%,1.43%,46.20,1.20%,2.90%,3.20%,56.40%,26.80%,9.80%,88.92M,88.34M,3.50%,5.62,10.72,-7.62%,18.89%,10.07,0.21,21.70%,257.50%,0.40%,-2.19%,85.10%,0.28%,0.72,7.33%,421,2.10
