date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:10:31 ,57.52,1.88%,"9,834,554",880.30K,-,-,-,-,-,-,-,-,-,-,-,-,-2.97%,-3.36%,-7.56%,40.35,-,-,-,-,-,-,-,-,-,0.21,-,-15.32%,3.12%,56.46,-,-,-,-,-,-,-,1.57,2.73%,-,-
2018-10-17,22:04:19 ,57.08,-0.76%,"1,081,232",880.30K,-,-,-,-,-,-,-,-,-,-,-,-,-3.52%,-4.00%,-8.23%,37.27,-,-,-,-,-,-,-,-,-,0.21,-,-15.97%,2.33%,57.52,-,-,-,-,-,-,-,1.57,2.75%,-,-
2018-10-18,22:41:07 ,56.16,-1.61%,"700,638",884.08K,-,-,-,-,-,-,-,-,-,-,-,-,-4.82%,-5.42%,-9.66%,31.73,-,-,-,-,-,-,-,-,-,0.21,-,-17.33%,0.68%,57.08,-,-,-,-,-,-,-,1.57,2.80%,-,-
2018-10-19,22:48:20 ,56.41,0.45%,"764,261",888.22K,-,-,-,-,-,-,-,-,-,-,-,-,-4.02%,-4.84%,-9.19%,33.96,-,-,-,-,-,-,-,-,-,0.21,-,-16.96%,1.13%,56.16,-,-,-,-,-,-,-,1.57,2.78%,-,-
2018-10-22,20:08:30 ,56.30,-0.20%,"917,533",890.82K,-,-,-,-,-,-,-,-,-,-,-,-,-3.84%,-4.88%,-9.31%,33.78,-,-,-,-,-,-,-,-,-,0.21,-,-17.12%,0.93%,56.41,-,-,-,-,-,-,-,1.56,2.77%,-,-
2018-10-23,20:10:18 ,55.69,-1.08%,"806,927",898.27K,-,-,-,-,-,-,-,-,-,-,-,-,-4.54%,-5.81%,-10.23%,29.91,-,-,-,-,-,-,-,-,-,0.21,-,-18.02%,-0.16%,56.30,-,-,-,-,-,-,-,1.56,2.80%,-,-
2018-10-24,20:08:28 ,54.21,-2.66%,"982,999",904.86K,-,-,-,-,-,-,-,-,-,-,-,-,-6.67%,-8.20%,-12.55%,22.90,-,-,-,-,-,-,-,-,-,0.21,-,-20.20%,-1.35%,55.69,-,-,-,-,-,-,-,1.56,2.88%,-,-
2018-10-25,20:09:25 ,54.75,1.00%,"810,072",914.25K,-,-,-,-,-,-,-,-,-,-,-,-,-5.20%,-7.12%,-11.60%,28.63,-,-,-,-,-,-,-,-,-,0.21,-,-19.40%,1.15%,54.21,-,-,-,-,-,-,-,1.56,2.85%,-,-
2018-10-26,20:08:03 ,54.43,-0.58%,"2,711,150",918.97K,-,-,-,-,-,-,-,-,-,-,-,-,-5.26%,-7.55%,-12.04%,27.00,-,-,-,-,-,-,-,-,-,0.20,-,-19.87%,0.55%,54.75,-,-,-,-,-,-,-,1.56,2.87%,-,-
2018-10-29,20:02:28 ,54.02,-0.75%,"788,692",955.48K,-,-,-,-,-,-,-,-,-,-,-,-,-5.49%,-8.11%,-12.63%,25.92,-,-,-,-,-,-,-,-,-,2.02,-,-20.48%,0.63%,54.43,-,-,-,-,-,-,-,1.51,2.80%,-,-
