date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:07:22 ,19.60,2.24%,"159,097",172.62K,385.92M,14.60M,19.70M,0.86,19.62,9.73,-,8.91,19.59,-,-,0.00,0.92%,1.45%,4.99%,53.39,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.69M,14.26M,7.07%,5.84,23.40,-9.84%,23.27%,19.17,1.00,176.90%,-20.10%,2.70%,-,91.60%,-0.20%,1.40,7.14%,-,1.60
2018-10-17,20:00:19 ,19.45,-0.77%,"121,420",172.62K,382.97M,14.60M,19.70M,0.85,19.47,9.65,-,8.84,19.44,-,-,0.00,0.06%,0.61%,4.17%,51.36,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.69M,14.26M,7.07%,5.84,23.40,-10.53%,22.33%,19.60,1.00,176.90%,-20.10%,2.70%,-,91.60%,-0.20%,1.40,7.20%,-,1.60
2018-10-18,20:38:49 ,19.33,-0.62%,"149,600",171.52K,380.61M,14.60M,19.70M,0.85,19.35,9.59,-,8.79,19.32,-,-,0.00,-0.62%,-0.06%,3.52%,49.24,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.69M,14.26M,7.07%,5.88,23.40,-11.09%,21.57%,19.45,1.00,176.90%,-20.10%,2.70%,-,91.60%,-0.20%,1.40,7.24%,-,1.60
2018-10-19,20:47:12 ,19.26,-0.36%,"182,191",169.94K,379.23M,14.60M,19.70M,0.84,19.28,9.56,-,8.76,19.25,-,-,0.00,-0.98%,-0.46%,3.13%,48.34,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.69M,14.26M,7.07%,5.93,23.40,-11.41%,21.13%,19.33,1.00,176.90%,-20.10%,2.70%,-,91.60%,-0.20%,1.40,7.27%,-,1.60
2018-10-22,18:00:11 ,19.72,2.39%,"285,311",170.76K,383.16M,14.60M,19.70M,0.86,19.74,9.83,-,8.85,19.45,-,-,0.00,1.43%,1.88%,5.57%,56.17,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.43M,14.26M,7.07%,5.90,23.40,-9.29%,24.03%,19.26,1.00,176.90%,-20.10%,2.70%,-,91.80%,0.02%,1.40,7.10%,-,1.60
2018-10-23,18:00:51 ,19.81,0.46%,"274,307",172.77K,384.91M,14.60M,19.70M,0.87,19.83,9.87,-,8.89,19.54,-,-,0.00,1.71%,2.25%,6.01%,57.38,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.43M,14.26M,7.07%,5.83,23.40,-8.84%,24.59%,19.72,1.00,176.90%,-20.10%,2.70%,-,91.80%,0.02%,1.40,7.07%,-,1.60
2018-10-24,18:00:29 ,19.73,-0.40%,"212,986",174.33K,383.35M,14.60M,19.70M,0.86,19.75,9.83,-,8.85,19.46,-,-,0.00,1.11%,1.71%,5.56%,54.90,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.43M,14.26M,7.07%,5.78,23.40,-8.57%,24.09%,19.81,1.00,176.90%,-20.10%,2.70%,-,91.80%,0.02%,1.40,7.10%,-,1.60
2018-10-25,18:00:26 ,19.91,0.91%,"171,030",175.40K,386.85M,14.60M,19.70M,0.87,19.93,9.92,-,8.93,19.64,-,-,0.00,1.79%,2.53%,6.49%,56.77,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.43M,14.26M,7.07%,5.75,23.40,-7.65%,25.22%,19.73,1.00,176.90%,-20.10%,2.70%,-,91.80%,0.02%,1.40,7.03%,-,1.60
2018-10-26,17:59:14 ,19.48,-2.16%,"245,746",176.30K,378.50M,14.60M,19.70M,0.85,19.50,9.71,-,8.74,19.21,-,-,0.00,-0.57%,0.20%,4.15%,48.18,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.43M,14.26M,7.07%,5.72,23.40,-7.55%,22.52%,19.91,1.00,176.90%,-20.10%,2.70%,-,91.80%,0.02%,1.40,7.19%,-,1.60
2018-10-29,17:59:19 ,19.69,1.08%,"183,344",178.30K,389.67M,14.60M,19.70M,0.86,19.71,9.81,-,9.00,19.78,-,-,0.00,0.45%,1.21%,5.26%,51.50,3.80%,5.10%,0.70%,70.00%,22.80%,74.10%,19.79M,14.26M,7.39%,5.91,23.40,-6.33%,23.84%,19.48,1.00,176.90%,-20.10%,2.70%,-,92.20%,0.28%,1.40,7.11%,-,1.60
