date,title,source
Oct-17-18,These 3 Retailers Will Benefit From the Death of Sears,Motley Fool
Oct-17-18,UBS Commercial Mortgage Trust 2017-C4 -- Moody's affirms seven classes of UBSCM 2017-C4,Moody's
Oct-18-18,J.C. Penney Needs to Prove It's Not the Next Sears,Bloomberg
Oct-19-18,Lotto fever grips U.S. as Mega Millions jackpot hits $1 billion,Reuters
Oct-19-18,5 Retail Stocks That Could Follow in Sears Footsteps,InvestorPlace
Oct-19-18,UPS to hold Orlando event for seasonal hiring,American City Business Journals
Oct-25-18,Will Sears Holdings Survive 2018?,Motley Fool
Oct-25-18,"Detailed Research: Economic Perspectives on U.S. Physical Therapy, Verint, FutureFuel, Advanced Drainage, J. C. Penney, and DENTSPLY SIRONA  What Drives Growth in Today's Competitive Landscape",GlobeNewswire
Oct-26-18,5 Stocks to Buy at the Bottom,InvestorPlace
Oct-26-18,Wachovia Bank Commercial Mortgage Trust 2006-C27 -- Moody's affirms two classes of WBCMT 2006-C27,Moody's
Oct-26-18,J.C. Penney Is Paying Its New CEO Less Than Her Predecessor,Barrons.com
Oct-29-18,[$$] J.C. Penney Names Another Interim CFO,The Wall Street Journal
Oct-29-18,J.C. Penney names temporary CFO as it looks for permanent hire,American City Business Journals
Oct-29-18,J. C. Penney names Michael Fung as interim CFO,Reuters
Oct-29-18,JCPenney Announces Interim CFO Transition,GlobeNewswire
Oct-29-18,Wachovia Bank Commercial Mortgage Trust 2006-C27 -- Moody's affirms two classes of WBCMT 2006-C27,Moody's
Oct-30-18,"Richline Group Brings Lab-grown Diamond Brand, Grown with Love, to JCPenney",Business Wire
Nov-01-18,Kohl's opening its stores at 5 p.m. on Thanksgiving,MarketWatch
Nov-01-18,J.C. Penney to start Black Friday at 2 p.m. on Thanksgiving day,MarketWatch
Nov-01-18,"JCPenney Helps Shoppers ""Value the Present"" this Holiday Season",GlobeNewswire
Nov-02-18,GS Mortgage Securities Trust 2010-C2 -- Moody's upgrades two and affirms seven classes of GSMS 2010-C2,Moody's
Nov-02-18,JCPenney Black Friday Ad 2018: The 10 Best Deals,InvestorPlace
Nov-02-18,Wells Fargo Commercial Mortgage Trust 2015-P2 -- Moody's affirms eight classes of WFCM 2015-P2,Moody's
Nov-02-18,Analysts Estimate J.C. Penney (JCP) to Report a Decline in Earnings: What to Look Out for,Zacks
Nov-02-18,Kroger bringing Toys 'R' Us exclusives to stores for the holidays,MarketWatch
Nov-02-18,JPMDB Commercial Mortgage Securities Trust 2016-C4 -- Moody's affirms eight classes of JPMDB 2016-C4,Moody's
Nov-05-18,Why J.C. Penney Stock Lost 11% Last Month,Motley Fool
Nov-06-18,"J. C. Penney Company, Inc. to Report Third Quarter Financial Results on November 15, 2018 at 7:30 a.m. ET",GlobeNewswire
Nov-08-18,Analysts Estimate J.C. Penney (JCP) to Report a Decline in Earnings: What to Look Out for,Zacks
Nov-09-18,COMM 2005-LP5 Commercial Mortgage Pass-Through Certificates -- Moody's affirms six and downgrades two classes of COMM 2005-LP5,Moody's
Nov-09-18,Morgan Stanley Capital I Trust 2016-UBS12 -- Moody's affirms seven classes of MSC 2016-UBS12,Moody's
Nov-09-18,Morgan Stanley Bank of America Merrill Lynch Trust 2013-C11 -- Moody's affirms nine and downgrades four classes of MSBAM 2013-C11,Moody's
Nov-09-18,WFRBS Commercial Mortgage Trust 2012-C10 -- Moody's affirms ten and downgrades two classes of WFRBS 2012-C10,Moody's
Nov-09-18,Citigroup Commercial Mortgage Trust 2016-C3 -- Moody's affirms seven classes of CGCMT 2016-C3,Moody's
Nov-09-18,Implied Volatility Surging for J. C. Penney (JCP) Stock Options,Zacks
Nov-12-18,JCPenney Black Friday Hours 2018  Stores Will Open Very Early,InvestorPlace
Nov-12-18,"The Zacks Analyst Blog Highlights: Macy's, Amazon, J. C. Penney and Nordstrom",Zacks
Nov-13-18,5 Must-Watch Retailer Earnings Charts This Week,Zacks
Nov-13-18,Here's What Will Shape J. C. Penney's (JCP) Fate in Q3 Earnings,Zacks
Nov-13-18,5 Blue-Chip Stocks That Have Been Slammed Hard,InvestorPlace
Nov-13-18,Is Home Depot Stock a Buy Today?,InvestorPlace
Nov-14-18,MarketPulse: Retailers Under Pressure as Traders Check Out of Macy's,Investing.com
Nov-15-18,[$$] Inventory Reduction Push at J.C. Penney Thins Margins,The Wall Street Journal
Nov-15-18,US Market Indexes End 5-Day Selloff,GuruFocus.com
Nov-15-18,"Sears demise could hurt, not help, J.C. Penney",MarketWatch
Nov-15-18,J.C. Penney Is Winning the Race to Become the Next Sears,Motley Fool
Nov-15-18,US STOCKS-Wall Street climbs on hopes of easing trade tensions,Reuters
Nov-15-18,"Dow Ends Higher, Nasdaq Rises as Tech Stocks Rebound",TheStreet.com
Nov-15-18,J.C. Penney Isn't a Stock for Smart Investors,TheStreet.com
Nov-15-18,Stock Market News: Nasdaq Reverses Higher On Trade-Talk Optimism,Investor's Business Daily
Nov-15-18,US STOCKS-Wall Street rises on hopes of easing trade tensions,Reuters
Nov-15-18,Does Walmart's strong guidance bode well for the holidays...,CNBC Videos
Nov-15-18,"Home Depot, Amazon Follow Walmart Down Midday",Investing.com
Nov-15-18,How to Play Nvidia's Earnings Report & the State of Retail Stocks,Zacks
Nov-15-18,"US STOCKS-Retail gloom, Brexit worries keep Wall Street in check",Reuters
Nov-15-18,JC Penney Co Inc (JCP) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Nov-15-18,"JC Penney withdraws profit guidance, cuts sales outlook",Associated Press
Nov-16-18,CFCRE 2016-C6 Mortgage Trust -- Moody's affirms six classes of CFCRE 2016-C6 Mortgage Trust,Moody's
Nov-16-18,GS Mortgage Securities Trust 2012-GC6 -- Moody's affirms nine classes of GS Mortgage Securities Trust 2012-GC6,Moody's
Nov-16-18,Forget Amazon. These Retailers Are Set to Thrive This Holiday Season,Barrons.com
Nov-16-18,Argus: Don't Shop For JCPenney Stock,Benzinga
Nov-16-18,"Nordstrom Tumbles After Credit Card Charge, Q3 Same-Stores Sales Miss",TheStreet.com
Nov-16-18,"J.C. Penney (JCP) Q3 Loss Narrower Than Expected, Comps Down",Zacks
Nov-16-18,"Sears demise could hurt, not help, J.C. Penney",MarketWatch
Nov-16-18,Todays Research Reports on Stocks to Watch: J.C. Penney and Walmart,ACCESSWIRE
Nov-16-18,Black Friday Might Be a Make-or-Break Moment for These Retailers,Barrons.com
Nov-19-18,Wells Fargo Commercial Mortgage Trust 2017-C41 -- Moody's affirms seven classes of WFCM 2017-C41,Moody's
Nov-19-18,Sears is just one of five retailers that have no room for error this holiday season,CNBC
Nov-19-18,Top and Flop ETFs of Last Week,Zacks
Nov-19-18,Retail Stocks That Could Beat Amazon on Black Friday 2018,Barrons.com
Nov-19-18,Todays Research Reports on Stocks to Watch: J. C. Penney and Nordstrom,ACCESSWIRE
Nov-19-18,Black Friday 2018 Might Be a Make-or-Break Moment for These Retail Stocks,Barrons.com
Nov-20-18,J.C. Penney Is Looking More and More Like Sears,Motley Fool
Nov-20-18,"Lowe's earnings beat, but retailer cuts forecast as it moves to exit some businesses",CNBC
