date,title,source
Oct-19-18,"New Research: Key Drivers of Growth for Scholastic, American Tower Corporation (REIT), MercadoLibre, Jack Henry & Associates, lululemon athletica inc, and Credicorp  Factors of Influence, Major Initiatives and Sustained Production",GlobeNewswire
Oct-22-18,3 Good Companies to Weather Volatile US Stock Market,GuruFocus.com
Oct-22-18,Cramer's lightning round: I think Dropbox's stock is 'trying to bottom',CNBC
Oct-25-18,Jack Henry & Associates To Provide Webcast Of First Quarter Fiscal Year 2019 Earnings Call,PR Newswire
Oct-31-18,What Do Analysts Think About Jack Henry & Associates Incs (NASDAQ:JKHY) Future?,Simply Wall St.
Nov-06-18,Jack Henry: Fiscal 1Q Earnings Snapshot,Associated Press
Nov-06-18,"Jack Henry & Associates, Inc. Reports First Quarter Fiscal 2019 Results",PR Newswire
Nov-06-18,Symitar Credit Unions Expand Outsourcing Initiatives,PR Newswire
Nov-07-18,"Jack Henry & Associates Set to Join S&P 500; EQT, Equitrans Midstream, MasTec to Join S&P MidCap 400; Superior Energy Services, United Natural Foods to Join S&P SmallCap 600",PR Newswire
Nov-07-18,Edited Transcript of JKHY earnings conference call or presentation 7-Nov-18 1:45pm GMT,Thomson Reuters StreetEvents
Nov-07-18,Jack Henry & Associates Inc (JKHY) Q1 2019 Earnings Conference Call Transcript,Motley Fool
Nov-15-18,Jack Henry & Associates Announces Regular Quarterly Dividend,PR Newswire
Nov-19-18,Edited Transcript of JKHY earnings conference call or presentation 7-Nov-18 1:45pm GMT,Thomson Reuters StreetEvents
Nov-29-18,"New Research: Key Drivers of Growth for Upland Software, VICI Properties, Sage Therapeutics, Jack Henry & Associates, T2 Biosystems, and Tata Motors  Factors of Influence, Major Initiatives and Sustained Production",GlobeNewswire
Dec-11-18,"Camden National Bank Outsources its Core and Expands Jack Henry Relationship to Support Demands for Growth, Innovation",PR Newswire
Dec-12-18,Jack Henry & Associates Gives Financial Institutions a Voice in Customers' Homes,PR Newswire
Dec-20-18,"Is Jack Henry & Associates, Inc. (JKHY) A Good Stock To Buy?",Insider Monkey
Jan-03-19,Chesapeake Bank Strengthens Alternative Lending with ProfitStars,PR Newswire
