date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:12:57 ,38.93,0.96%,"102,119",95.02K,1.20B,46.60M,885.20M,1.69,25.26,14.65,-,4.49,1.36,-,-,0.29,-6.74%,-5.59%,1.07%,32.69,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.87M,29.08M,1.90%,5.82,43.40,-11.10%,21.01%,38.56,1.54,12.60%,16.90%,0.30%,-99.08%,-,0.03%,1.20,3.08%,760,2.50
2018-10-17,22:06:51 ,39.54,1.57%,"81,599",95.02K,1.22B,46.60M,885.20M,1.71,25.66,14.88,-,4.56,1.38,-,-,0.29,-4.86%,-4.06%,2.67%,38.90,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.87M,29.08M,1.90%,5.82,43.40,-9.71%,22.91%,38.93,1.54,12.60%,16.90%,0.30%,-99.08%,-,0.03%,1.20,3.03%,760,2.50
2018-10-18,22:43:34 ,39.35,-0.48%,"82,039",95.36K,1.21B,46.60M,885.20M,1.71,25.54,14.80,-,4.54,1.37,-,-,0.29,-5.06%,-4.49%,2.18%,37.13,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.87M,29.08M,1.90%,5.80,43.40,-10.14%,22.32%,39.54,1.54,12.60%,16.90%,0.30%,-99.08%,-,0.03%,1.20,3.05%,760,2.50
2018-10-19,22:50:47 ,38.71,-1.63%,"81,356",95.85K,1.19B,46.60M,885.20M,1.68,25.12,14.56,-,4.47,1.35,-,-,0.29,-6.29%,-6.00%,0.52%,33.80,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.87M,29.08M,1.90%,5.77,43.40,-11.61%,20.33%,39.35,1.54,12.60%,16.90%,0.30%,-99.08%,-,0.03%,1.20,3.10%,760,2.50
2018-10-22,20:11:09 ,38.49,-0.57%,"58,222",96.03K,1.17B,46.60M,885.20M,1.67,24.98,14.57,-,4.38,1.32,-,-,0.29,-6.35%,-6.48%,-0.06%,32.86,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.42M,29.08M,1.90%,5.76,43.20,-12.11%,19.65%,38.71,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.12%,760,2.50
2018-10-23,20:12:56 ,38.35,-0.36%,"57,622",95.41K,1.17B,46.60M,885.20M,1.66,24.89,14.52,-,4.36,1.32,-,-,0.29,-6.22%,-6.75%,-0.43%,31.74,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.42M,29.08M,1.90%,5.80,43.20,-11.78%,19.21%,38.49,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.13%,760,2.50
2018-10-24,20:11:03 ,37.59,-1.98%,"52,280",95.47K,1.14B,46.60M,885.20M,1.63,24.39,14.23,-,4.28,1.29,-,-,0.29,-7.60%,-8.51%,-2.42%,28.40,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.42M,29.08M,1.90%,5.80,43.20,-13.53%,16.85%,38.35,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.19%,760,2.50
2018-10-25,20:12:01 ,38.37,2.08%,"117,027",93.61K,1.17B,46.60M,885.20M,1.66,24.90,14.52,-,4.37,1.32,-,-,0.29,-5.15%,-6.46%,-0.42%,37.00,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.42M,29.08M,1.90%,5.91,43.20,-11.73%,19.27%,37.59,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.13%,760,2.50
2018-10-26,20:10:43 ,37.76,-1.59%,"101,517",93.73K,1.15B,46.60M,885.20M,1.64,24.50,14.29,-,4.30,1.30,-,-,0.29,-6.21%,-7.87%,-2.04%,33.99,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.42M,29.08M,1.90%,5.90,43.20,-13.14%,17.38%,38.37,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.18%,760,2.50
2018-10-29,20:04:53 ,37.91,0.40%,"100,272",92.94K,1.15B,46.60M,885.20M,1.64,24.60,14.35,-,4.31,1.30,-,-,0.29,-5.27%,-7.36%,-1.67%,35.25,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.41M,29.08M,1.85%,5.78,43.20,-12.79%,17.84%,37.76,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.17%,760,2.50
2018-10-30,20:05:52 ,39.03,2.95%,"63,238",93.63K,1.19B,46.60M,885.20M,1.69,25.33,14.77,-,4.44,1.34,-,-,0.29,-2.03%,-4.49%,1.21%,45.26,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.41M,29.08M,1.85%,5.73,43.20,-10.21%,21.32%,37.91,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.07%,760,2.50
2018-10-31,20:04:50 ,38.50,-1.36%,"81,400",93.65K,1.17B,46.60M,885.20M,1.67,24.98,14.57,-,4.38,1.32,-,-,0.29,-3.04%,-5.72%,-0.21%,42.05,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.41M,29.08M,1.85%,5.73,43.20,-11.43%,19.68%,39.03,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.12%,760,2.50
2018-11-01,20:07:45 ,37.61,-2.31%,"128,977",93.95K,1.14B,46.60M,885.20M,1.63,24.41,14.24,-,4.28,1.29,-,-,0.29,-4.84%,-7.78%,-2.55%,36.96,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.41M,29.08M,1.85%,5.71,43.20,-13.48%,16.91%,38.50,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.19%,760,2.50
2018-11-03,01:35:28 ,38.28,1.78%,"144,380",95.09K,1.16B,46.60M,885.20M,1.66,24.84,14.49,-,4.35,1.32,-,-,0.29,-2.58%,-5.98%,-0.85%,42.19,1.50%,6.20%,6.20%,-,7.40%,4.90%,30.41M,29.08M,1.85%,5.65,43.20,-11.94%,18.99%,37.61,1.54,12.60%,16.90%,0.30%,-99.09%,-,0.00%,1.20,3.13%,760,2.50
2018-11-05,19:08:03 ,38.31,0.08%,"97,155",95.62K,1.13B,46.60M,885.20M,1.66,24.86,14.50,-,4.21,1.27,-,-,0.29,-2.01%,-5.79%,-0.80%,42.67,1.50%,6.20%,6.20%,-,7.40%,4.90%,29.40M,29.08M,1.85%,5.62,43.20,-11.87%,19.09%,38.28,1.54,12.60%,16.90%,0.30%,-99.12%,-,0.83%,1.20,3.13%,760,2.50
2018-11-06,19:04:21 ,39.42,2.90%,"63,047",96.03K,1.16B,46.60M,885.20M,1.71,25.58,14.92,-,4.33,1.31,-,-,0.29,1.32%,-2.92%,2.06%,51.25,1.50%,6.20%,6.20%,-,7.40%,4.90%,29.40M,29.08M,1.85%,5.59,43.20,-9.32%,22.54%,38.31,1.54,12.60%,16.90%,0.30%,-99.12%,-,0.83%,1.20,3.04%,760,2.50
2018-11-07,19:15:02 ,39.60,0.46%,"90,401",95.41K,1.16B,46.60M,885.20M,1.72,25.70,14.99,-,4.35,1.32,-,-,0.29,2.18%,-2.40%,2.49%,52.21,1.50%,6.20%,6.20%,-,7.40%,4.90%,29.40M,29.08M,1.85%,5.63,43.20,-8.90%,23.10%,39.42,1.54,12.60%,16.90%,0.30%,-99.12%,-,0.83%,1.20,3.03%,760,2.50
2018-11-08,19:04:36 ,37.91,-4.27%,"349,276",94.61K,1.11B,46.60M,885.20M,1.64,24.60,14.35,-,4.17,1.26,-,-,0.29,-1.87%,-6.52%,-1.92%,42.38,1.50%,6.20%,6.20%,-,7.40%,4.90%,29.40M,29.08M,1.85%,5.68,43.20,-12.79%,17.84%,39.60,1.54,12.60%,16.90%,0.30%,-99.12%,-,0.83%,1.20,3.17%,760,2.50
