date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:13:41 ,105.99,3.61%,"154,681",99.27K,1.77B,88.30M,1.49B,2.32,20.36,14.01,1.44,7.51,1.19,2.70,3.60,0.00,-1.70%,-1.82%,-1.10%,48.46,3.60%,6.70%,9.00%,18.80%,10.20%,3.40%,16.72M,16.13M,3.19%,5.18,113.43,-11.42%,16.56%,102.30,5.21,16.60%,348.10%,1.00%,-16.51%,-,0.09%,2.20,2.08%,2800,2.80
2018-10-17,22:07:36 ,107.63,1.55%,"127,109",99.27K,1.80B,88.30M,1.49B,2.36,20.68,14.23,1.46,7.63,1.21,2.70,3.60,0.00,-0.04%,-0.20%,0.44%,52.67,3.60%,6.70%,9.00%,18.80%,10.20%,3.40%,16.72M,16.13M,3.19%,5.18,113.43,-10.05%,18.37%,105.99,5.21,16.60%,348.10%,1.00%,-16.51%,-,0.09%,2.20,2.04%,2800,2.80
2018-10-18,22:44:18 ,95.81,-10.98%,"476,642",100.04K,1.60B,88.30M,1.49B,2.10,18.41,12.67,1.30,6.79,1.08,2.70,3.60,0.00,-10.88%,-11.10%,-10.58%,31.27,3.60%,6.70%,9.00%,18.80%,10.20%,3.40%,16.72M,16.13M,3.19%,5.14,113.43,-19.93%,5.37%,107.63,5.21,16.60%,348.10%,1.00%,-16.51%,-,0.09%,2.20,2.30%,2800,2.80
2018-10-19,22:51:30 ,96.69,0.92%,"204,381",106.21K,1.62B,88.30M,1.49B,2.12,18.58,12.78,1.31,6.85,1.09,2.70,3.60,0.00,-9.38%,-10.02%,-9.71%,33.45,3.60%,6.70%,9.00%,18.80%,10.20%,3.40%,16.72M,16.13M,3.19%,4.85,113.43,-19.20%,6.33%,95.81,5.21,16.60%,348.10%,1.00%,-16.51%,-,0.09%,2.20,2.28%,2800,2.80
2018-10-22,20:11:57 ,98.50,1.87%,"87,387",107.23K,1.62B,90.10M,1.55B,2.16,18.45,13.23,1.30,6.88,1.05,2.70,3.60,0.00,-7.09%,-8.09%,-7.95%,38.02,2.50%,4.60%,9.00%,18.30%,8.30%,2.30%,16.48M,16.22M,3.17%,4.80,112.29,-17.68%,8.33%,96.69,5.34,16.60%,348.10%,1.00%,-16.71%,-,0.06%,2.20,2.23%,2800,2.80
2018-10-23,20:13:42 ,98.80,0.30%,"140,837",106.10K,1.63B,90.10M,1.55B,2.17,18.51,13.27,1.30,6.90,1.05,2.70,3.60,0.00,-6.29%,-7.60%,-7.62%,38.03,2.50%,4.60%,9.00%,18.30%,8.30%,2.30%,16.48M,16.22M,3.17%,4.85,112.29,-17.43%,8.66%,98.50,5.34,16.60%,348.10%,1.00%,-16.71%,-,0.06%,2.20,2.23%,2800,2.80
2018-10-24,20:11:50 ,94.70,-4.15%,"100,329",105.33K,1.56B,90.10M,1.55B,2.08,17.74,12.72,1.25,6.62,1.01,2.70,3.60,0.00,-9.71%,-11.25%,-11.41%,32.32,2.50%,4.60%,9.00%,18.30%,8.30%,2.30%,16.48M,16.22M,3.17%,4.89,112.29,-20.86%,4.15%,98.80,5.34,16.60%,348.10%,1.00%,-16.71%,-,0.06%,2.20,2.32%,2800,2.80
2018-10-25,20:12:47 ,96.98,2.41%,"170,781",99.91K,1.60B,90.10M,1.55B,2.13,18.16,13.03,1.28,6.78,1.03,2.70,3.60,0.00,-6.90%,-8.88%,-9.21%,37.76,2.50%,4.60%,9.00%,18.30%,8.30%,2.30%,16.48M,16.22M,3.17%,5.15,112.29,-18.95%,6.65%,94.70,5.34,16.60%,348.10%,1.00%,-16.71%,-,0.06%,2.20,2.27%,2800,2.80
2018-10-26,20:11:30 ,94.47,-2.59%,"121,336",99.19K,1.56B,90.10M,1.55B,2.07,17.69,12.69,1.25,6.60,1.00,2.70,3.60,0.00,-8.79%,-11.12%,-11.50%,34.50,2.50%,4.60%,9.00%,18.30%,8.30%,2.30%,16.48M,16.22M,3.17%,5.19,112.29,-21.05%,3.89%,96.98,5.34,16.60%,348.10%,1.00%,-16.71%,-,0.06%,2.20,2.33%,2800,2.80
2018-10-29,20:05:37 ,92.95,-1.61%,"97,165",98.64K,1.58B,90.10M,1.55B,2.02,17.41,12.42,1.23,8.64,1.02,2.50,3.50,0.00,-9.62%,-12.33%,-12.85%,32.91,3.80%,7.00%,9.00%,18.30%,9.50%,3.40%,16.99M,16.05M,2.96%,4.81,109.56,-22.32%,2.22%,94.47,5.34,18.10%,11.50%,1.00%,-16.29%,-,0.35%,2.20,2.37%,2800,2.50
