date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:09:26 ,10.20,0.00%,"32,414",62.40K,221.24M,-102.40M,496.70M,2.30,-,-,-,4.23,0.45,1.50,1.70,2.73,-12.51%,-20.47%,-30.14%,31.67,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,21.69M,20.11M,2.00%,6.43,14.16,-44.57%,24.39%,10.20,-5.08,34.00%,-27.30%,0.20%,-16.55%,48.10%,0.03%,-,-,3000,2.20
2018-10-17,20:02:18 ,9.61,-5.78%,"121,917",62.40K,208.44M,-102.40M,496.70M,2.16,-,-,-,3.99,0.42,1.50,1.70,2.73,-16.47%,-24.51%,-34.14%,27.30,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,21.69M,20.11M,2.00%,6.43,14.16,-47.77%,17.20%,10.20,-5.08,34.00%,-27.30%,0.20%,-16.55%,48.10%,0.03%,-,-,3000,2.20
2018-10-18,20:40:45 ,9.30,-3.23%,"200,857",63.28K,201.72M,-102.40M,496.70M,2.09,-,-,-,3.86,0.41,1.50,1.70,2.73,-17.80%,-26.36%,-36.21%,25.68,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,21.69M,20.11M,2.00%,6.35,14.16,-49.46%,13.41%,9.61,-5.08,34.00%,-27.30%,0.20%,-16.55%,48.10%,0.03%,-,-,3000,2.20
2018-10-19,20:49:10 ,9.28,-0.22%,"26,730",65.44K,201.28M,-102.40M,496.70M,2.09,-,-,-,3.85,0.41,1.50,1.70,2.73,-16.40%,-25.90%,-36.25%,23.77,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,21.69M,20.11M,2.00%,6.14,14.16,-49.57%,13.17%,9.30,-5.08,34.00%,-27.30%,0.20%,-16.55%,48.10%,0.03%,-,-,3000,2.20
2018-10-22,18:02:08 ,9.78,5.39%,"53,453",63.92K,198.44M,-102.40M,496.70M,2.20,-,-,-,3.79,0.40,1.50,1.70,2.73,-10.15%,-21.21%,-32.68%,33.52,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,20.29M,20.10M,2.00%,6.28,14.16,-46.85%,19.27%,9.28,-5.08,34.00%,-27.30%,0.20%,-17.50%,48.20%,0.34%,-,-,3000,2.20
2018-10-23,18:02:48 ,9.38,-4.09%,"40,341",63.44K,190.32M,-102.40M,496.70M,2.11,-,-,-,3.64,0.38,1.50,1.70,2.73,-12.35%,-23.79%,-35.33%,30.18,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,20.29M,20.10M,2.00%,6.33,14.16,-49.02%,14.39%,9.78,-5.08,34.00%,-27.30%,0.20%,-17.50%,48.20%,0.34%,-,-,3000,2.20
2018-10-24,18:02:29 ,8.65,-7.78%,"103,682",63.39K,175.51M,-102.40M,496.70M,1.95,-,-,-,3.36,0.35,1.50,1.70,2.73,-17.97%,-29.10%,-40.24%,25.35,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,20.29M,20.10M,2.00%,6.33,14.16,-52.99%,5.49%,9.38,-5.08,34.00%,-27.30%,0.20%,-17.50%,48.20%,0.34%,-,-,3000,2.20
2018-10-25,18:02:25 ,9.00,4.05%,"50,664",64.48K,182.61M,-102.40M,496.70M,2.03,-,-,-,3.49,0.37,1.50,1.70,2.73,-13.08%,-25.51%,-37.67%,31.10,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,20.29M,20.10M,2.00%,6.23,14.16,-51.09%,9.76%,8.65,-5.08,34.00%,-27.30%,0.20%,-17.50%,48.20%,0.34%,-,-,3000,2.20
2018-10-26,18:01:11 ,9.05,0.56%,"39,633",64.68K,183.62M,-102.40M,496.70M,2.04,-,-,-,3.51,0.37,1.50,1.70,2.73,-11.18%,-24.55%,-37.17%,31.52,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,20.29M,20.10M,2.00%,6.21,14.16,-50.82%,10.37%,9.00,-5.08,34.00%,-27.30%,0.20%,-17.50%,48.20%,0.34%,-,-,3000,2.20
2018-10-29,18:01:17 ,8.97,-0.88%,"101,079",64.81K,180.57M,-102.40M,496.70M,2.02,-,-,-,3.45,0.36,1.50,1.70,2.73,-10.92%,-24.71%,-37.54%,31.17,-19.80%,-85.30%,-25.60%,21.60%,-15.60%,-20.60%,20.13M,20.10M,2.11%,6.54,14.16,-51.25%,9.39%,9.05,-5.08,34.00%,-27.30%,0.20%,-17.61%,48.20%,0.34%,-,-,3000,2.20
