date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:32:01 ,11.08,2.03%,"408,550",527.93K,80.40B,5.29B,94.54B,1.33,11.84,11.42,0.43,9.55,0.85,-,-,0.06,-0.27%,-2.51%,-18.32%,48.91,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.26B,1.49B,0.06%,1.68,15.40,-37.93%,5.62%,10.86,0.94,19.00%,58.00%,68.80%,0.00%,1.30%,-0.01%,0.32,2.89%,102421,3.00
2018-10-17,19:26:29 ,10.96,-1.08%,"474,643",529.39K,79.53B,5.29B,94.54B,1.32,11.71,11.30,0.43,9.45,0.84,-,-,0.06,-1.39%,-3.41%,-19.07%,45.06,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.26B,1.49B,0.06%,1.68,15.40,-38.60%,4.48%,11.08,0.94,19.00%,58.00%,68.80%,0.00%,1.30%,-0.01%,0.32,2.92%,102421,3.00
2018-10-18,20:04:56 ,10.75,-1.92%,"746,444",532.51K,78.01B,5.29B,94.54B,1.30,11.49,11.08,0.42,9.27,0.83,-,-,0.06,-3.19%,-5.07%,-20.47%,39.08,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.26B,1.49B,0.06%,1.67,15.40,-39.78%,2.48%,10.96,0.94,19.00%,58.00%,68.80%,0.00%,1.30%,-0.01%,0.32,2.98%,102421,3.00
2018-10-19,20:13:20 ,11.06,2.88%,"693,849",539.41K,80.25B,5.29B,94.54B,1.33,11.82,11.40,0.43,9.54,0.85,-,-,0.06,-0.17%,-2.09%,-18.02%,48.03,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.26B,1.49B,0.06%,1.65,15.40,-38.04%,5.43%,10.75,0.94,19.00%,58.00%,68.80%,0.00%,1.30%,-0.01%,0.32,2.89%,102421,3.00
2018-10-22,17:25:40 ,11.38,2.89%,"556,646",544.20K,81.30B,5.25B,93.88B,1.38,12.25,11.73,0.45,9.73,0.87,-,-,0.06,2.89%,0.96%,-15.50%,56.96,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.14B,1.49B,0.06%,1.63,15.40,-36.25%,8.48%,11.06,0.93,19.00%,58.00%,68.80%,0.00%,1.30%,-0.22%,0.32,2.81%,102421,3.00
2018-10-23,17:26:20 ,11.18,-1.76%,"646,520",546.11K,79.87B,5.25B,93.88B,1.36,12.03,11.53,0.44,9.56,0.85,-,-,0.06,1.04%,-0.69%,-16.85%,50.91,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.14B,1.49B,0.06%,1.63,15.40,-37.37%,6.58%,11.38,0.93,19.00%,58.00%,68.80%,0.00%,1.30%,-0.22%,0.32,2.86%,102421,3.00
2018-10-24,17:25:25 ,10.78,-3.58%,"523,977",551.58K,77.01B,5.25B,93.88B,1.31,11.60,11.11,0.42,9.21,0.82,-,-,0.06,-2.51%,-4.09%,-19.69%,42.01,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.14B,1.49B,0.06%,1.61,15.40,-39.61%,2.76%,11.18,0.93,19.00%,58.00%,68.80%,0.00%,1.30%,-0.22%,0.32,2.97%,102421,3.00
2018-10-25,17:25:50 ,10.83,0.46%,"765,236",552.84K,77.37B,5.25B,93.88B,1.31,11.66,11.16,0.43,9.26,0.82,-,-,0.06,-1.81%,-3.42%,-19.17%,43.31,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.14B,1.49B,0.06%,1.61,15.40,-39.33%,3.24%,10.78,0.93,19.00%,58.00%,68.80%,0.00%,1.30%,-0.22%,0.32,2.95%,102421,3.00
2018-10-26,17:24:43 ,10.21,-5.72%,"918,752",559.11K,72.94B,5.25B,93.88B,1.24,10.99,10.53,0.40,8.73,0.78,-,-,0.06,-7.18%,-8.82%,-23.66%,33.54,1.30%,11.60%,7.50%,-,6.70%,5.60%,7.14B,1.49B,0.06%,1.59,15.40,-42.80%,-2.67%,10.83,0.93,19.00%,58.00%,68.80%,0.00%,1.30%,-0.22%,0.32,3.13%,102421,3.00
2018-10-29,17:24:47 ,9.95,-2.55%,"1,075,623",568.70K,84.00B,5.24B,93.73B,1.21,10.72,13.45,0.39,10.07,0.90,-,-,0.06,-9.05%,-10.88%,-25.45%,31.04,1.30%,11.60%,7.50%,-,6.70%,5.60%,8.44B,1.49B,0.06%,1.58,15.40,-44.26%,-1.78%,10.21,0.93,19.00%,58.00%,68.80%,0.00%,1.30%,-0.26%,0.32,3.22%,102421,3.00
