date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:16:34 ,5.01,-0.20%,"219,507",399.04K,526.30M,-64.50M,520.70M,-,-,4.51,-,89.20,1.01,0.20,0.20,-,-0.99%,-0.33%,4.00%,49.04,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,105.05M,60.47M,0.65%,0.98,5.00,-52.47%,368.22%,5.02,-0.89,50.10%,-230.50%,5.60%,36.72%,15.50%,-0.12%,-,-,331,3.00
2018-10-17,22:10:37 ,4.94,-1.40%,"277,885",399.04K,518.95M,-64.50M,520.70M,-,-,4.45,-,87.96,1.00,0.20,0.20,-,-2.47%,-1.96%,2.19%,45.80,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,105.05M,60.47M,0.65%,0.98,5.00,-53.13%,361.68%,5.01,-0.89,50.10%,-230.50%,5.60%,33.02%,15.50%,-0.12%,-,-,331,3.00
2018-10-18,22:47:15 ,5.01,1.42%,"295,912",398.82K,526.30M,-64.50M,520.70M,-,-,4.51,-,89.20,1.01,0.20,0.20,-,-1.18%,-0.72%,3.28%,48.20,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,105.05M,60.47M,0.65%,0.98,5.00,-52.47%,368.22%,4.94,-0.89,50.10%,-230.50%,5.60%,33.02%,15.50%,-0.12%,-,-,331,3.00
2018-10-19,22:54:22 ,5.00,-0.20%,"354,226",395.77K,525.25M,-64.50M,520.70M,-,-,4.50,-,89.03,1.01,0.20,0.20,-,-1.69%,-1.15%,2.72%,46.20,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,105.05M,60.47M,0.65%,0.99,5.00,-52.56%,367.29%,5.01,-0.89,50.10%,-230.50%,5.60%,33.02%,15.50%,-0.12%,-,-,331,3.00
2018-10-22,20:15:08 ,4.96,-0.80%,"285,193",395.03K,527.35M,-64.50M,520.70M,-,-,4.37,-,89.38,1.01,0.20,0.20,-,-2.19%,-2.16%,1.55%,45.00,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,106.32M,60.47M,0.65%,0.99,5.00,-52.94%,363.55%,5.00,-0.89,50.10%,-230.50%,5.60%,32.49%,6.20%,-59.77%,-,-,331,3.00
2018-10-23,20:16:51 ,4.67,-5.85%,"674,674",394.83K,496.51M,-64.50M,520.70M,-,-,4.11,-,84.15,0.95,0.20,0.20,-,-7.69%,-7.94%,-4.72%,36.06,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,106.32M,60.47M,0.65%,0.99,5.00,-55.69%,336.45%,4.96,-0.89,50.10%,-230.50%,5.60%,32.49%,6.20%,-59.77%,-,-,331,3.00
2018-10-24,20:14:56 ,4.23,-9.42%,"785,639",401.01K,449.73M,-64.50M,520.70M,-,-,3.73,-,76.23,0.86,0.20,0.20,-,-16.14%,-16.67%,-13.97%,27.13,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,106.32M,60.47M,0.65%,0.97,5.00,-59.87%,295.33%,4.67,-0.89,50.10%,-230.50%,5.60%,32.49%,6.20%,-59.77%,-,-,331,3.00
2018-10-25,20:15:55 ,4.30,1.65%,"561,061",408.52K,457.18M,-64.50M,520.70M,-,-,3.79,-,77.49,0.88,0.20,0.20,-,-14.19%,-15.21%,-12.77%,30.16,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,106.32M,60.47M,0.65%,0.96,5.00,-59.20%,301.87%,4.23,-0.89,50.10%,-230.50%,5.60%,32.49%,6.20%,-59.77%,-,-,331,3.00
2018-10-26,20:14:42 ,4.14,-3.72%,"453,425",414.63K,440.16M,-64.50M,520.70M,-,-,3.65,-,74.60,0.85,0.20,0.20,-,-16.88%,-18.42%,-16.22%,27.04,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,106.32M,60.47M,0.65%,0.94,5.00,-60.72%,286.92%,4.30,-0.89,50.10%,-230.50%,5.60%,32.49%,6.20%,-59.77%,-,-,331,3.00
2018-10-29,20:08:33 ,3.85,-7.00%,"463,468",416.76K,424.23M,-64.50M,520.70M,-,-,3.39,-,71.90,0.81,0.20,0.20,-,-22.15%,-23.92%,-22.25%,23.14,-4.30%,13.70%,2.00%,59.50%,19.60%,-12.40%,110.19M,60.46M,0.85%,1.23,5.00,-63.47%,259.81%,4.14,-0.89,50.10%,-230.50%,5.60%,28.84%,6.30%,-58.50%,-,-,331,3.00
