date,title,source
Oct-17-18,3 Stocks Trading Near 52-Week Lows to Buy Right Now,Motley Fool
Oct-19-18,LGI Homes Opens New Section in Highly Sought After North Austin Community,GlobeNewswire
Oct-25-18,"Consolidated Research: 2018 Summary Expectations for Kinsale Capital Group, Blue Bird, Key Energy Services, Enviva Partners, LP, LGI Homes, and One Liberty Properties  Fundamental Analysis, Key Performance Indications",GlobeNewswire
Oct-31-18,LGI Homes Expands Into Nevada With Affordable New Homes in Las Vegas,GlobeNewswire
Nov-05-18,"LGI Homes, Inc. Reports October 2018 Home Closings",GlobeNewswire
Nov-06-18,LGI Homes Inc (LGIH) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Nov-06-18,Is LGI Homes Incs (NASDAQ:LGIH) 25% Better Than Average?,Simply Wall St.
Nov-06-18,LGI Homes (LGIH) Tops Q3 Earnings and Revenue Estimates,Zacks
Nov-06-18,LGI Homes: 3Q Earnings Snapshot,Associated Press
Nov-06-18,"LGI Homes, Inc. Reports Third Quarter and YTD 2018 Results",GlobeNewswire
Nov-07-18,This Homebuilder Thinks It Can Deliver During a Housing Market Slowdown,Motley Fool
Nov-09-18,"LGI Homes, Inc. Announces $50 Million Stock Repurchase Program",GlobeNewswire
Nov-16-18,"Why PG&E, Sonos, and LGI Homes Jumped Today",Motley Fool
Nov-21-18,LGI Homes Is Now Selling in Premier Locations in the Deltona-Daytona Beach-Ormond Beach Metropolitan Area,GlobeNewswire
Nov-29-18,What Am I Missing With This Fast-Growing Housing Stock?,Motley Fool
Dec-04-18,"LGI Homes, Inc. Reports November 2018 Home Closings",GlobeNewswire
Dec-04-18,"Detailed Research: Economic Perspectives on NanoString Technologies, Tyson Foods, Welbilt, Immune Design, Turning Point Brands, and LGI Homes  What Drives Growth in Today's Competitive Landscape",GlobeNewswire
Dec-13-18,LGI Homes Opens Three New Communities in Greater Raleigh,GlobeNewswire
Dec-17-18,"LGI Homes Expands Presence in Tampa with New, Amenity-Rich Community",GlobeNewswire
Dec-18-18,LGI Homes Expands Presence in Greater Sacramento,GlobeNewswire
Dec-20-18,3 Stocks That Have Doubled and Still Have Room to Grow,Motley Fool
Dec-20-18,LGI Homes Opens Large-Scale Development in Houston Market,GlobeNewswire
Jan-03-19,"LGI Homes, Inc. Appoints Laura Miller to Board of Directors",GlobeNewswire
Jan-04-19,"LGI Homes, Inc. Announces Record December, Fourth Quarter, and Year End 2018 Home Closings and 2018 Year End Earnings Conference Call Information",GlobeNewswire
Jan-04-19,See which builders had Houstons most-sold floor plans for new homes in 2018,American City Business Journals
Jan-04-19,Houston-area homebuilder expands board with addition of only female director,American City Business Journals
Jan-07-19,"LGI Homes, Inc.s (NASDAQ:LGIH) Most Important Factor To Consider",Simply Wall St.
Jan-14-19,This Executive Thinks the Housing Market Swoon Is Overblown,Motley Fool
Jan-15-19,3 Growth Stocks I'm Watching Closely in 2019,Motley Fool
Jan-17-19,7 Beaten-Up Housing Stocks Due for a Bounce Back,InvestorPlace
