date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:45:59 ,23.34,1.35%,"114,416",93.05K,647.69M,36.60M,167.10M,1.50,17.25,14.36,3.45,4.11,3.88,-,-,0.29,-3.74%,-3.95%,-3.10%,41.77,0.90%,10.20%,21.20%,-,80.60%,24.90%,27.75M,21.90M,2.92%,6.88,28.50,-13.70%,15.09%,23.03,1.35,12.90%,3.00%,15.40%,-0.34%,70.50%,-0.06%,0.48,2.06%,1394,1.80
2018-10-17,21:39:00 ,23.29,-0.21%,"47,730",93.05K,646.30M,36.60M,167.10M,1.50,17.21,14.33,3.44,4.10,3.87,-,-,0.29,-3.71%,-4.12%,-3.34%,41.51,0.90%,10.20%,21.20%,-,80.60%,24.90%,27.75M,21.90M,2.92%,6.88,28.50,-13.88%,14.84%,23.34,1.35,12.90%,3.00%,15.40%,-0.34%,70.50%,-0.06%,0.48,2.06%,1394,1.80
2018-10-18,22:16:27 ,23.17,-0.52%,"138,710",92.96K,642.97M,36.60M,167.10M,1.49,17.12,14.26,3.42,4.08,3.85,-,-,0.29,-3.91%,-4.57%,-3.86%,40.29,0.90%,10.20%,21.20%,-,80.60%,24.90%,27.75M,21.90M,2.92%,6.89,28.50,-14.33%,14.25%,23.29,1.35,12.90%,3.00%,15.40%,-0.34%,70.50%,-0.06%,0.48,2.07%,1394,1.80
2018-10-19,22:24:14 ,23.27,0.43%,"112,142",93.98K,645.74M,36.60M,167.10M,1.50,17.20,14.32,3.44,4.10,3.86,-,-,0.29,-3.08%,-4.09%,-3.47%,41.91,0.90%,10.20%,21.20%,-,80.60%,24.90%,27.75M,21.90M,2.92%,6.81,28.50,-13.96%,14.74%,23.17,1.35,12.90%,3.00%,15.40%,-0.34%,70.50%,-0.06%,0.48,2.06%,1394,1.80
2018-10-22,19:42:16 ,22.79,-2.06%,"53,536",94.56K,617.61M,36.60M,167.10M,1.47,16.84,14.40,3.37,3.92,3.70,-,-,0.29,-4.63%,-6.03%,-5.49%,37.29,0.90%,10.10%,21.20%,-,80.00%,24.60%,27.10M,21.90M,2.92%,6.77,28.50,-15.73%,12.38%,23.27,1.35,12.90%,3.00%,15.40%,-0.35%,70.20%,-0.58%,0.48,2.11%,1394,1.80
2018-10-23,19:43:44 ,23.27,2.11%,"203,755",92.45K,630.62M,36.60M,167.10M,1.50,17.20,14.70,3.44,4.00,3.77,-,-,0.29,-2.13%,-3.97%,-3.51%,44.31,0.90%,10.10%,21.20%,-,80.00%,24.60%,27.10M,21.90M,2.92%,6.93,28.50,-13.96%,14.74%,22.79,1.35,12.90%,3.00%,15.40%,-0.35%,70.20%,-0.58%,0.48,2.06%,1394,1.80
2018-10-24,19:42:31 ,22.74,-2.28%,"151,489",92.07K,616.25M,36.60M,167.10M,1.46,16.81,14.37,3.36,3.91,3.69,-,-,0.29,-3.98%,-6.13%,-5.72%,38.99,0.90%,10.10%,21.20%,-,80.00%,24.60%,27.10M,21.90M,2.92%,6.96,28.50,-15.92%,12.13%,23.27,1.35,12.90%,3.00%,15.40%,-0.35%,70.20%,-0.58%,0.48,2.11%,1394,1.80
2018-10-25,19:43:00 ,23.34,2.64%,"146,679",92.24K,632.51M,36.60M,167.10M,1.50,17.25,14.74,3.45,4.02,3.79,-,-,0.29,-1.08%,-3.57%,-3.24%,46.77,0.90%,10.10%,21.20%,-,80.00%,24.60%,27.10M,21.90M,2.92%,6.94,28.50,-13.70%,15.09%,22.74,1.35,12.90%,3.00%,15.40%,-0.35%,70.20%,-0.58%,0.48,2.06%,1394,1.80
2018-10-26,19:41:29 ,23.06,-1.20%,"62,389",92.23K,624.93M,36.60M,167.10M,1.48,17.04,14.57,3.41,3.97,3.74,-,-,0.29,-1.97%,-4.70%,-4.42%,44.20,0.90%,10.10%,21.20%,-,80.00%,24.60%,27.10M,21.90M,2.92%,6.94,28.50,-14.73%,13.71%,23.34,1.35,12.90%,3.00%,15.40%,-0.35%,70.20%,-0.58%,0.48,2.08%,1394,1.80
2018-10-29,19:38:03 ,23.36,1.30%,"41,333",91.67K,644.50M,41.40M,174.80M,1.50,15.29,14.60,3.06,4.09,3.69,-,-,0.29,-0.33%,-3.39%,-3.18%,47.84,0.90%,10.10%,21.20%,-,76.40%,23.50%,27.59M,21.95M,2.92%,6.99,28.75,-13.63%,15.19%,23.06,1.53,12.90%,3.00%,15.40%,-0.35%,69.90%,-0.57%,0.48,2.05%,1394,1.80
