date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:18:47 ,117.49,3.74%,"344,696",447.78K,5.70B,60.50M,943.70M,3.20,95.13,29.56,6.72,120.18,6.04,1.10,1.50,0.09,-2.39%,-4.44%,18.59%,42.90,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,48.49M,48.41M,2.04%,2.20,137.67,-10.68%,62.50%,113.25,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.80%,-,-,4500,2.00
2018-10-17,22:12:55 ,116.69,-0.68%,"268,396",447.78K,5.66B,60.50M,943.70M,3.17,94.49,29.36,6.68,119.37,6.00,1.10,1.50,0.09,-2.77%,-5.03%,17.56%,40.55,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,48.49M,48.41M,2.04%,2.20,137.67,-11.29%,61.40%,117.49,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.80%,-,-,4500,2.00
2018-10-18,22:49:29 ,116.29,-0.34%,"497,774",448.61K,5.64B,60.50M,943.70M,3.16,94.16,29.26,6.65,118.96,5.97,1.10,1.50,0.09,-2.95%,-5.28%,16.94%,39.63,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,48.49M,48.41M,2.04%,2.20,137.67,-11.59%,60.84%,116.69,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.80%,-,-,4500,2.00
2018-10-19,22:56:35 ,113.59,-2.32%,"304,859",451.76K,5.51B,60.50M,943.70M,3.09,91.98,28.58,6.50,116.19,5.84,1.10,1.50,0.09,-5.01%,-7.39%,14.03%,34.00,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,48.49M,48.41M,2.04%,2.18,137.67,-13.65%,57.11%,116.29,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.80%,-,-,4500,2.00
2018-10-22,20:17:32 ,114.75,1.02%,"243,100",451.93K,5.71B,60.50M,943.70M,3.12,92.91,28.88,6.57,120.44,6.05,1.10,1.50,0.09,-3.69%,-6.29%,15.00%,37.81,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,49.75M,48.41M,2.04%,2.18,137.67,-12.76%,58.71%,113.59,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.75%,-,-,4500,2.00
2018-10-23,20:19:14 ,113.91,-0.73%,"266,300",452.00K,5.67B,60.50M,943.70M,3.10,92.23,28.66,6.52,119.56,6.01,1.10,1.50,0.09,-3.99%,-6.85%,13.97%,36.30,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,49.75M,48.41M,2.04%,2.18,137.67,-13.40%,57.55%,114.75,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.75%,-,-,4500,2.00
2018-10-24,20:17:17 ,109.72,-3.68%,"384,117",451.80K,5.46B,60.50M,943.70M,2.98,88.84,27.61,6.28,115.16,5.78,1.10,1.50,0.09,-7.11%,-10.15%,9.60%,29.25,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,49.75M,48.41M,2.04%,2.18,137.67,-16.59%,51.76%,113.91,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.75%,-,-,4500,2.00
2018-10-25,20:18:15 ,114.50,4.36%,"633,628",447.38K,5.70B,60.50M,943.70M,3.11,92.71,28.81,6.55,120.18,6.04,1.10,1.50,0.09,-2.46%,-6.02%,14.22%,42.96,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,49.75M,48.41M,2.04%,2.20,137.67,-12.95%,58.37%,109.72,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.75%,-,-,4500,2.00
2018-10-26,20:17:06 ,114.50,0.00%,"657,811",450.41K,5.70B,60.50M,943.70M,3.11,92.71,28.81,6.55,120.18,6.04,1.10,1.50,0.09,-2.12%,-5.92%,14.03%,42.92,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,49.75M,48.41M,2.04%,2.19,137.67,-12.95%,58.37%,114.50,1.24,12.40%,-58.10%,0.30%,-,96.20%,-1.75%,-,-,4500,2.00
2018-10-29,20:10:47 ,111.24,-2.85%,"877,948",450.79K,5.41B,60.50M,943.70M,3.03,90.07,27.99,6.37,114.03,5.73,1.10,1.50,0.09,-4.52%,-8.48%,10.60%,37.41,-2.10%,-3.00%,5.30%,64.90%,8.80%,-5.90%,48.59M,48.41M,1.59%,1.71,137.67,-15.43%,53.86%,114.50,1.24,12.40%,-58.10%,0.30%,-,96.40%,-1.42%,-,-,4500,2.00
