date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:18:56 ,3.07,7.34%,"41,120",53.15K,157.61M,-27.30M,14.80M,4.95,-,-,-,9.91,10.65,0.80,0.80,0.44,-16.35%,-28.56%,-32.17%,36.55,-,-,-31.60%,-2.30%,-,-,51.34M,23.04M,6.20%,26.89,6.50,-72.37%,16.29%,2.86,-0.59,2647.60%,-195.90%,0.80%,-,24.20%,0.14%,-,-,65,2.00
2018-10-17,22:13:05 ,3.08,0.33%,"14,440",53.15K,158.13M,-27.30M,14.80M,4.97,-,-,-,9.95,10.68,0.80,0.80,0.44,-14.38%,-27.85%,-31.88%,37.23,-,-,-31.60%,-2.30%,-,-,51.34M,23.04M,6.20%,26.89,6.50,-72.28%,16.67%,3.07,-0.59,2647.60%,-195.90%,0.80%,-,24.20%,0.14%,-,-,65,2.00
2018-10-18,22:49:38 ,2.98,-3.25%,"10,429",52.73K,152.99M,-27.30M,14.80M,4.81,-,-,-,9.62,10.34,0.80,0.80,0.44,-15.20%,-29.56%,-34.02%,36.19,-,-,-31.60%,-2.30%,-,-,51.34M,23.04M,6.20%,27.10,6.50,-73.18%,12.88%,3.08,-0.59,2647.60%,-195.90%,0.80%,-,24.20%,0.14%,-,-,65,2.00
2018-10-19,22:56:44 ,2.77,-7.05%,"47,039",52.59K,142.21M,-27.30M,14.80M,4.47,-,-,-,8.94,9.61,0.80,0.80,0.44,-19.10%,-33.89%,-38.60%,32.07,-,-,-31.60%,-2.30%,-,-,51.34M,23.04M,6.20%,27.17,6.50,-75.07%,4.92%,2.98,-0.59,2647.60%,-195.90%,0.80%,-,24.20%,0.14%,-,-,65,2.00
2018-10-22,20:17:42 ,2.66,-3.97%,"33,194",52.58K,148.56M,-27.30M,14.80M,4.29,-,-,-,9.34,10.04,0.80,0.80,0.44,-21.46%,-35.85%,-40.93%,30.89,-,-,-31.60%,-2.30%,-,-,55.85M,27.60M,5.18%,27.18,7.67,-76.06%,0.76%,2.77,-0.59,2647.60%,-195.90%,0.30%,-,18.30%,0.17%,-,-,65,1.70
2018-10-23,20:19:24 ,2.66,0.00%,"28,163",52.32K,148.56M,-27.30M,14.80M,4.29,-,-,-,9.34,10.04,0.80,0.80,0.44,-19.82%,-35.23%,-40.83%,30.82,-,-,-31.60%,-2.30%,-,-,55.85M,27.60M,5.18%,27.31,7.67,-76.06%,1.92%,2.66,-0.59,2647.60%,-195.90%,0.30%,-,18.30%,0.17%,-,-,65,1.70
2018-10-24,20:17:26 ,2.82,6.02%,"36,260",51.80K,157.50M,-27.30M,14.80M,4.55,-,-,-,9.91,10.64,0.80,0.80,0.44,-13.30%,-30.67%,-37.18%,36.74,-,-,-31.60%,-2.30%,-,-,55.85M,27.60M,5.18%,27.59,7.67,-74.62%,11.90%,2.66,-0.59,2647.60%,-195.90%,0.30%,-,18.30%,0.17%,-,-,65,1.70
2018-10-25,20:18:25 ,2.85,1.06%,"32,398",50.95K,159.17M,-27.30M,14.80M,4.60,-,-,-,10.01,10.75,0.80,0.80,0.44,-10.55%,-29.30%,-36.43%,37.51,-,-,-31.60%,-2.30%,-,-,55.85M,27.60M,5.18%,28.05,7.67,-74.35%,13.10%,2.82,-0.59,2647.60%,-195.90%,0.30%,-,18.30%,0.17%,-,-,65,1.70
2018-10-26,20:17:16 ,2.94,3.16%,"54,657",50.99K,164.20M,-27.30M,14.80M,4.74,-,-,-,10.33,11.09,0.80,0.80,0.44,-5.92%,-26.48%,-34.33%,40.79,-,-,-31.60%,-2.30%,-,-,55.85M,27.60M,5.18%,28.03,7.67,-73.54%,16.67%,2.85,-0.59,2647.60%,-195.90%,0.30%,-,18.30%,0.17%,-,-,65,1.70
2018-10-29,20:10:55 ,2.91,-1.02%,"20,556",51.29K,146.40M,-27.30M,14.80M,4.69,-,-,-,9.21,9.89,0.80,0.80,0.44,-5.40%,-26.71%,-34.92%,39.93,-,-,-31.60%,-2.30%,-,-,50.31M,27.60M,5.56%,29.92,7.25,-73.81%,15.48%,2.94,-0.59,2647.60%,-195.90%,0.30%,-,18.30%,0.16%,-,-,65,1.80
