date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:18:18 ,10.76,-0.46%,"10,796",20.19K,76.50M,-2.00M,512.80M,1.78,-,7.70,-,255.01,0.15,0.90,1.10,0.76,-0.30%,4.52%,-9.28%,51.94,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.11M,4.47M,1.32%,2.91,16.33,-29.30%,16.32%,10.81,-0.27,18.40%,66.60%,3.80%,-2.48%,34.40%,-,-,-,480,1.70
2018-10-17,22:12:26 ,11.00,2.23%,"9,115",20.19K,78.21M,-2.00M,512.80M,1.82,-,7.87,-,260.70,0.15,0.90,1.10,0.76,1.64%,6.84%,-7.14%,54.96,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.11M,4.47M,1.32%,2.91,16.33,-27.73%,18.92%,10.76,-0.27,18.40%,66.60%,3.80%,-2.48%,34.40%,-,-,-,480,1.70
2018-10-18,22:49:00 ,10.45,-5.00%,"22,024",20.23K,74.30M,-2.00M,512.80M,1.73,-,7.48,-,247.67,0.14,0.90,1.10,0.76,-3.87%,1.44%,-11.68%,47.66,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.11M,4.47M,1.32%,2.91,16.33,-31.34%,12.97%,11.00,-0.27,18.40%,66.60%,3.80%,-2.48%,34.40%,-,-,-,480,1.70
2018-10-19,22:56:07 ,10.50,0.48%,"10,602",20.34K,74.66M,-2.00M,512.80M,1.74,-,7.52,-,248.85,0.15,0.90,1.10,0.76,-2.88%,1.94%,-11.13%,48.20,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.11M,4.47M,1.32%,2.89,16.33,-31.01%,13.51%,10.45,-0.27,18.40%,66.60%,3.80%,-2.48%,34.40%,-,-,-,480,1.70
2018-10-22,20:17:00 ,10.45,-0.48%,"10,671",20.10K,78.90M,-2.00M,512.80M,1.73,-,7.48,-,262.99,0.15,0.90,1.10,0.76,-3.22%,1.47%,-11.43%,47.52,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.55M,4.47M,1.32%,2.93,16.33,-31.34%,12.97%,10.50,-0.27,18.40%,66.60%,3.80%,-2.34%,34.40%,-0.04%,-,-,480,1.70
2018-10-23,20:18:43 ,10.47,0.19%,"49,069",20.18K,79.05M,-2.00M,512.80M,1.74,-,7.49,-,263.50,0.15,0.90,1.10,0.76,-2.86%,1.70%,-11.13%,48.10,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.55M,4.47M,1.32%,2.91,16.33,-31.21%,13.19%,10.45,-0.27,18.40%,66.60%,3.80%,-2.34%,34.40%,-0.04%,-,-,480,1.70
2018-10-24,20:16:46 ,10.42,-0.48%,"21,566",20.36K,78.67M,-2.00M,512.80M,1.73,-,7.46,-,262.24,0.15,0.90,1.10,0.76,-3.31%,1.25%,-11.43%,47.65,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.55M,4.47M,1.32%,2.89,16.33,-31.54%,12.65%,10.47,-0.27,18.40%,66.60%,3.80%,-2.34%,34.40%,-0.04%,-,-,480,1.70
2018-10-25,20:17:44 ,10.05,-3.55%,"11,941",20.58K,75.88M,-2.00M,512.80M,1.67,-,7.19,-,252.93,0.15,0.90,1.10,0.76,-6.79%,-2.29%,-14.46%,43.14,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.55M,4.47M,1.32%,2.86,16.33,-33.97%,8.65%,10.42,-0.27,18.40%,66.60%,3.80%,-2.34%,34.40%,-0.04%,-,-,480,1.70
2018-10-26,20:16:36 ,9.32,-7.26%,"18,801",20.45K,70.37M,-2.00M,512.80M,1.55,-,6.67,-,234.55,0.14,0.90,1.10,0.76,-13.35%,-9.33%,-20.56%,34.87,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.55M,4.47M,1.32%,2.88,16.33,-38.76%,0.76%,10.05,-0.27,18.40%,66.60%,3.80%,-2.34%,34.40%,-0.04%,-,-,480,1.70
2018-10-29,20:10:18 ,9.38,0.64%,"34,311",20.48K,76.82M,-2.00M,512.80M,1.56,-,6.71,-,256.07,0.15,0.90,1.10,0.76,-12.00%,-8.62%,-19.91%,35.63,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.19M,4.47M,1.45%,3.16,16.33,-38.37%,4.22%,9.32,-0.27,18.40%,66.60%,3.80%,-2.16%,34.50%,0.18%,-,-,480,1.70
2018-10-30,20:11:21 ,9.40,0.21%,"15,864",20.65K,76.99M,-2.00M,512.80M,1.56,-,6.73,-,256.62,0.15,0.90,1.10,0.76,-11.00%,-8.32%,-19.61%,36.65,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.19M,4.47M,1.45%,3.13,16.33,-38.24%,7.35%,9.38,-0.27,18.40%,66.60%,3.80%,-2.16%,34.50%,0.18%,-,-,480,1.70
2018-10-31,20:10:08 ,9.49,0.96%,"14,072",20.42K,77.72M,-2.00M,512.80M,1.57,-,6.79,-,259.08,0.15,0.90,1.10,0.76,-9.61%,-7.35%,-18.71%,38.36,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.19M,4.47M,1.45%,3.17,16.33,-37.65%,8.37%,9.40,-0.27,18.40%,66.60%,3.80%,-2.16%,34.50%,0.18%,-,-,480,1.70
2018-11-01,20:13:04 ,9.02,-4.95%,"21,098",20.52K,73.87M,-2.00M,512.80M,1.50,-,6.46,-,246.25,0.14,0.90,1.10,0.76,-13.44%,-11.87%,-22.61%,33.14,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.19M,4.47M,1.45%,3.15,16.33,-40.74%,3.01%,9.49,-0.27,18.40%,66.60%,3.80%,-2.16%,34.50%,0.18%,-,-,480,1.70
2018-11-03,01:40:53 ,9.16,1.55%,"3,727",20.64K,75.02M,-2.00M,512.80M,1.52,-,6.56,-,250.07,0.15,0.90,1.10,0.76,-11.28%,-10.34%,-21.26%,36.06,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.19M,4.47M,1.45%,3.13,16.33,-39.82%,4.61%,9.02,-0.27,18.40%,66.60%,3.80%,-2.16%,34.50%,0.18%,-,-,480,1.70
2018-11-05,19:13:33 ,8.91,-2.73%,"18,888",20.68K,66.65M,-2.00M,512.80M,1.48,-,6.38,-,222.16,0.13,0.90,1.10,0.76,-13.01%,-12.65%,-23.26%,33.97,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.48M,4.47M,1.45%,3.13,16.33,-41.46%,1.75%,9.16,-0.27,18.40%,66.60%,3.80%,-2.36%,34.50%,0.12%,-,-,480,1.70
2018-11-06,19:10:50 ,9.00,1.01%,"13,736",20.80K,67.32M,-2.00M,512.80M,1.49,-,6.44,-,224.40,0.13,0.90,1.10,0.76,-11.26%,-11.61%,-22.32%,36.13,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.48M,4.47M,1.45%,3.11,16.33,-40.87%,2.78%,8.91,-0.27,18.40%,66.60%,3.80%,-2.36%,34.50%,0.12%,-,-,480,1.70
2018-11-07,19:20:28 ,8.99,-0.11%,"33,476",20.81K,67.25M,-2.00M,512.80M,1.49,-,6.44,-,224.15,0.13,0.90,1.10,0.76,-10.57%,-11.60%,-22.25%,36.29,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.48M,4.47M,1.45%,3.11,16.33,-40.93%,2.66%,9.00,-0.27,18.40%,66.60%,3.80%,-2.36%,34.50%,0.12%,-,-,480,1.70
2018-11-08,19:10:26 ,8.86,-1.45%,"19,678",21.20K,66.27M,-2.00M,512.80M,1.47,-,6.34,-,220.91,0.13,0.90,1.10,0.76,-11.09%,-12.83%,-23.22%,35.24,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.48M,4.47M,1.45%,3.05,16.33,-41.79%,1.18%,8.99,-0.27,18.40%,66.60%,3.80%,-2.36%,34.50%,0.12%,-,-,480,1.70
2018-11-09,19:49:49 ,8.34,-5.87%,"20,590",21.33K,62.38M,-2.00M,512.80M,1.38,-,5.97,-,207.94,0.12,0.90,1.10,0.76,-15.61%,-17.86%,-27.57%,30.26,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.48M,4.47M,1.45%,3.03,16.33,-45.20%,-4.69%,8.86,-0.27,18.40%,66.60%,3.80%,-2.36%,34.50%,0.12%,-,-,480,1.70
2018-11-12,21:51:12 ,8.26,-0.96%,"7,449",21.42K,66.66M,-2.00M,512.80M,1.37,-,5.91,-,222.19,0.13,0.90,1.10,0.76,-15.19%,-18.44%,-28.09%,30.20,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.07M,4.47M,1.78%,3.71,16.33,-45.73%,2.23%,8.34,-0.27,18.40%,66.60%,3.80%,-2.19%,34.40%,-0.11%,-,-,480,1.70
2018-11-13,19:20:16 ,8.71,5.45%,"9,783",21.24K,70.29M,-2.00M,512.80M,1.44,-,6.23,-,234.30,0.14,0.90,1.10,0.76,-9.38%,-13.80%,-23.98%,37.88,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.07M,4.47M,1.78%,3.74,16.33,-42.77%,7.80%,8.26,-0.27,18.40%,66.60%,3.80%,-2.19%,34.40%,-0.11%,-,-,480,1.70
2018-11-14,19:12:15 ,8.22,-5.63%,"23,448",20.97K,66.34M,-2.00M,512.80M,1.36,-,5.88,-,221.12,0.13,0.90,1.10,0.76,-13.56%,-18.50%,-28.09%,33.36,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.07M,4.47M,1.78%,3.79,16.33,-45.99%,1.73%,8.71,-0.27,18.40%,66.60%,3.80%,-2.19%,34.40%,-0.11%,-,-,480,1.70
2018-11-15,19:09:05 ,8.34,1.46%,"7,278",20.47K,67.30M,-2.00M,512.80M,1.38,-,5.97,-,224.35,0.13,0.90,1.10,0.76,-10.99%,-17.06%,-26.85%,36.00,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.07M,4.47M,1.78%,3.88,16.33,-45.20%,3.22%,8.22,-0.27,18.40%,66.60%,3.80%,-2.19%,34.40%,-0.11%,-,-,480,1.70
2018-11-16,19:09:25 ,6.05,-27.46%,"150,579",20.11K,48.82M,-2.00M,512.80M,1.00,-,4.33,-,162.75,0.10,0.90,1.10,0.76,-34.70%,-39.66%,-46.81%,18.90,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,8.07M,4.47M,1.78%,3.95,16.33,-60.25%,-25.12%,8.34,-0.27,18.40%,66.60%,3.80%,-2.19%,34.40%,-0.11%,-,-,480,1.70
2018-11-19,19:08:37 ,5.90,-2.48%,"117,826",22.27K,44.78M,-2.00M,512.80M,0.98,-,4.22,-,149.27,0.09,0.90,1.10,0.76,-34.75%,-40.73%,-47.95%,18.94,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.59M,4.47M,1.78%,3.57,16.33,-61.24%,6.30%,6.05,-0.27,18.40%,66.60%,3.80%,-2.33%,39.80%,15.53%,-,-,480,1.70
2018-11-20,19:10:13 ,4.85,-17.77%,"194,675",23.52K,36.82M,-2.00M,512.80M,0.80,-,3.47,-,122.74,0.07,0.90,1.10,0.76,-44.96%,-50.90%,-57.04%,15.62,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.59M,4.47M,1.78%,3.38,16.33,-68.12%,-12.59%,5.90,-0.27,18.40%,66.60%,3.80%,-2.33%,39.80%,15.53%,-,-,480,1.70
2018-11-21,19:09:27 ,4.80,-1.06%,"182,012",26.39K,36.43M,-2.00M,512.80M,0.80,-,3.44,-,121.44,0.07,0.90,1.10,0.76,-43.75%,-50.95%,-57.33%,15.88,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.59M,4.47M,1.78%,3.01,16.33,-68.46%,0.00%,4.85,-0.27,18.40%,66.60%,3.80%,-2.33%,39.80%,15.53%,-,-,480,1.70
2018-11-23,19:09:17 ,4.72,-1.67%,"67,007",29.01K,35.82M,-2.00M,512.80M,0.78,-,3.38,-,119.42,0.07,0.90,1.10,0.76,-42.81%,-51.28%,-57.88%,16.02,-1.80%,-8.10%,5.50%,12.80%,1.00%,-0.70%,7.59M,4.47M,1.78%,2.74,16.33,-68.99%,-1.26%,4.80,-0.27,18.40%,66.60%,3.80%,-2.33%,39.80%,15.53%,-,-,480,1.70
2018-11-26,19:16:11 ,4.70,-0.42%,"115,347",29.99K,36.24M,-4.70M,526.60M,0.84,-,7.90,-,72.47,0.07,0.80,1.00,0.92,-41.15%,-50.99%,-57.89%,15.64,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.71M,4.47M,1.78%,2.65,6.50,-69.12%,3.07%,4.72,-0.62,11.40%,-298.30%,3.80%,-2.29%,39.80%,15.25%,-,-,480,2.00
2018-11-27,19:08:24 ,4.40,-6.38%,"51,839",31.58K,33.92M,-4.70M,526.60M,0.78,-,7.39,-,67.85,0.06,0.80,1.00,0.92,-43.26%,-53.65%,-60.42%,13.32,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.71M,4.47M,1.78%,2.52,6.50,-71.09%,-2.44%,4.70,-0.62,11.40%,-298.30%,3.80%,-2.29%,39.80%,15.25%,-,-,480,2.00
2018-11-28,19:07:05 ,4.19,-4.77%,"80,224",31.95K,32.30M,-4.70M,526.60M,0.75,-,7.04,-,64.61,0.06,0.80,1.00,0.92,-44.18%,-55.31%,-62.15%,12.78,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.71M,4.47M,1.78%,2.49,6.50,-72.47%,-4.23%,4.40,-0.62,11.40%,-298.30%,3.80%,-2.29%,39.80%,15.25%,-,-,480,2.00
2018-11-29,19:08:25 ,4.15,-0.95%,"122,038",32.77K,32.00M,-4.70M,526.60M,0.74,-,6.97,-,63.99,0.06,0.80,1.00,0.92,-42.72%,-55.16%,-62.34%,13.16,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.71M,4.47M,1.78%,2.43,6.50,-72.73%,-0.24%,4.19,-0.62,11.40%,-298.30%,3.80%,-2.29%,39.80%,15.25%,-,-,480,2.00
2018-11-30,19:08:56 ,4.01,-3.37%,"178,672",33.99K,30.92M,-4.70M,526.60M,0.71,-,6.74,-,61.83,0.06,0.80,1.00,0.92,-42.54%,-56.12%,-63.45%,11.78,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.71M,4.47M,1.78%,2.34,6.50,-73.65%,-3.37%,4.15,-0.62,11.40%,-298.30%,3.80%,-2.29%,39.80%,15.25%,-,-,480,2.00
2018-12-03,19:18:42 ,4.20,4.74%,"66,139",36.49K,33.01M,-4.70M,526.60M,0.75,-,7.06,-,66.02,0.06,0.80,1.00,0.92,-37.57%,-53.26%,-61.55%,16.17,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.86M,4.47M,1.48%,1.81,6.50,-72.40%,9.95%,4.01,-0.62,11.40%,-298.30%,3.80%,-2.25%,39.80%,14.91%,-,-,480,2.00
2018-12-04,19:10:03 ,4.20,0.00%,"33,519",37.22K,33.01M,-4.70M,526.60M,0.75,-,7.06,-,66.02,0.06,0.80,1.00,0.92,-35.19%,-52.57%,-61.38%,16.42,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.86M,4.47M,1.48%,1.78,6.50,-72.40%,9.95%,4.20,-0.62,11.40%,-298.30%,3.80%,-2.25%,39.80%,14.91%,-,-,480,2.00
2018-12-06,19:08:56 ,4.06,-3.33%,"37,182",37.40K,31.91M,-4.70M,526.60M,0.72,-,6.82,-,63.82,0.06,0.80,1.00,0.92,-34.98%,-53.45%,-62.51%,15.62,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.86M,4.47M,1.48%,1.77,6.50,-73.32%,6.28%,4.20,-0.62,11.40%,-298.30%,3.80%,-2.25%,39.80%,14.91%,-,-,480,2.00
2018-12-07,19:08:55 ,3.97,-2.22%,"61,826",38.44K,31.20M,-4.70M,526.60M,0.71,-,6.67,-,62.41,0.06,0.80,1.00,0.92,-33.81%,-53.80%,-63.21%,15.41,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.86M,4.47M,1.48%,1.72,6.50,-73.92%,3.93%,4.06,-0.62,11.40%,-298.30%,3.80%,-2.25%,39.80%,14.91%,-,-,480,2.00
2018-12-10,19:08:48 ,4.14,4.28%,"33,667",39.35K,32.13M,-4.70M,526.60M,0.74,-,6.96,-,64.25,0.06,0.80,1.00,0.92,-27.96%,-51.10%,-61.48%,19.76,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.76M,4.47M,1.48%,1.68,6.50,-71.95%,8.38%,3.97,-0.62,11.40%,-298.30%,3.50%,-2.47%,39.80%,15.14%,-,-,480,2.00
2018-12-11,19:08:28 ,3.90,-5.80%,"35,084",39.75K,30.26M,-4.70M,526.60M,0.70,-,6.55,-,60.53,0.06,0.80,1.00,0.92,-29.23%,-53.22%,-63.58%,18.68,-2.80%,-14.10%,5.50%,11.50%,0.20%,-1.20%,7.76M,4.47M,1.48%,1.66,6.50,-73.58%,2.09%,4.14,-0.62,11.40%,-298.30%,3.50%,-2.47%,39.80%,15.14%,-,-,480,2.00
