date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:13:31 ,105.98,1.25%,"3,637,263",4.60M,86.16B,3.94B,70.51B,14.91,22.12,17.63,1.46,37.99,1.22,0.20,1.10,2.74,-5.30%,-1.82%,9.13%,40.61,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,813.00M,806.98M,1.34%,2.35,121.39,-9.96%,40.63%,104.67,4.79,7.10%,10.90%,0.16%,-2.13%,76.00%,0.17%,1.92,1.81%,200000,1.90
2018-10-18,20:44:48 ,99.71,-2.66%,"7,069,179",4.65M,81.06B,3.94B,70.51B,14.02,20.81,16.59,1.37,35.74,1.15,0.20,1.10,2.74,-9.96%,-7.83%,2.55%,27.99,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,813.00M,806.98M,1.34%,2.32,121.39,-15.28%,32.31%,102.44,4.79,7.10%,10.90%,0.16%,-2.13%,76.00%,0.17%,1.92,1.93%,200000,1.90
2018-10-19,20:53:14 ,99.59,-0.12%,"4,674,285",4.71M,80.97B,3.94B,70.51B,14.01,20.79,16.57,1.37,35.70,1.15,0.20,1.10,2.74,-9.37%,-7.96%,2.39%,25.21,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,813.00M,806.98M,1.34%,2.29,121.39,-15.39%,32.15%,99.71,4.79,7.10%,10.90%,0.16%,-2.13%,76.00%,0.17%,1.92,1.93%,200000,1.90
2018-10-22,18:06:14 ,98.39,-1.20%,"3,768,430",4.74M,79.62B,3.94B,70.51B,13.84,20.54,16.34,1.35,35.11,1.13,0.20,1.10,2.74,-9.76%,-9.06%,1.12%,22.95,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,809.25M,806.98M,1.34%,2.28,121.61,-16.41%,30.56%,99.59,4.79,7.10%,10.90%,0.16%,-2.14%,76.00%,0.21%,1.92,1.95%,200000,1.90
2018-10-23,18:06:53 ,98.12,-0.27%,"6,968,487",4.71M,79.40B,3.94B,70.51B,13.80,20.48,16.29,1.35,35.01,1.13,0.20,1.10,2.74,-9.31%,-9.31%,0.82%,23.03,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,809.25M,806.98M,1.34%,2.29,121.61,-16.64%,30.20%,98.39,4.79,7.10%,10.90%,0.16%,-2.14%,76.00%,0.21%,1.92,1.96%,200000,1.90
2018-10-24,18:06:41 ,96.53,-1.62%,"5,717,081",4.77M,78.12B,3.94B,70.51B,13.58,20.15,16.03,1.33,34.44,1.11,0.20,1.10,2.74,-10.07%,-10.80%,-0.84%,21.19,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,809.25M,806.98M,1.34%,2.27,121.61,-17.99%,28.09%,98.12,4.79,7.10%,10.90%,0.16%,-2.14%,76.00%,0.21%,1.92,1.99%,200000,1.90
2018-10-25,18:06:37 ,97.95,1.47%,"4,526,145",4.81M,79.27B,3.94B,70.51B,13.78,20.44,16.26,1.35,34.95,1.12,0.20,1.10,2.74,-7.97%,-9.45%,0.61%,27.35,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,809.25M,806.98M,1.34%,2.25,121.61,-16.78%,29.97%,96.53,4.79,7.10%,10.90%,0.16%,-2.14%,76.00%,0.21%,1.92,1.96%,200000,1.90
2018-10-26,18:05:16 ,93.78,-4.26%,"6,599,853",4.81M,75.89B,3.94B,70.51B,13.19,19.57,15.57,1.29,33.46,1.08,0.20,1.10,2.74,-11.20%,-13.33%,-3.69%,21.84,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,809.25M,806.98M,1.34%,2.24,121.61,-20.32%,24.44%,97.95,4.79,7.10%,10.90%,0.16%,-2.14%,76.00%,0.21%,1.92,2.05%,200000,1.90
2018-10-29,18:05:24 ,92.86,-0.98%,"4,235,554",4.87M,78.39B,3.94B,70.51B,13.06,19.38,15.44,1.28,34.57,1.11,0.20,1.10,2.74,-11.18%,-14.11%,-4.62%,21.34,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,844.22M,806.97M,1.14%,1.89,120.54,-21.10%,23.22%,93.78,4.79,7.10%,10.90%,0.16%,-2.06%,76.00%,0.16%,1.92,2.07%,200000,1.80
2018-10-31,18:05:50 ,95.22,0.51%,"5,790,222",4.88M,80.39B,3.94B,70.51B,13.39,19.87,15.83,1.31,35.44,1.14,0.20,1.10,2.74,-7.19%,-11.78%,-2.13%,30.17,10.60%,67.80%,17.90%,34.20%,8.90%,5.60%,844.22M,806.97M,1.14%,1.88,120.54,-19.10%,26.35%,94.74,4.79,7.10%,10.90%,0.16%,-2.06%,76.00%,0.16%,1.92,2.02%,200000,1.80
