date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:19:24 ,60.45,1.55%,"629,275",618.47K,5.34B,325.70M,4.72B,5.35,17.11,9.69,0.44,3.86,1.13,-,-,2.62,-5.09%,-6.95%,-6.34%,35.32,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,88.42M,85.90M,2.42%,3.37,83.71,-17.51%,25.60%,59.53,3.53,21.90%,74.20%,0.80%,-3.72%,97.00%,-0.02%,1.00,1.65%,3882,2.20
2018-10-17,22:13:35 ,60.78,0.55%,"550,813",618.47K,5.37B,325.70M,4.72B,5.38,17.20,9.74,0.44,3.88,1.14,-,-,2.62,-4.30%,-6.25%,-5.85%,37.41,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,88.42M,85.90M,2.42%,3.37,83.71,-17.06%,26.28%,60.45,3.53,21.90%,74.20%,0.80%,-3.72%,97.00%,-0.02%,1.00,1.65%,3882,2.20
2018-10-18,22:50:07 ,59.05,-2.85%,"426,820",612.07K,5.22B,325.70M,4.72B,5.23,16.71,9.46,0.43,3.77,1.11,-,-,2.62,-6.71%,-8.72%,-8.56%,31.58,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,88.42M,85.90M,2.42%,3.40,83.71,-19.42%,22.69%,60.78,3.53,21.90%,74.20%,0.80%,-3.72%,97.00%,-0.02%,1.00,1.69%,3882,2.20
2018-10-19,22:57:12 ,59.14,0.15%,"678,885",603.34K,5.23B,325.70M,4.72B,5.24,16.73,9.48,0.43,3.77,1.11,-,-,2.62,-6.05%,-8.37%,-8.42%,32.37,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,88.42M,85.90M,2.42%,3.45,83.71,-19.30%,22.88%,59.05,3.53,21.90%,74.20%,0.80%,-3.72%,97.00%,-0.02%,1.00,1.69%,3882,2.20
2018-10-22,20:18:13 ,57.65,-2.52%,"832,906",599.39K,5.07B,325.70M,4.72B,5.11,16.31,9.26,0.42,3.66,1.07,-,-,2.62,-7.94%,-10.47%,-10.73%,28.30,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,87.96M,85.90M,2.42%,3.47,81.00,-21.33%,19.78%,59.14,3.53,21.90%,74.20%,0.80%,-3.74%,97.80%,0.84%,1.00,1.73%,3882,2.20
2018-10-23,20:19:56 ,55.75,-3.30%,"1,158,776",603.83K,4.90B,325.70M,4.72B,4.94,15.78,8.96,0.41,3.54,1.04,-,-,2.62,-10.44%,-13.21%,-13.66%,23.38,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,87.96M,85.90M,2.42%,3.45,81.00,-23.92%,15.83%,57.65,3.53,21.90%,74.20%,0.80%,-3.74%,97.80%,0.84%,1.00,1.79%,3882,2.20
2018-10-24,20:17:57 ,53.20,-4.57%,"1,114,510",609.87K,4.68B,325.70M,4.72B,4.71,15.05,8.55,0.39,3.38,0.99,-,-,2.62,-13.81%,-16.94%,-17.58%,18.57,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,87.96M,85.90M,2.42%,3.41,81.00,-27.40%,10.53%,55.75,3.53,21.90%,74.20%,0.80%,-3.74%,97.80%,0.84%,1.00,1.88%,3882,2.20
2018-10-25,20:18:55 ,54.30,2.07%,"1,131,610",613.81K,4.78B,325.70M,4.72B,4.81,15.37,8.72,0.40,3.44,1.01,-,-,2.62,-11.17%,-14.88%,-15.82%,25.01,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,87.96M,85.90M,2.42%,3.39,81.00,-25.90%,12.82%,53.20,3.53,21.90%,74.20%,0.80%,-3.74%,97.80%,0.84%,1.00,1.84%,3882,2.20
2018-10-26,20:17:48 ,56.25,3.59%,"1,753,703",623.11K,4.95B,325.70M,4.72B,4.98,15.92,9.04,0.41,3.57,1.05,-,-,2.62,-7.20%,-11.51%,-12.75%,34.78,6.40%,34.10%,9.30%,98.70%,12.20%,7.10%,87.96M,85.90M,2.42%,3.34,81.00,-23.24%,16.87%,54.30,3.53,21.90%,74.20%,0.80%,-3.74%,97.80%,0.84%,1.00,1.78%,3882,2.20
2018-10-29,20:11:24 ,56.67,0.75%,"1,213,719",633.95K,5.05B,325.70M,4.72B,5.02,16.04,9.24,0.43,3.64,1.07,-,-,2.62,-5.87%,-10.57%,-12.07%,36.99,5.40%,29.00%,9.30%,98.70%,11.00%,6.00%,89.13M,85.90M,1.69%,2.30,80.88,-22.67%,17.74%,56.25,3.53,21.90%,74.20%,0.80%,-3.69%,97.80%,0.81%,1.00,1.76%,3882,2.20
2018-10-30,20:12:27 ,58.64,3.48%,"1,695,101",627.11K,5.23B,325.70M,4.72B,5.19,16.59,9.56,0.45,3.77,1.11,-,-,2.62,-1.98%,-7.18%,-8.98%,45.03,5.40%,29.00%,9.30%,98.70%,11.00%,6.00%,89.13M,85.90M,1.69%,2.32,80.88,-19.98%,21.84%,56.67,3.53,21.90%,74.20%,0.80%,-3.69%,97.80%,0.81%,1.00,1.71%,3882,2.20
2018-10-31,20:11:14 ,61.60,5.05%,"1,339,330",635.77K,5.49B,325.70M,4.72B,5.46,17.43,10.05,0.47,3.96,1.16,-,-,2.62,3.41%,-2.25%,-4.37%,54.30,5.40%,29.00%,9.30%,98.70%,11.00%,6.00%,89.13M,85.90M,1.69%,2.29,80.88,-15.94%,27.99%,58.64,3.53,21.90%,74.20%,0.80%,-3.69%,97.80%,0.81%,1.00,1.62%,3882,2.20
2018-11-01,20:14:10 ,61.65,0.08%,"1,152,763",642.06K,5.49B,325.70M,4.72B,5.46,17.44,10.06,0.47,3.96,1.16,-,-,2.62,3.81%,-2.02%,-4.31%,54.84,5.40%,29.00%,9.30%,98.70%,11.00%,6.00%,89.13M,85.90M,1.69%,2.27,80.88,-15.87%,28.09%,61.60,3.53,21.90%,74.20%,0.80%,-3.69%,97.80%,0.81%,1.00,1.62%,3882,2.20
2018-11-03,01:42:01 ,62.34,1.12%,"763,052",645.63K,5.56B,325.70M,4.72B,5.52,17.64,10.17,0.48,4.01,1.18,-,-,2.62,5.22%,-0.79%,-3.27%,57.62,5.40%,29.00%,9.30%,98.70%,11.00%,6.00%,89.13M,85.90M,1.69%,2.25,80.88,-14.93%,29.52%,61.65,3.53,21.90%,74.20%,0.80%,-3.69%,97.80%,0.81%,1.00,1.60%,3882,2.20
2018-11-05,19:14:40 ,62.90,0.90%,"935,651",646.53K,5.50B,374.50M,4.99B,5.62,15.38,10.22,0.42,4.12,1.10,-,-,2.73,6.32%,0.21%,-2.42%,59.04,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,85.90M,1.69%,2.25,78.29,-14.16%,30.69%,62.34,4.09,25.10%,88.20%,0.80%,-3.76%,98.60%,1.21%,1.00,1.59%,3947,2.20
2018-11-06,19:12:37 ,63.38,0.76%,"779,347",650.81K,5.54B,374.50M,4.99B,5.66,15.49,10.30,0.42,4.15,1.11,-,-,2.73,7.22%,1.08%,-1.71%,60.25,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,85.90M,1.69%,2.24,78.29,-13.51%,31.69%,62.90,4.09,25.10%,88.20%,0.80%,-3.76%,98.60%,1.21%,1.00,1.58%,3947,2.20
2018-11-07,19:21:35 ,64.43,1.66%,"930,932",656.35K,5.63B,374.50M,4.99B,5.75,15.75,10.47,0.43,4.22,1.13,-,-,2.73,9.02%,2.88%,-0.11%,62.90,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,85.90M,1.69%,2.22,78.29,-12.08%,33.87%,63.38,4.09,25.10%,88.20%,0.80%,-3.76%,98.60%,1.21%,1.00,1.55%,3947,2.20
2018-11-08,19:11:39 ,65.69,1.96%,"821,336",660.10K,5.74B,374.50M,4.99B,5.87,16.06,10.68,0.44,4.30,1.15,-,-,2.73,10.78%,4.99%,1.81%,66.41,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,85.90M,1.69%,2.20,78.29,-10.36%,36.48%,64.43,4.09,25.10%,88.20%,0.80%,-3.76%,98.60%,1.21%,1.00,1.52%,3947,2.20
2018-11-09,19:50:52 ,65.15,-0.82%,"635,783",666.11K,5.70B,374.50M,4.99B,5.82,15.93,10.59,0.43,4.27,1.14,-,-,2.73,9.27%,4.16%,0.92%,64.04,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,85.90M,1.69%,2.19,78.29,-11.09%,35.36%,65.69,4.09,25.10%,88.20%,0.80%,-3.76%,98.60%,1.21%,1.00,1.53%,3947,2.20
2018-11-12,21:52:23 ,63.17,-3.04%,"481,893",670.70K,5.52B,374.50M,4.99B,5.64,15.44,10.27,0.42,4.14,1.11,-,-,2.73,5.41%,1.03%,-2.18%,55.32,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,84.52M,1.56%,1.97,78.29,-13.80%,31.25%,65.15,4.09,25.10%,88.20%,0.90%,-2.47%,99.80%,0.79%,1.00,1.58%,3947,2.20
2018-11-13,19:21:50 ,63.39,0.35%,"665,192",670.52K,5.54B,374.50M,4.99B,5.66,15.49,10.30,0.42,4.15,1.11,-,-,2.73,5.46%,1.48%,-1.86%,56.36,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,84.52M,1.56%,1.97,78.29,-13.50%,31.71%,63.17,4.09,25.10%,88.20%,0.90%,-5.28%,99.80%,0.79%,1.00,1.58%,3947,2.20
2018-11-14,19:13:21 ,61.29,-3.31%,"1,012,700",673.53K,5.36B,374.50M,4.99B,5.47,14.98,9.96,0.41,4.01,1.07,-,-,2.73,1.72%,-1.78%,-5.14%,48.64,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,84.52M,1.56%,1.96,78.29,-16.36%,27.34%,63.39,4.09,25.10%,88.20%,0.90%,-5.28%,99.80%,0.79%,1.00,1.63%,3947,2.20
2018-11-15,19:10:12 ,62.48,1.94%,"920,671",680.87K,5.46B,374.50M,4.99B,5.58,15.27,10.15,0.41,4.09,1.10,-,-,2.73,3.65%,0.26%,-3.31%,52.13,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,84.52M,1.56%,1.94,78.29,-14.74%,29.82%,61.29,4.09,25.10%,88.20%,0.90%,-5.28%,99.80%,0.79%,1.00,1.60%,3947,2.20
2018-11-16,19:10:32 ,63.02,0.86%,"628,919",685.27K,5.51B,374.50M,4.99B,5.63,15.40,10.24,0.42,4.13,1.10,-,-,2.73,4.25%,1.18%,-2.49%,53.47,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.43M,84.52M,1.56%,1.93,78.29,-14.00%,28.64%,62.48,4.09,25.10%,88.20%,0.90%,-4.58%,99.80%,0.79%,1.00,1.59%,3947,2.20
2018-11-19,19:09:44 ,62.56,-0.73%,"597,375",688.17K,5.42B,374.50M,4.99B,5.59,15.29,10.17,0.41,4.06,1.09,-,-,2.73,3.15%,0.48%,-3.20%,51.66,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,86.71M,83.87M,1.57%,1.92,77.57,-14.63%,27.70%,63.02,4.09,25.10%,88.20%,0.90%,-4.62%,94.90%,-4.10%,1.00,1.60%,3947,2.20
2018-11-20,19:11:19 ,59.65,-4.65%,"799,171",691.98K,5.17B,374.50M,4.99B,5.33,14.58,9.70,0.40,3.88,1.04,-,-,2.73,-2.04%,-4.13%,-7.72%,42.48,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,86.71M,83.87M,1.57%,1.91,77.57,-18.60%,21.31%,62.56,4.09,25.10%,88.20%,0.90%,-4.62%,94.90%,-4.10%,1.00,1.68%,3947,2.20
2018-11-21,19:10:33 ,61.02,2.30%,"920,235",697.33K,5.29B,374.50M,4.99B,5.45,14.92,9.92,0.40,3.96,1.06,-,-,2.73,-0.11%,-1.76%,-5.58%,46.54,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,86.71M,83.87M,1.57%,1.89,77.57,-16.73%,24.05%,59.65,4.09,25.10%,88.20%,0.90%,-4.62%,94.90%,-4.10%,1.00,1.64%,3947,2.20
2018-11-23,19:10:23 ,60.65,-0.61%,"182,250",704.54K,5.26B,374.50M,4.99B,5.42,14.83,9.86,0.40,3.94,1.05,-,-,2.73,-1.35%,-2.25%,-6.14%,45.77,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,86.71M,83.87M,1.57%,1.87,77.57,-17.24%,23.30%,61.02,4.09,25.10%,88.20%,0.90%,-4.62%,94.90%,-4.10%,1.00,1.65%,3947,2.20
2018-11-26,19:17:23 ,62.89,3.69%,"372,099",704.88K,5.49B,374.50M,4.99B,5.62,15.37,10.21,0.42,4.11,1.10,-,-,2.73,1.77%,1.47%,-2.67%,53.13,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.24M,83.87M,1.57%,1.87,77.57,-14.18%,27.85%,60.65,4.09,25.10%,88.20%,0.80%,-5.13%,94.90%,-4.10%,1.00,1.59%,3947,2.20
2018-11-27,19:09:30 ,63.23,0.54%,"725,385",705.37K,5.52B,374.50M,4.99B,5.65,15.46,10.26,0.42,4.13,1.11,-,-,2.73,1.77%,2.08%,-2.15%,54.01,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.24M,83.87M,1.57%,1.87,77.57,-13.71%,28.54%,62.89,4.09,25.10%,88.20%,0.80%,-5.13%,94.90%,-4.10%,1.00,1.58%,3947,2.20
2018-11-28,19:08:12 ,64.50,2.01%,"700,736",708.84K,5.63B,374.50M,4.99B,5.76,15.77,10.47,0.43,4.22,1.13,-,-,2.73,3.27%,4.16%,-0.19%,57.56,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.24M,83.87M,1.57%,1.86,77.57,-11.98%,30.51%,63.23,4.09,25.10%,88.20%,0.80%,-5.90%,94.90%,-4.10%,1.00,1.55%,3947,2.20
2018-11-29,19:09:32 ,63.49,-1.57%,"719,375",714.22K,5.54B,374.50M,4.99B,5.67,15.52,10.31,0.42,4.15,1.11,-,-,2.73,1.18%,2.51%,-1.77%,53.96,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.24M,83.87M,1.57%,1.85,77.57,-13.36%,26.08%,64.50,4.09,25.10%,88.20%,0.80%,-5.90%,94.90%,-4.10%,1.00,1.58%,3947,2.20
2018-11-30,19:10:02 ,64.17,1.07%,"724,294",716.30K,5.60B,374.50M,4.99B,5.73,15.69,10.42,0.43,4.19,1.12,-,-,2.73,2.11%,3.67%,-0.71%,55.18,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,87.24M,83.87M,1.57%,1.84,77.57,-12.43%,27.44%,63.49,4.09,25.10%,88.20%,0.80%,-5.90%,94.90%,-4.10%,1.00,1.56%,3947,2.20
2018-12-03,19:19:55 ,64.81,1.00%,"872,359",722.64K,5.56B,374.50M,4.99B,5.79,15.84,10.46,0.43,4.17,1.11,-,-,2.73,2.92%,4.76%,0.28%,57.09,7.20%,38.70%,9.30%,98.70%,12.70%,7.70%,85.79M,83.87M,1.62%,1.88,78.86,-11.56%,28.71%,64.17,4.09,25.10%,88.20%,0.80%,-6.00%,94.90%,-4.18%,1.00,1.54%,3947,2.20
