date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:13:37 ,43.66,3.26%,"201,279",158.84K,1.76B,129.20M,166.30M,2.15,13.36,20.34,3.34,409.59,10.59,-,-,0.81,0.47%,-1.71%,6.69%,49.13,8.80%,16.90%,5.70%,-,48.10%,77.70%,40.34M,39.01M,2.49%,6.13,43.81,-11.96%,26.70%,42.28,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.09%,2.28,5.22%,20,3.00
2018-10-17,20:06:28 ,43.69,0.07%,"183,751",158.84K,1.76B,129.20M,166.30M,2.15,13.36,20.35,3.34,409.87,10.60,-,-,0.81,0.71%,-1.69%,6.76%,49.35,8.80%,16.90%,5.70%,-,48.10%,77.70%,40.34M,39.01M,2.49%,6.13,43.81,-11.90%,26.78%,43.66,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.09%,2.28,5.22%,20,3.00
2018-10-18,20:44:55 ,43.44,-0.57%,"162,669",157.36K,1.75B,129.20M,166.30M,2.14,13.29,20.23,3.32,407.53,10.54,-,-,0.81,0.18%,-2.29%,6.15%,47.55,8.80%,16.90%,5.70%,-,48.10%,77.70%,40.34M,39.01M,2.49%,6.18,43.81,-12.40%,26.06%,43.69,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.09%,2.28,5.25%,20,3.00
2018-10-19,20:53:20 ,43.44,0.00%,"216,984",157.36K,1.75B,129.20M,166.30M,2.14,13.29,20.23,3.32,407.53,10.54,-,-,0.81,0.31%,-2.34%,6.15%,47.73,8.80%,16.90%,5.70%,-,48.10%,77.70%,40.34M,39.01M,2.49%,6.18,43.81,-12.40%,26.06%,43.44,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.09%,2.28,5.25%,20,3.00
2018-10-22,18:06:21 ,42.82,-1.43%,"162,341",158.53K,1.70B,129.20M,166.30M,2.11,13.10,19.94,3.27,394.64,10.20,-,-,0.81,-1.02%,-3.74%,4.63%,43.59,8.80%,16.90%,5.70%,-,48.10%,77.70%,39.63M,39.01M,2.49%,6.14,43.81,-13.65%,24.26%,43.44,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.17%,2.28,5.32%,20,3.00
2018-10-23,18:07:00 ,42.94,0.28%,"136,639",158.91K,1.70B,129.20M,166.30M,2.12,13.14,20.00,3.28,395.75,10.23,-,-,0.81,-0.67%,-3.45%,4.92%,44.51,8.80%,16.90%,5.70%,-,48.10%,77.70%,39.63M,39.01M,2.49%,6.12,43.81,-13.41%,24.61%,42.82,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.17%,2.28,5.31%,20,3.00
2018-10-24,18:06:48 ,43.43,1.14%,"314,068",158.77K,1.72B,129.20M,166.30M,2.14,13.29,20.23,3.32,400.26,10.35,-,-,0.81,0.52%,-2.33%,6.11%,48.90,8.80%,16.90%,5.70%,-,48.10%,77.70%,39.63M,39.01M,2.49%,6.13,43.81,-12.42%,26.03%,42.94,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.17%,2.28,5.25%,20,3.00
2018-10-25,18:06:44 ,43.72,0.67%,"216,750",160.76K,1.73B,129.20M,166.30M,2.15,13.37,20.36,3.34,402.94,10.42,-,-,0.81,1.15%,-1.64%,6.80%,50.60,8.80%,16.90%,5.70%,-,48.10%,77.70%,39.63M,39.01M,2.49%,6.05,43.81,-11.84%,26.87%,43.43,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.17%,2.28,5.22%,20,3.00
2018-10-26,18:05:23 ,42.90,-1.88%,"226,701",161.65K,1.70B,129.20M,166.30M,2.11,13.12,19.98,3.28,395.38,10.22,-,-,0.81,-0.80%,-3.44%,4.77%,44.31,8.80%,16.90%,5.70%,-,48.10%,77.70%,39.63M,39.01M,2.49%,6.02,43.81,-13.49%,24.49%,43.72,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.17%,2.28,5.31%,20,3.00
2018-10-29,18:05:30 ,43.29,0.91%,"167,652",163.32K,1.75B,129.20M,166.30M,2.13,13.24,20.16,3.31,406.62,10.51,-,-,0.81,0.24%,-2.45%,5.69%,47.40,8.80%,16.90%,5.70%,-,48.10%,77.70%,40.39M,39.01M,2.96%,7.08,43.81,-12.70%,25.62%,42.90,3.27,-2.40%,171.80%,0.30%,0.00%,78.50%,0.18%,2.28,5.27%,20,3.00
