date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:20:41 ,0.65,4.70%,"817,106",1.27M,15.05M,-32.60M,1.00M,1.71,-,-,-,3.27,15.05,1.70,1.70,0.13,-9.56%,-22.10%,-59.09%,39.93,-,-,-26.70%,-34.30%,-,-,23.15M,19.38M,14.74%,2.26,4.00,-93.52%,14.04%,0.62,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-17,22:14:56 ,0.61,-6.09%,"230,103",1.27M,14.13M,-32.60M,1.00M,1.61,-,-,-,3.07,14.13,1.70,1.70,0.13,-13.81%,-26.22%,-61.16%,36.40,-,-,-26.70%,-34.30%,-,-,23.15M,19.38M,14.74%,2.26,4.00,-93.91%,7.09%,0.65,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-18,22:51:25 ,0.61,-0.12%,"207,637",1.15M,14.11M,-32.60M,1.00M,1.60,-,-,-,3.07,14.11,1.70,1.70,0.13,-12.55%,-25.62%,-60.75%,36.61,-,-,-26.70%,-34.30%,-,-,23.15M,19.38M,14.74%,2.49,4.00,-93.92%,6.96%,0.61,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-19,22:58:29 ,0.63,3.35%,"405,403",1.07M,14.59M,-32.60M,1.00M,1.66,-,-,-,3.17,14.59,1.70,1.70,0.13,-8.17%,-22.46%,-58.96%,39.64,-,-,-26.70%,-34.30%,-,-,23.15M,19.38M,14.74%,2.68,4.00,-93.72%,10.54%,0.61,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-22,20:19:39 ,0.65,3.32%,"687,824",1.04M,15.19M,-32.60M,1.00M,1.71,-,-,-,3.30,15.19,1.70,1.70,0.13,-3.80%,-19.23%,-57.12%,43.46,-,-,-26.70%,-34.30%,-,-,23.33M,19.31M,14.79%,2.75,4.00,-93.51%,14.21%,0.63,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-23,20:21:21 ,0.63,-2.50%,"344,775",1.03M,14.81M,-32.60M,1.00M,1.67,-,-,-,3.22,14.81,1.70,1.70,0.13,-5.48%,-20.65%,-57.74%,41.26,-,-,-26.70%,-34.30%,-,-,23.33M,19.31M,14.79%,2.78,4.00,-93.67%,11.35%,0.65,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-24,20:19:21 ,0.62,-2.28%,"409,500",986.83K,14.47M,-32.60M,1.00M,1.63,-,-,-,3.15,14.47,1.70,1.70,0.13,-6.98%,-21.81%,-58.25%,38.98,-,-,-26.70%,-34.30%,-,-,23.33M,19.31M,14.79%,2.89,4.00,-93.82%,8.81%,0.63,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-25,20:20:21 ,0.64,3.22%,"323,014",718.97K,14.94M,-32.60M,1.00M,1.68,-,-,-,3.25,14.94,1.70,1.70,0.13,-2.85%,-18.72%,-56.43%,40.39,-,-,-26.70%,-34.30%,-,-,23.33M,19.31M,14.79%,3.97,4.00,-93.62%,12.32%,0.62,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-26,20:19:15 ,0.66,3.72%,"345,908",680.37K,15.49M,-32.60M,1.00M,1.75,-,-,-,3.37,15.49,1.70,1.70,0.13,1.75%,-15.17%,-54.29%,44.88,-,-,-26.70%,-34.30%,-,-,23.33M,19.31M,14.79%,4.20,4.00,-93.38%,16.49%,0.64,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-29,20:12:41 ,0.58,-12.65%,"460,506",671.24K,13.45M,-32.60M,1.00M,1.53,-,-,-,2.92,13.45,1.70,1.70,0.13,-10.67%,-25.53%,-59.63%,36.10,-,-,-26.70%,-34.30%,-,-,23.19M,19.30M,15.36%,4.42,4.00,-94.22%,1.75%,0.66,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-30,20:13:44 ,0.59,0.88%,"338,641",657.01K,13.57M,-32.60M,1.00M,1.54,-,-,-,2.95,13.57,1.70,1.70,0.13,-8.91%,-24.27%,-58.76%,35.72,-,-,-26.70%,-34.30%,-,-,23.19M,19.30M,15.36%,4.51,4.00,-94.17%,2.65%,0.58,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-10-31,20:12:30 ,0.59,0.50%,"214,322",649.98K,13.64M,-32.60M,1.00M,1.55,-,-,-,2.96,13.64,1.70,1.70,0.13,-7.72%,-23.30%,-58.12%,35.67,-,-,-26.70%,-34.30%,-,-,23.19M,19.30M,15.36%,4.56,4.00,-94.14%,6.91%,0.59,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-11-01,20:15:27 ,0.64,8.84%,"395,165",642.50K,14.84M,-32.60M,1.00M,1.68,-,-,-,3.23,14.84,1.70,1.70,0.13,1.09%,-15.90%,-53.94%,45.68,-,-,-26.70%,-34.30%,-,-,23.19M,19.30M,15.36%,4.61,4.00,-93.62%,16.36%,0.59,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-11-03,01:43:20 ,0.66,3.28%,"289,325",642.23K,15.33M,-32.60M,1.00M,1.74,-,-,-,3.33,15.33,1.70,1.70,0.13,4.90%,-12.56%,-51.89%,48.75,-,-,-26.70%,-34.30%,-,-,23.19M,19.30M,15.36%,4.62,4.00,-93.41%,20.18%,0.64,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-,-,-,6,2.00
2018-11-05,19:15:59 ,0.73,10.14%,"1,444,221",637.28K,16.96M,-32.60M,1.00M,1.92,-,-,-,3.69,16.96,1.70,1.70,0.13,15.66%,-3.19%,-46.46%,57.29,-,-,-26.70%,-34.30%,-,-,23.30M,19.30M,15.36%,4.65,4.00,-92.74%,32.36%,0.66,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-0.13%,-,-,6,2.00
2018-11-06,19:14:14 ,0.81,10.89%,"2,245,839",649.79K,18.81M,-32.60M,1.00M,2.12,-,-,-,4.09,18.81,1.70,1.70,0.13,28.07%,7.79%,-40.06%,64.37,-,-,-26.70%,-34.30%,-,-,23.30M,19.30M,15.36%,4.56,4.00,-91.95%,46.78%,0.73,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-0.13%,-,-,6,2.00
2018-11-07,19:22:52 ,0.87,7.64%,"1,593,142",673.92K,20.25M,-32.60M,1.00M,2.29,-,-,-,4.40,20.25,1.70,1.70,0.13,36.38%,16.35%,-34.85%,69.23,-,-,-26.70%,-34.30%,-,-,23.30M,19.30M,15.36%,4.40,4.00,-91.34%,58.00%,0.81,-4.05,75.00%,40.20%,12.50%,0.00%,3.30%,-0.13%,-,-,6,2.00
