date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:20:15 ,49.33,3.18%,"268,535",202.50K,1.03B,72.10M,497.00M,7.55,13.97,13.11,0.93,16.65,2.06,1.40,2.00,0.00,-5.06%,3.44%,24.51%,48.53,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,20.79M,20.26M,3.16%,3.16,59.86,-17.19%,79.77%,47.81,3.53,84.70%,-9.80%,1.40%,-42.58%,-,0.23%,-,-,1345,1.70
2018-10-17,22:14:28 ,49.00,-0.67%,"128,529",202.50K,1.02B,72.10M,497.00M,7.50,13.88,13.02,0.93,16.54,2.05,1.40,2.00,0.00,-5.28%,2.23%,23.37%,47.55,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,20.79M,20.26M,3.16%,3.16,59.86,-17.74%,78.57%,49.33,3.53,84.70%,-9.80%,1.40%,-42.58%,-,0.23%,-,-,1345,1.70
2018-10-18,22:50:58 ,47.36,-3.35%,"136,048",203.71K,984.61M,72.10M,497.00M,7.25,13.41,12.59,0.89,15.98,1.98,1.40,2.00,0.00,-8.10%,-1.63%,18.95%,41.28,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,20.79M,20.26M,3.16%,3.14,59.86,-20.50%,72.59%,49.00,3.53,84.70%,-9.80%,1.40%,-42.58%,-,0.23%,-,-,1345,1.70
2018-10-19,22:58:03 ,45.79,-3.32%,"133,895",204.95K,951.97M,72.10M,497.00M,7.01,12.97,12.17,0.86,15.45,1.92,1.40,2.00,0.00,-10.69%,-5.26%,14.74%,34.62,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,20.79M,20.26M,3.16%,3.12,59.86,-23.13%,66.87%,47.36,3.53,84.70%,-9.80%,1.40%,-42.58%,-,0.23%,-,-,1345,1.70
2018-10-22,20:19:10 ,44.94,-1.86%,"233,797",200.20K,958.57M,72.10M,497.00M,6.88,12.73,12.04,0.85,15.56,1.93,1.40,2.00,0.00,-11.72%,-7.30%,12.37%,30.27,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,21.33M,20.26M,3.16%,3.19,59.86,-24.56%,63.78%,45.79,3.53,84.70%,-9.80%,1.40%,-41.95%,-,0.22%,-,-,1345,1.70
2018-10-23,20:20:51 ,44.29,-1.45%,"149,285",197.20K,944.71M,72.10M,497.00M,6.78,12.54,11.86,0.84,15.34,1.90,1.40,2.00,0.00,-12.34%,-8.88%,10.52%,29.01,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,21.33M,20.26M,3.16%,3.24,59.86,-25.65%,61.41%,44.94,3.53,84.70%,-9.80%,1.40%,-41.95%,-,0.22%,-,-,1345,1.70
2018-10-24,20:18:53 ,42.67,-3.66%,"215,823",196.92K,910.15M,72.10M,497.00M,6.53,12.08,11.43,0.81,14.78,1.83,1.40,2.00,0.00,-14.74%,-12.42%,6.28%,25.31,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,21.33M,20.26M,3.16%,3.25,59.86,-28.37%,55.50%,44.29,3.53,84.70%,-9.80%,1.40%,-41.95%,-,0.22%,-,-,1345,1.70
2018-10-25,20:19:52 ,41.91,-1.78%,"266,093",198.44K,893.94M,72.10M,497.00M,6.42,11.87,11.23,0.79,14.51,1.80,1.40,2.00,0.00,-15.25%,-14.12%,4.20%,24.05,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,21.33M,20.26M,3.16%,3.22,59.86,-29.65%,52.73%,42.67,3.53,84.70%,-9.80%,1.40%,-41.95%,-,0.22%,-,-,1345,1.70
2018-10-26,20:18:46 ,39.65,-5.39%,"306,952",200.35K,845.73M,72.10M,497.00M,6.07,11.23,10.62,0.75,13.73,1.70,1.40,2.00,0.00,-18.77%,-18.90%,-1.58%,19.97,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,21.33M,20.26M,3.16%,3.19,59.86,-33.44%,44.50%,41.91,3.53,84.70%,-9.80%,1.40%,-41.95%,-,0.22%,-,-,1345,1.70
2018-10-29,20:12:15 ,38.47,-2.98%,"263,885",202.84K,838.65M,72.10M,497.00M,5.89,10.89,10.31,0.73,13.61,1.69,1.40,2.00,0.00,-19.95%,-21.35%,-4.63%,18.47,7.80%,23.30%,23.10%,24.20%,14.10%,5.60%,21.80M,20.26M,3.46%,3.45,59.86,-35.42%,40.20%,39.65,3.53,84.70%,-9.80%,1.40%,-41.42%,-,0.20%,-,-,1345,1.70
