date,title,source
Oct-24-18,Monarch Casino (MCRI) Beats Q3 Earnings Estimates,Zacks
Oct-24-18,Monarch Casino: 3Q Earnings Snapshot,Associated Press
Oct-24-18,"Monarch Casino & Resort Reports All-Time Record Quarterly Net Revenue of $64.4 Million, Net Income of $10.9 Million and Adjusted EBITDA of $18.4 Million",GlobeNewswire
Oct-26-18,Is There An Opportunity With Monarch Casino & Resort Incs (NASDAQ:MCRI) 32.99% Undervaluation?,Simply Wall St.
Oct-30-18,"Detailed Research: Economic Perspectives on Gorman-Rupp, Teradyne, K12, Heartland Express, Monarch Casino & Resort, and Finisar  What Drives Growth in Today's Competitive Landscape",GlobeNewswire
Nov-13-18,Should You Think About Buying Monarch Casino & Resort Inc (NASDAQ:MCRI) Now?,Simply Wall St.
Dec-18-18,"Before You Buy Monarch Casino & Resort, Inc. (NASDAQ:MCRI), Consider Its Volatility",Simply Wall St.
Jan-10-19,"What Investors Should Know About Monarch Casino & Resort, Inc.s (NASDAQ:MCRI) Financial Strength",Simply Wall St.
Jan-28-19,"Are Insiders Selling Monarch Casino & Resort, Inc. (NASDAQ:MCRI) Stock?",Simply Wall St.
Feb-12-19,Monarch Casino (MCRI) Earnings Expected to Grow: Should You Buy?,Zacks
Feb-14-19,"How Should Investors React To Monarch Casino & Resort, Inc.s (NASDAQ:MCRI) CEO Pay?",Simply Wall St.
Feb-20-19,Monarch Casino (MCRI) Lags Q4 Earnings Estimates,Zacks
Feb-20-19,Monarch Casino: 4Q Earnings Snapshot,Associated Press
Feb-20-19,"Monarch Casino & Resort Reports Fourth Quarter Net Revenue of $59.8 Million, Net Income of $7.3 Million and Adjusted EBITDA of $13.4 Million",GlobeNewswire
Feb-28-19,"What Are Analysts Saying About The Future Of Monarch Casino & Resort, Inc.s (NASDAQ:MCRI)?",Simply Wall St.
Feb-28-19,"Research Report Identifies Teradyne, Eastman Chemical, Monarch Casino & Resort, Pentair plc, Charter Communications, and National Health Investors with Renewed Outlook  Fundamental Analysis, Calculating Forward Movement",GlobeNewswire
Mar-14-19,"Brief Commentary On Monarch Casino & Resort, Inc.s (NASDAQ:MCRI) Fundamentals",Simply Wall St.
Mar-20-19,Can PVH Corp (PVH) Keep Earnings Beat Streak Alive in Q4?,Zacks
Apr-15-19,6 Stocks Outperforming the Market,GuruFocus.com
Apr-18-19,Monarch Casino (MCRI) Earnings Expected to Grow: Should You Buy?,Zacks
Apr-23-19,Not all businesses are raving about Colorado's proposed sports-betting bill,American City Business Journals
Apr-24-19,Monarch Casino: 1Q Earnings Snapshot,Associated Press
Apr-24-19,"Monarch Casino & Resort Reports Record First Quarter Net Revenue of $58.7 Million, Net Income of $7.0 Million and Adjusted EBITDA of $13.7 Million",GlobeNewswire
May-03-19,Investors Who Bought Monarch Casino & Resort (NASDAQ:MCRI) Shares Five Years Ago Are Now Up 175%,Simply Wall St.
May-07-19,"Heres What Hedge Funds Think About Monarch Casino & Resort, Inc. (MCRI)",Insider Monkey
