date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:23:43 ,9.71,-0.10%,"118,335",69.61K,-,-,-,-,-,-,-,-,-,-,-,-,-2.51%,-4.75%,-7.99%,29.54,-,-,-,-,-,-,-,-,-,0.11,-,-20.77%,0.10%,9.72,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-17,19:18:14 ,9.73,0.20%,"127,975",70.89K,-,-,-,-,-,-,-,-,-,-,-,-,-2.14%,-4.42%,-7.71%,31.25,-,-,-,-,-,-,-,-,-,0.11,-,-20.60%,0.31%,9.71,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-18,19:56:22 ,9.73,0.00%,"113,302",71.64K,-,-,-,-,-,-,-,-,-,-,-,-,-1.99%,-4.29%,-7.63%,31.39,-,-,-,-,-,-,-,-,-,0.11,-,-20.60%,0.41%,9.73,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-19,20:05:03 ,9.70,-0.31%,"53,709",72.69K,-,-,-,-,-,-,-,-,-,-,-,-,-2.15%,-4.46%,-7.83%,29.82,-,-,-,-,-,-,-,-,-,0.11,-,-20.85%,0.10%,9.73,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-22,17:17:10 ,9.71,0.10%,"58,341",73.06K,-,-,-,-,-,-,-,-,-,-,-,-,-1.90%,-4.23%,-7.65%,30.98,-,-,-,-,-,-,-,-,-,0.11,-,-20.77%,0.21%,9.70,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-23,17:17:46 ,9.69,-0.21%,"86,168",73.34K,-,-,-,-,-,-,-,-,-,-,-,-,-1.97%,-4.30%,-7.76%,29.76,-,-,-,-,-,-,-,-,-,0.10,-,-20.93%,0.00%,9.71,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-24,17:17:03 ,9.73,0.41%,"232,786",74.08K,-,-,-,-,-,-,-,-,-,-,-,-,-1.44%,-3.78%,-7.30%,34.77,-,-,-,-,-,-,-,-,-,0.10,-,-20.60%,0.41%,9.69,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-25,17:17:04 ,9.71,-0.21%,"95,731",76.79K,-,-,-,-,-,-,-,-,-,-,-,-,-1.52%,-3.86%,-7.41%,33.46,-,-,-,-,-,-,-,-,-,0.10,-,-20.77%,0.31%,9.73,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-26,17:16:00 ,9.72,0.10%,"107,653",77.57K,-,-,-,-,-,-,-,-,-,-,-,-,-1.26%,-3.63%,-7.24%,34.22,-,-,-,-,-,-,-,-,-,0.10,-,-20.68%,0.54%,9.71,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-29,17:16:24 ,9.70,-0.21%,"85,935",78.88K,-,-,-,-,-,-,-,-,-,-,-,-,-1.29%,-3.71%,-7.35%,32.80,-,-,-,-,-,-,-,-,-,0.12,-,-20.85%,0.33%,9.72,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-30,17:16:36 ,9.71,0.10%,"115,380",79.72K,-,-,-,-,-,-,-,-,-,-,-,-,-1.02%,-3.48%,-7.18%,33.61,-,-,-,-,-,-,-,-,-,0.12,-,-20.77%,0.43%,9.70,-,-,-,-,-,-,-,-,-,-,3.00
2018-10-31,17:16:37 ,9.69,-0.21%,"71,346",81.15K,-,-,-,-,-,-,-,-,-,-,-,-,-1.03%,-3.55%,-7.30%,32.17,-,-,-,-,-,-,-,-,-,0.12,-,-20.93%,0.62%,9.71,-,-,-,-,-,-,-,-,-,-,3.00
2018-11-01,17:16:43 ,9.77,0.83%,"140,576",81.67K,-,-,-,-,-,-,-,-,-,-,-,-,-0.01%,-2.62%,-6.46%,42.15,-,-,-,-,-,-,-,-,-,0.12,-,-20.28%,1.45%,9.69,-,-,-,-,-,-,-,-,-,-,3.00
2018-11-02,22:41:31 ,9.72,-0.51%,"67,712",82.44K,-,-,-,-,-,-,-,-,-,-,-,-,-0.41%,-3.00%,-6.88%,38.20,-,-,-,-,-,-,-,-,-,0.11,-,-20.68%,0.93%,9.77,-,-,-,-,-,-,-,-,-,-,3.00
2018-11-05,16:16:35 ,9.70,-0.21%,"91,356",82.72K,-,-,-,-,-,-,-,-,-,-,-,-,-0.51%,-3.08%,-7.00%,36.82,-,-,-,-,-,-,-,-,-,0.11,-,-20.85%,0.73%,9.72,-,-,-,-,-,-,-,-,-,-,3.00
2018-11-06,16:16:11 ,9.68,-0.21%,"81,853",83.25K,-,-,-,-,-,-,-,-,-,-,-,-,-0.67%,-3.14%,-7.12%,34.91,-,-,-,-,-,-,-,-,-,0.11,-,-21.01%,0.52%,9.70,-,-,-,-,-,-,-,-,-,-,3.00
