date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:17:16 ,43.85,0.18%,"6,826,113",5.24M,43.55B,5.01B,68.10B,0.83,9.20,7.97,0.61,2.67,0.64,-,-,0.34,-6.37%,-5.27%,-6.51%,33.84,0.60%,7.70%,7.50%,-,8.00%,6.40%,993.25M,842.81M,1.59%,2.55,53.56,-21.57%,2.45%,43.77,4.77,38.20%,10.70%,0.10%,-10.66%,79.40%,0.02%,1.68,3.83%,49000,2.40
2018-10-18,20:48:23 ,43.62,-2.33%,"4,694,273",5.27M,43.33B,5.01B,68.10B,0.83,9.15,7.93,0.61,2.66,0.64,-,-,0.34,-6.26%,-5.62%,-6.88%,34.83,0.60%,7.70%,7.50%,-,8.00%,6.40%,993.25M,842.81M,1.59%,2.54,53.56,-21.98%,1.92%,44.66,4.77,38.20%,10.70%,0.10%,-10.66%,79.40%,0.02%,1.68,3.85%,49000,2.40
2018-10-19,20:56:50 ,43.84,0.50%,"6,016,057",5.28M,43.54B,5.01B,68.10B,0.83,9.20,7.97,0.61,2.67,0.64,-,-,0.34,-5.30%,-5.03%,-6.34%,36.89,0.60%,7.70%,7.50%,-,8.00%,6.40%,993.25M,842.81M,1.59%,2.53,53.56,-21.59%,2.43%,43.62,4.77,38.20%,10.70%,0.10%,-10.66%,79.40%,0.02%,1.68,3.83%,49000,2.40
2018-10-22,18:09:52 ,42.90,-2.14%,"5,575,951",5.30M,42.46B,5.01B,68.10B,0.81,9.00,7.79,0.60,2.60,0.62,-,-,0.34,-6.83%,-6.98%,-8.28%,32.90,0.60%,7.70%,7.50%,-,8.00%,6.40%,989.84M,842.81M,1.59%,2.52,53.56,-23.27%,0.23%,43.84,4.77,38.20%,10.70%,0.10%,-10.69%,79.40%,0.02%,1.68,3.92%,49000,2.40
2018-10-23,18:10:32 ,42.54,-0.84%,"6,757,238",5.32M,42.11B,5.01B,68.10B,0.81,8.93,7.73,0.59,2.58,0.62,-,-,0.34,-7.07%,-7.69%,-8.96%,30.97,0.60%,7.70%,7.50%,-,8.00%,6.40%,989.84M,842.81M,1.59%,2.51,53.56,-23.91%,-0.61%,42.90,4.77,38.20%,10.70%,0.10%,-10.69%,79.40%,0.02%,1.68,3.95%,49000,2.40
2018-10-24,18:10:23 ,40.24,-5.41%,"10,129,482",5.35M,39.83B,5.01B,68.10B,0.76,8.44,7.31,0.56,2.44,0.58,-,-,0.34,-11.57%,-12.61%,-13.79%,23.06,0.60%,7.70%,7.50%,-,8.00%,6.40%,989.84M,842.81M,1.59%,2.50,53.56,-28.03%,-2.74%,42.54,4.77,38.20%,10.70%,0.10%,-10.69%,79.40%,0.02%,1.68,4.17%,49000,2.40
2018-10-25,18:10:19 ,40.77,1.32%,"8,672,753",5.45M,40.36B,5.01B,68.10B,0.77,8.56,7.41,0.57,2.47,0.59,-,-,0.34,-9.72%,-11.27%,-12.55%,27.48,0.60%,7.70%,7.50%,-,8.00%,6.40%,989.84M,842.81M,1.59%,2.45,53.56,-27.08%,1.67%,40.24,4.77,38.20%,10.70%,0.10%,-10.69%,79.40%,0.02%,1.68,4.12%,49000,2.40
2018-10-26,18:08:55 ,39.56,-2.97%,"10,903,592",5.52M,39.16B,5.01B,68.10B,0.75,8.30,7.19,0.55,2.40,0.58,-,-,0.34,-11.80%,-13.75%,-15.03%,24.27,0.60%,7.70%,7.50%,-,8.00%,6.40%,989.84M,842.81M,1.59%,2.42,53.56,-29.24%,-1.35%,40.77,4.77,38.20%,10.70%,0.10%,-10.69%,79.40%,0.02%,1.68,4.25%,49000,2.40
2018-10-29,18:09:01 ,39.96,1.01%,"8,757,880",5.59M,40.97B,5.01B,68.10B,0.76,8.39,7.26,0.56,2.51,0.60,-,-,0.34,-10.19%,-12.65%,-14.04%,27.87,0.60%,7.70%,7.50%,-,8.00%,6.40%,1.03B,842.81M,1.14%,1.72,53.56,-28.53%,1.65%,39.56,4.77,38.20%,10.70%,0.10%,-10.36%,79.40%,-0.05%,1.68,4.20%,49000,2.40
2018-10-30,18:09:43 ,40.73,1.93%,"10,070,598",5.67M,41.76B,5.01B,68.10B,0.77,8.55,7.40,0.57,2.56,0.61,-,-,0.34,-7.76%,-10.73%,-12.26%,33.87,0.60%,7.70%,7.50%,-,8.00%,6.40%,1.03B,842.81M,1.14%,1.69,53.56,-27.15%,3.61%,39.96,4.77,38.20%,10.70%,0.10%,-10.36%,79.40%,-0.05%,1.68,4.12%,49000,2.40
