date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:23:11 ,75.68,2.69%,"107,226",190.46K,1.28B,39.00M,350.70M,7.00,32.63,30.76,2.18,555.75,3.64,1.30,4.70,0.22,-1.49%,-0.97%,-9.52%,47.77,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.89M,13.15M,22.06%,15.23,102.50,-24.12%,22.40%,73.70,2.32,-48.90%,-50.00%,1.60%,-30.08%,-,0.14%,0.32,0.42%,317,2.00
2018-10-17,22:17:32 ,75.30,-0.50%,"85,650",190.46K,1.27B,39.00M,350.70M,6.97,32.47,30.61,2.16,552.96,3.63,1.30,4.70,0.22,-1.77%,-1.48%,-9.97%,47.17,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.89M,13.15M,22.06%,15.23,102.50,-24.50%,21.79%,75.68,2.32,-48.90%,-50.00%,1.60%,-30.08%,-,0.14%,0.32,0.42%,317,2.00
2018-10-18,22:53:57 ,74.17,-1.50%,"91,622",189.73K,1.25B,39.00M,350.70M,6.86,31.98,30.15,2.13,544.67,3.57,1.30,4.70,0.22,-3.07%,-2.92%,-11.30%,43.40,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.89M,13.15M,22.06%,15.28,102.50,-25.63%,19.96%,75.30,2.32,-48.90%,-50.00%,1.60%,-30.08%,-,0.14%,0.32,0.43%,317,2.00
2018-10-19,23:00:58 ,75.94,2.39%,"71,614",189.01K,1.28B,39.00M,350.70M,7.02,32.75,30.87,2.18,557.66,3.66,1.30,4.70,0.22,-0.46%,-0.53%,-9.17%,50.48,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.89M,13.15M,22.06%,15.34,102.50,-23.85%,22.82%,74.17,2.32,-48.90%,-50.00%,1.60%,-30.08%,-,0.14%,0.32,0.42%,317,2.00
2018-10-22,20:22:23 ,75.40,-0.71%,"81,650",187.07K,1.24B,39.00M,350.70M,6.98,32.51,30.65,2.17,539.60,3.54,1.30,4.70,0.22,-0.96%,-1.26%,-9.82%,48.55,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.46M,13.15M,22.06%,15.50,102.50,-24.40%,21.95%,75.94,2.32,-48.90%,-50.00%,1.60%,-30.17%,-,0.16%,0.32,0.42%,317,2.00
2018-10-23,20:24:03 ,72.04,-4.46%,"189,850",185.75K,1.19B,39.00M,350.70M,6.66,31.07,29.28,2.07,515.56,3.38,1.30,4.70,0.22,-5.22%,-5.62%,-13.82%,37.93,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.46M,13.15M,22.06%,15.61,102.50,-27.76%,16.51%,75.40,2.32,-48.90%,-50.00%,1.60%,-30.17%,-,0.16%,0.32,0.44%,317,2.00
2018-10-24,20:22:05 ,69.23,-3.90%,"231,024",186.76K,1.14B,39.00M,350.70M,6.40,29.85,28.14,1.99,495.45,3.25,1.30,4.70,0.22,-8.54%,-9.20%,-17.16%,32.41,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.46M,13.15M,22.06%,15.53,102.50,-30.58%,10.63%,72.04,2.32,-48.90%,-50.00%,1.60%,-30.17%,-,0.16%,0.32,0.46%,317,2.00
2018-10-25,20:23:05 ,69.72,0.71%,"201,753",187.18K,1.15B,39.00M,350.70M,6.45,30.06,28.34,2.00,498.95,3.27,1.30,4.70,0.22,-7.32%,-8.36%,-16.53%,35.00,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.46M,13.15M,22.06%,15.49,102.50,-30.09%,11.09%,69.23,2.32,-48.90%,-50.00%,1.60%,-30.17%,-,0.16%,0.32,0.46%,317,2.00
2018-10-26,20:22:12 ,67.73,-2.85%,"256,471",188.29K,1.11B,39.00M,350.70M,6.27,29.21,27.53,1.95,484.71,3.18,1.30,4.70,0.22,-9.43%,-10.85%,-18.88%,30.99,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,16.46M,13.15M,22.06%,15.40,102.50,-32.09%,7.92%,69.72,2.32,-48.90%,-50.00%,1.60%,-29.97%,-,0.16%,0.32,0.47%,317,2.00
2018-10-29,20:15:12 ,69.00,1.88%,"132,068",188.90K,1.20B,39.00M,350.70M,6.38,29.75,28.05,1.98,520.20,3.41,1.30,4.70,0.22,-7.03%,-9.00%,-17.32%,34.90,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,17.34M,13.15M,22.27%,15.50,102.50,-30.81%,9.94%,67.73,2.32,-48.90%,-50.00%,1.60%,-28.89%,-,0.12%,0.32,0.46%,317,2.00
2018-10-30,20:16:19 ,71.35,3.41%,"179,610",188.06K,1.24B,39.00M,350.70M,6.60,30.77,29.00,2.05,537.92,3.53,1.30,4.70,0.22,-3.41%,-5.75%,-14.47%,42.80,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,17.34M,13.15M,22.27%,15.57,102.50,-28.46%,13.69%,69.00,2.32,-48.90%,-50.00%,1.60%,-28.89%,-,0.12%,0.32,0.45%,317,2.00
2018-10-31,20:14:58 ,71.17,-0.25%,"268,196",186.57K,1.23B,39.00M,350.70M,6.58,30.69,28.93,2.05,536.56,3.52,1.30,4.70,0.22,-3.36%,-5.92%,-14.66%,42.31,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,17.34M,13.15M,22.27%,15.69,102.50,-28.64%,13.40%,71.35,2.32,-48.90%,-50.00%,1.60%,-28.89%,-,0.12%,0.32,0.45%,317,2.00
2018-11-01,20:17:56 ,70.60,-0.80%,"477,132",186.75K,1.22B,39.00M,350.70M,6.53,30.44,28.70,2.03,532.26,3.49,1.30,4.70,0.22,-3.85%,-6.63%,-15.32%,40.92,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,17.34M,13.15M,22.27%,15.67,102.50,-29.21%,12.49%,71.17,2.32,-48.90%,-50.00%,1.60%,-28.89%,-,0.12%,0.32,0.45%,317,2.00
2018-11-03,01:45:52 ,65.42,-7.34%,"448,003",189.90K,1.13B,39.00M,350.70M,6.05,28.21,26.59,1.88,493.21,3.23,1.30,4.70,0.22,-10.63%,-13.39%,-21.50%,30.12,17.30%,24.70%,20.70%,21.80%,15.40%,12.10%,17.34M,13.15M,22.27%,15.41,102.50,-34.40%,3.81%,70.60,2.32,-48.90%,-50.00%,1.60%,-28.89%,-,0.12%,0.32,0.49%,317,2.00
2018-11-05,19:18:33 ,65.75,0.50%,"197,242",178.98K,1.20B,34.10M,359.40M,5.83,32.55,27.17,2.17,-,3.33,1.70,5.10,0.24,-9.60%,-12.75%,-21.04%,31.36,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,18.18M,13.14M,22.28%,16.36,102.50,-34.07%,2.19%,65.42,2.02,10.10%,-36.10%,1.60%,-27.93%,-,2.92%,0.32,0.49%,317,2.00
2018-11-06,19:16:45 ,68.69,4.47%,"161,496",175.58K,1.25B,34.10M,359.40M,6.09,34.00,28.38,2.27,-,3.47,1.70,5.10,0.24,-4.88%,-8.63%,-17.45%,41.29,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,18.18M,13.14M,22.28%,16.67,102.50,-31.12%,7.23%,65.75,2.02,10.10%,-36.10%,1.60%,-27.93%,-,2.92%,0.32,0.47%,317,2.00
2018-11-07,19:25:24 ,69.43,1.08%,"116,320",175.26K,1.26B,34.10M,359.40M,6.16,34.37,28.69,2.29,-,3.51,1.70,5.10,0.24,-3.30%,-7.54%,-16.50%,42.75,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,18.18M,13.14M,22.28%,16.70,102.50,-30.38%,8.38%,68.69,2.02,10.10%,-36.10%,1.60%,-27.75%,-,2.92%,0.32,0.46%,317,2.00
2018-11-08,19:15:37 ,68.78,-0.94%,"140,301",172.55K,1.25B,34.10M,359.40M,6.10,34.05,28.42,2.27,-,3.48,1.70,5.10,0.24,-3.74%,-8.33%,-17.22%,42.03,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,18.18M,13.14M,22.28%,16.97,102.50,-31.03%,7.37%,69.43,2.02,10.10%,-36.10%,1.60%,-27.75%,-,2.92%,0.32,0.47%,317,2.00
2018-11-08,19:37:17 ,68.78,-0.94%,"140,301",172.55K,1.25B,34.10M,359.40M,6.10,34.05,28.42,2.27,-,3.48,1.70,5.10,0.24,-3.74%,-8.33%,-17.22%,42.03,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,18.18M,13.14M,22.28%,16.97,102.50,-31.03%,7.37%,69.43,2.02,10.10%,-36.10%,1.60%,-27.75%,-,2.92%,0.32,0.47%,317,2.00
2018-11-09,19:54:28 ,67.96,-1.19%,"182,853",169.60K,1.24B,34.10M,359.40M,6.02,33.64,28.08,2.24,-,3.44,1.70,5.10,0.24,-4.51%,-9.33%,-18.16%,39.94,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,18.18M,13.14M,22.28%,17.26,102.50,-31.86%,6.09%,68.78,2.02,10.10%,-36.10%,1.60%,-27.75%,-,2.92%,0.32,0.47%,317,2.00
2018-11-12,21:56:12 ,68.24,0.41%,"156,770",166.44K,1.16B,34.10M,359.40M,6.05,33.73,28.20,2.25,-,3.24,1.70,5.10,0.24,-3.69%,-8.77%,-17.77%,40.34,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,17.06M,13.15M,22.20%,17.54,102.50,-31.58%,6.53%,67.96,2.02,10.10%,-36.10%,1.60%,-29.04%,-,3.71%,0.32,0.47%,317,2.00
2018-11-13,19:27:14 ,69.97,2.54%,"144,863",166.11K,1.19B,34.10M,359.40M,6.20,34.59,28.91,2.31,-,3.32,1.70,5.10,0.24,-0.86%,-6.23%,-15.63%,46.28,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,17.06M,13.15M,22.20%,17.58,102.50,-29.84%,9.23%,68.24,2.02,10.10%,-36.10%,1.60%,-29.04%,-,3.71%,0.32,0.46%,317,2.00
2018-11-14,19:17:08 ,69.77,-0.29%,"202,470",165.77K,1.19B,34.10M,359.40M,6.19,34.49,28.83,2.30,-,3.31,1.70,5.10,0.24,-0.75%,-6.31%,-15.82%,45.31,13.20%,18.80%,20.70%,21.60%,12.20%,9.40%,17.06M,13.15M,22.20%,17.61,102.50,-30.04%,8.91%,69.97,2.02,10.10%,-36.10%,1.60%,-29.04%,-,3.71%,0.32,0.46%,317,2.00
