date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:23:49 ,14.63,0.27%,"19,820",23.30K,-,-,-,-,-,-,-,-,-,-,-,-,-1.27%,-3.45%,-5.27%,30.79,-,-,-,-,-,-,-,-,-,0.37,-,-14.89%,0.62%,14.59,-,-,-,-,-,-,-,-,-,-,-
2018-10-17,19:18:21 ,14.60,-0.21%,"21,627",23.37K,-,-,-,-,-,-,-,-,-,-,-,-,-1.34%,-3.49%,-5.40%,29.50,-,-,-,-,-,-,-,-,-,0.36,-,-14.19%,0.41%,14.63,-,-,-,-,-,-,-,-,-,-,-
2018-10-18,19:56:30 ,14.66,0.41%,"14,943",23.40K,-,-,-,-,-,-,-,-,-,-,-,-,-0.81%,-2.92%,-4.96%,35.97,-,-,-,-,-,-,-,-,-,0.36,-,-13.45%,1.10%,14.60,-,-,-,-,-,-,-,-,-,-,-
2018-10-19,20:05:10 ,14.66,0.00%,"15,656",23.31K,-,-,-,-,-,-,-,-,-,-,-,-,-0.70%,-2.79%,-4.90%,36.32,-,-,-,-,-,-,-,-,-,0.37,-,-13.45%,1.10%,14.66,-,-,-,-,-,-,-,-,-,-,-
2018-10-22,17:17:17 ,14.51,-1.02%,"28,480",23.20K,-,-,-,-,-,-,-,-,-,-,-,-,-1.62%,-3.66%,-5.82%,28.40,-,-,-,-,-,-,-,-,-,0.37,-,-14.07%,0.07%,14.66,-,-,-,-,-,-,-,-,-,-,-
2018-10-23,17:17:53 ,14.50,-0.07%,"25,299",23.34K,-,-,-,-,-,-,-,-,-,-,-,-,-1.56%,-3.60%,-5.82%,28.30,-,-,-,-,-,-,-,-,-,0.36,-,-14.13%,0.00%,14.51,-,-,-,-,-,-,-,-,-,-,-
2018-10-24,17:17:09 ,14.46,-0.28%,"22,590",23.51K,-,-,-,-,-,-,-,-,-,-,-,-,-1.71%,-3.73%,-6.01%,26.40,-,-,-,-,-,-,-,-,-,0.36,-,-14.36%,-0.21%,14.50,-,-,-,-,-,-,-,-,-,-,-
2018-10-25,17:17:10 ,14.40,-0.41%,"65,448",23.70K,-,-,-,-,-,-,-,-,-,-,-,-,-1.97%,-4.00%,-6.34%,24.14,-,-,-,-,-,-,-,-,-,0.36,-,-14.72%,-0.41%,14.46,-,-,-,-,-,-,-,-,-,-,-
2018-10-26,17:16:06 ,14.24,-1.11%,"135,134",24.49K,-,-,-,-,-,-,-,-,-,-,-,-,-2.91%,-4.94%,-7.32%,19.46,-,-,-,-,-,-,-,-,-,0.35,-,-15.67%,-0.63%,14.40,-,-,-,-,-,-,-,-,-,-,-
2018-10-29,17:16:30 ,14.12,-0.84%,"46,995",26.44K,-,-,-,-,-,-,-,-,-,-,-,-,-3.50%,-5.61%,-8.03%,16.83,-,-,-,-,-,-,-,-,-,0.16,-,-16.38%,-0.56%,14.24,-,-,-,-,-,-,-,-,-,-,-
2018-10-30,17:16:43 ,14.14,0.14%,"63,790",27.08K,-,-,-,-,-,-,-,-,-,-,-,-,-3.11%,-5.32%,-7.84%,18.21,-,-,-,-,-,-,-,-,-,0.15,-,-16.26%,0.21%,14.12,-,-,-,-,-,-,-,-,-,-,-
2018-10-31,17:16:44 ,14.03,-0.78%,"70,280",27.74K,-,-,-,-,-,-,-,-,-,-,-,-,-3.61%,-5.90%,-8.49%,15.38,-,-,-,-,-,-,-,-,-,0.15,-,-16.91%,-0.07%,14.14,-,-,-,-,-,-,-,-,-,-,-
2018-11-01,17:16:50 ,13.95,-0.57%,"200,708",28.56K,-,-,-,-,-,-,-,-,-,-,-,-,-3.88%,-6.27%,-8.94%,13.98,-,-,-,-,-,-,-,-,-,0.14,-,-17.38%,-0.43%,14.03,-,-,-,-,-,-,-,-,-,-,-
