date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:24:05 ,23.01,-0.17%,200,2.87K,278.26M,-,34.97M,6.47,-,-,-,-,7.96,-,-,-,-2.68%,-2.93%,-1.83%,22.47,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.48,-,-9.76%,2.27%,23.05,-2.05,-22.90%,-,-,-,-,-,2.25,9.78%,197,-
2018-10-17,22:18:30 ,23.44,1.87%,"1,224",2.87K,283.46M,-,34.97M,6.59,-,-,-,-,8.11,-,-,-,-0.86%,-1.12%,0.01%,45.50,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.48,-,-8.08%,4.18%,23.01,-2.05,-22.90%,-,-,-,-,-,2.25,9.60%,197,-
2018-10-18,22:54:52 ,23.49,0.21%,176,2.67K,284.06M,-,34.97M,6.61,-,-,-,-,8.12,-,-,-,-0.59%,-0.88%,0.21%,47.88,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.59,-,-7.88%,4.40%,23.44,-2.05,-22.90%,-,-,-,-,-,2.25,9.58%,197,-
2018-10-19,23:01:52 ,23.44,-0.21%,306,2.65K,283.46M,-,34.97M,6.59,-,-,-,-,8.11,-,-,-,-0.74%,-1.05%,-0.01%,45.60,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.60,-,-8.08%,4.18%,23.49,-2.05,-22.90%,-,-,-,-,-,2.25,9.60%,197,-
2018-10-22,20:23:23 ,23.00,-1.88%,"3,141",2.65K,278.14M,-,34.97M,6.47,-,-,-,-,7.95,-,-,-,-2.53%,-2.87%,-1.90%,34.18,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.60,-,-9.80%,2.22%,23.44,-2.05,-22.90%,-,-,-,-,-,2.25,9.78%,197,-
2018-10-23,20:25:03 ,22.90,-0.45%,"2,031",2.67K,276.89M,-,34.97M,6.44,-,-,-,-,7.92,-,-,-,-2.78%,-3.23%,-2.33%,32.51,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.59,-,-10.21%,1.76%,23.00,-2.05,-22.90%,-,-,-,-,-,2.25,9.83%,197,-
2018-10-24,20:23:05 ,22.88,-0.07%,"7,386",2.67K,276.69M,-,34.97M,6.43,-,-,-,-,7.91,-,-,-,-2.66%,-3.21%,-2.39%,32.50,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.59,-,-10.27%,1.69%,22.90,-2.05,-22.90%,-,-,-,-,-,2.25,9.83%,197,-
2018-10-25,20:24:05 ,22.87,-0.06%,"6,279",2.78K,276.53M,-,34.97M,6.43,-,-,-,-,7.91,-,-,-,-2.52%,-3.19%,-2.45%,32.38,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.52,-,-10.33%,1.63%,22.88,-2.05,-22.90%,-,-,-,-,-,2.25,9.84%,197,-
2018-10-26,20:23:12 ,22.80,-0.29%,"1,938",2.83K,275.72M,-,34.97M,6.41,-,-,-,-,7.88,-,-,-,-2.63%,-3.38%,-2.73%,30.97,-,-,-,-,-,-,12.09M,11.00M,0.04%,1.50,-,-10.59%,1.33%,22.87,-2.05,-22.90%,-,-,-,-,-,2.25,9.87%,197,-
2018-10-29,20:16:09 ,22.85,0.22%,"1,155",2.82K,276.33M,-,34.97M,6.43,-,-,-,-,7.90,-,-,-,-2.22%,-3.09%,-2.51%,33.55,-,-,-,-,-,-,12.09M,11.00M,0.05%,2.11,-,-10.39%,1.56%,22.80,-2.05,-22.90%,-,-,-,-,-,2.25,9.85%,197,-
